Device,Device ID,Part ID,Part Txt,Testflow,Wafer,Site,P/F,SW Bin,HW Bin,Time,All Fail Bins
1,"0004","","",1,1,1,1,"1",1,98597,""
2,"0023","","",2,1,1,1,"1",1,19393,""
3,"0042","","",3,1,1,1,"1",1,19306,""
4,"0061","","",4,1,1,1,"1",1,19322,""
5,"0080","","",5,1,1,1,"1",1,19301,""
6,"0099","","",6,1,1,1,"1",1,19295,""
7,"0118","","",7,1,1,1,"1",1,19319,""
8,"0137","","",8,1,1,1,"1",1,19328,""
9,"0155","","",9,1,1,1,"1",1,19319,""
10,"0156","","",10,1,1,1,"1",1,19309,""
11,"0174","","",11,1,1,1,"1",1,19333,""
12,"0175","","",12,1,1,1,"1",1,19286,""
13,"0193","","",13,1,1,1,"1",1,19320,""
14,"0194","","",14,1,1,1,"1",1,19314,""
15,"0212","","",15,1,1,1,"1",1,19339,""
16,"0213","","",16,1,1,1,"1",1,19354,""
17,"0232","","",17,1,1,1,"1",1,19322,""
18,"0251","","",18,1,1,0,"41",6,17964,""
19,"0251","","",19,1,1,0,"41",6,17963,""
20,"0270","","",20,1,1,0,"41",6,17985,""
21,"0270","","",21,1,1,0,"41",6,17985,""
