Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",1,1,"EN0_PS1600",1,"0004","","",-500,"<=",-355.244,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",1,1,"FAULTB_PS1600",1,"0004","","",-500,"<=",-414.427,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",1,1,"FCB_PS1600",1,"0004","","",-500,"<=",-355.928,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",1,1,"ISEN_PS1600",1,"0004","","",-500,"<=",-342.372,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",1,1,"ITRIP_PS1600",1,"0004","","",-500,"<=",-356.942,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",1,1,"OFF_PS1600",1,"0004","","",-500,"<=",-350.738,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",1,1,"SS_PS1600",1,"0004","","",-500,"<=",-447.564,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",1,1,"VBIAS_PS1600",1,"0004","","",-500,"<=",-299.799,"mV","<=",-200,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",1,1,"GND_PS1600",1,"0004","","",-500,"<=",-369.748,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",1,1,"VIN1",1,"0004","","",-360,"<=",-334.936,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",1,1,"VIN1",1,"0004","","",0,"<=",0.476838,"ohm","<=",20,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",1,1,"VIN2",1,"0004","","",-360,"<=",-334.78,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",1,1,"VIN2",1,"0004","","",0,"<=",0.180139,"ohm","<=",20,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",1,1,"VIN3",1,"0004","","",-360,"<=",-334.801,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",1,1,"VIN3",1,"0004","","",0,"<=",0.252194,"ohm","<=",20,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",1,1,"VIN4_RS1",1,"0004","","",-360,"<=",-334.745,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",1,1,"VIN4_RS1",1,"0004","","",0,"<=",0.440809,"ohm","<=",20,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",1,1,"VIN4_RS2",1,"0004","","",-360,"<=",-334.99,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",1,1,"VIN4_RS2",1,"0004","","",0,"<=",0.356039,"ohm","<=",20,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",1,1,"VIN5_RS1",1,"0004","","",-360,"<=",-335.436,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",1,1,"VIN5_RS1",1,"0004","","",0,"<=",0.756582,"ohm","<=",20,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",1,1,"VIN5_RS2",1,"0004","","",-360,"<=",-335.192,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",1,1,"VIN5_RS2",1,"0004","","",0,"<=",0.578562,"ohm","<=",20,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",1,1,"VIN6",1,"0004","","",-360,"<=",-335.228,"mV","<=",-300,"P",0.320007,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",1,1,"VIN6",1,"0004","","",0,"<=",0.714197,"ohm","<=",20,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",1,1,"VOUT1",1,"0004","","",-300,"<=",-225.389,"mV","<=",-200,"P",0.320007,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",1,1,"VOUT1",1,"0004","","",0,"<=",0.161064,"ohm","<=",20,"P",0.320007,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",1,1,"VOUT2_RS1",1,"0004","","",-300,"<=",-225.519,"mV","<=",-200,"P",0.320007,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",1,1,"VOUT2_RS1",1,"0004","","",0,"<=",0.0317889,"ohm","<=",20,"P",0.320007,***,"",
