Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-371.457,-354.22,-361.453,5.39297,6.18089,3.79833,8.56345,3.79833,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-430.989,-407.597,-416.882,6.52128,5.11147,4.24854,4.24854,5.9744,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-371.751,-354.277,-361.286,5.57419,5.97994,3.66488,8.29501,3.66488,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-360.414,-340.892,-347.722,6.0289,5.52892,2.63851,8.41934,2.63851,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-374.529,-356.828,-363.048,5.55863,5.99668,3.78081,8.21255,3.78081,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-365.707,-348.974,-355.579,4.97121,6.70527,3.72672,9.68382,3.72672,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-465.835,-430.945,-445.605,8.48995,3.92621,2.13567,2.13567,5.71675,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-301.051,-294.335,-296.774,2.00438,24.9453,16.0938,33.7969,16.0938,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-369.748,-357.17,-358.891,2.54011,13.1228,7.72814,18.5175,7.72814,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-344.889,-334.936,-341.819,3.35132,2.98389,1.80829,1.80829,4.1595,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.00211889,0.527699,0.253506,0.175321,19.0127,0.481983,0.481983,37.5434,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-345.003,-334.78,-342.213,3.3249,3.00761,1.78316,1.78316,4.23206,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.0233111,1.03633,0.554241,0.309696,10.7632,0.596543,0.596543,20.9299,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-344.992,-334.801,-342.163,3.40522,2.93667,1.74608,1.74608,4.12726,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.0254311,1.18256,0.534865,0.309257,10.7785,0.576505,0.576505,20.9805,21,21,100,0,0,0,0.320007,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-345.255,-334.745,-342.169,3.40013,2.94106,1.74808,1.74808,4.13405,21,21,100,0,0,0,0.320007,***
