Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log
1,"A804_DPS_CONNECT","dc_tml.DcTest.DpsConnectivity","DPS_ForceSense",***,"",0,1,"VCC_PIN1",1,"P1","","",***,"NA",0,"","NA",***,"P",58.005,60.551,""
1,"A804_DPS_CONNECT","dc_tml.DcTest.DpsConnectivity","DPS_ForceSense",***,"",0,1,"VCC_PIN20",1,"P1","","",***,"NA",0,"","NA",***,"P",58.005,60.551,""
1,"A804_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",80410000,"",0,1,"PIN11",1,"P1","","",-0.8,"<=",-0.315779,"V","<=",-0.1,"P",21.261,26.263,""
1,"A804_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",80410000,"",0,1,"PIN12",1,"P1","","",-0.8,"<=",-0.315429,"V","<=",-0.1,"P",21.261,26.263,""
1,"A804_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",80410000,"",0,1,"PIN13",1,"P1","","",-0.8,"<=",-0.314471,"V","<=",-0.1,"P",21.261,26.263,""
1,"A804_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",80410000,"",0,1,"PIN14",1,"P1","","",-0.8,"<=",-0.315381,"V","<=",-0.1,"P",21.261,26.263,""
1,"A804_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",80410000,"",0,1,"PIN15",1,"P1","","",-0.8,"<=",-0.315447,"V","<=",-0.1,"P",21.261,26.263,""
1,"A804_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",80410000,"",0,1,"PIN16",1,"P1","","",-0.8,"<=",-0.315608,"V","<=",-0.1,"P",21.261,26.263,""
1,"A804_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",80410000,"",0,1,"PIN17",1,"P1","","",-0.8,"<=",-0.314991,"V","<=",-0.1,"P",21.261,26.263,""
1,"A804_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",80410000,"",0,1,"PIN18",1,"P1","","",-0.8,"<=",-0.315372,"V","<=",-0.1,"P",21.261,26.263,""
1,"A804_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",80410000,"",0,1,"PIN19",1,"P1","","",-0.8,"<=",-0.315201,"V","<=",-0.1,"P",21.261,26.263,""
1,"A804_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",80410000,"",0,1,"PIN2",1,"P1","","",-0.8,"<=",-0.31556,"V","<=",-0.1,"P",21.261,26.263,""
1,"A804_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",80410000,"",0,1,"PIN3",1,"P1","","",-0.8,"<=",-0.315503,"V","<=",-0.1,"P",21.261,26.263,""
