SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"4","LEAKAGE",1,100,1,100,0,0
"97","HANDLER_OCR_ERROR",0,***,0,0,0,0
"2","OPENS",0,***,0,0,0,0
"99","TEMP",0,***,0,0,0,0
"7","OVST",0,***,0,0,0,0
"71","PSHORT",0,***,0,0,0,0
"98","CONNECT",0,***,0,0,0,0
"1","PASS",0,***,0,0,1,0
"db","",0,***,0,0,0,0
"","",0,***,0,0,0,0
"10","T_PD",0,***,0,0,0,0
"11","T_EN",0,***,0,0,0,0
"12","T_DIS",0,***,0,0,0,0
"13","VILH",0,***,0,0,0,0
"14","POR",0,***,0,0,0,0
"5","SHORTS",0,***,0,0,0,0
"8","VOLH",0,***,0,0,0,0
"9","ICC",0,***,0,0,0,0
