Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A804_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,58.005,60.551
"A804_OPENS","passLimit_uA_mV",80410000,"Parametric","",-0.8,-0.1,"V",-0.315779,-0.314471,-0.315411,0.000313135,229.306,515.847,229.306,1,0,0,21.261,26.263
"A804_SHORTS","passLimit_uA_mV",80410030,"Parametric","",-0.8,-0.1,"V",-0.315836,-0.314414,-0.315424,0.000318668,225.338,506.876,225.338,1,0,0,11.461,16.071
"A804_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.315779,-0.314414,-0.315421,0.000320142,432.538,504.546,432.538,1,0,0,12.359,16.329
"A804_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.315797,-0.314357,-0.315428,0.0003386,212.077,1658.37,212.077,1,0,0,13.463,18.522
"A804_IOFF_GND_R","passCurrentHigh_uA",80410070,"Parametric","AP54RHC804_TRAFFIC",-0.2,0.4,"uA",0.001,0.636,0.0883529,0.182484,0.52672,0.52672,0.56927,1,1,0,87.858,89.382
"A804_PSHORTS_VCCA_R","passCurrLimit_uA",80410090,"Parametric","",-0.01,0.01,"A",1.21593e-06,1.21593e-06,1.21593e-06,0,***,***,***,1,0,0,17.112,20.657
"A804_PSHORTS_VCCY_R","passCurrLimit_uA",80410100,"Parametric","",-0.01,0.01,"A",3.62267e-06,3.62267e-06,3.62267e-06,0,***,***,***,1,0,0,5.6,8.388
"A804_TRAFFIC_1_R","Functional",***,"Functional","AP54RHC804_TRAFFIC_ALL_OUT",***,***,"",***,***,***,***,***,***,***,1,0,0,13.212,14.558
"A804_ICCH_VCCA_R","passCurrLimit_uA",80410110,"Parametric","AP54RHC804_All_INPUTS_HI_ENb0",1,60,"uA",32.6384,32.6384,32.6384,0,***,***,***,1,0,0,47.671,50.957
"A804_ICCH_VCCY_R","passCurrLimit_uA",80410120,"Parametric","",1,150,"uA",76.0697,76.0697,76.0697,0,***,***,***,1,0,0,14.632,18.634
"A804_ICCL_VCCA_R","passCurrLimit_uA",80410130,"Parametric","",1,60,"uA",31.1382,31.1382,31.1382,0,***,***,***,1,0,0,15.868,19.802
"A804_ICCL_VCCY_R","passCurrLimit_uA",80410140,"Parametric","",1,150,"uA",84.0902,84.0902,84.0902,0,***,***,***,1,0,0,14.913,18.773
"A804_OVST_R","ICCL_VCCA_PRE",80414650,"Parametric","AP54RHC804_TRAFFIC_ALL_OUT",1,60,"uA",30.9928,30.9928,30.9928,0,***,***,***,1,0,0,847.699,851.546
"A804_OVST_R","ICCH_VCCA_PRE",80414670,"Parametric","AP54RHC804_TRAFFIC_ALL_OUT",1,60,"uA",30.932,30.932,30.932,0,***,***,***,1,0,0,0.013,851.546
"A804_OVST_R","ICC_VCCA_OVST",80414690,"Parametric","AP54RHC804_TRAFFIC_ALL_OUT",-1000,2000,"uA",222.047,222.047,222.047,0,***,***,***,1,0,0,0.033,851.546
"A804_OVST_R","ICCL_VCCA_POST",80414710,"Parametric","AP54RHC804_TRAFFIC_ALL_OUT",1,60,"uA",30.7655,30.7655,30.7655,0,***,***,***,1,0,0,0.012,851.546
"A804_OVST_R","ICCH_VCCA_POST",80414730,"Parametric","AP54RHC804_TRAFFIC_ALL_OUT",1,60,"uA",30.8169,30.8169,30.8169,0,***,***,***,1,0,0,0.019,851.546
"A804_OVST_R","ICCL_VCCY_PRE",80414660,"Parametric","AP54RHC804_TRAFFIC_ALL_OUT",1,150,"uA",83.3272,83.3272,83.3272,0,***,***,***,1,0,0,0.007,851.546
"A804_OVST_R","ICCH_VCCY_PRE",80414680,"Parametric","AP54RHC804_TRAFFIC_ALL_OUT",1,150,"uA",71.3911,71.3911,71.3911,0,***,***,***,1,0,0,0.005,851.546
