Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"110","","",-600,"<=",-290.503,"mV","<=",-200,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"110","","",-600,"<=",-317.841,"mV","<=",-200,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"110","","",-600,"<=",-290.303,"mV","<=",-200,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"110","","",-600,"<=",-273.39,"mV","<=",-200,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"110","","",-600,"<=",-292.343,"mV","<=",-200,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"110","","",-600,"<=",-283.977,"mV","<=",-200,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"110","","",-600,"<=",-340.39,"mV","<=",-200,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"110","","",-600,"<=",-203.84,"mV","<=",-150,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"110","","",-600,"<=",-299.116,"mV","<=",-200,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"110","","",-400,"<=",-78.8631,"mV","<=",-60,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"110","","",0,"<=",0.286102,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"110","","",-400,"<=",-79.0501,"mV","<=",-60,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"110","","",0,"<=",0.345441,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"110","","",-400,"<=",-79.0577,"mV","<=",-60,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"110","","",0,"<=",0.61459,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"110","","",-400,"<=",-78.968,"mV","<=",-60,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",0,1,"VIN4_RS1",1,"110","","",0,"<=",0.413259,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"110","","",-400,"<=",-78.97,"mV","<=",-60,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",0,1,"VIN4_RS2",1,"110","","",0,"<=",0.597637,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"110","","",-400,"<=",-79.073,"mV","<=",-60,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",0,1,"VIN5_RS1",1,"110","","",0,"<=",0.150469,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"110","","",-400,"<=",-78.989,"mV","<=",-60,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",0,1,"VIN5_RS2",1,"110","","",0,"<=",0.277626,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"110","","",-400,"<=",-79.0787,"mV","<=",-60,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",0,1,"VIN6",1,"110","","",0,"<=",0.209808,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"110","","",-300,"<=",-51.3535,"mV","<=",-30,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",0,1,"VOUT1",1,"110","","",0,"<=",0.656976,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"110","","",-300,"<=",-51.4965,"mV","<=",-30,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",0,1,"VOUT2_RS1",1,"110","","",0,"<=",0.0805322,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"110","","",-300,"<=",-51.5327,"mV","<=",-30,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",0,1,"VOUT2_RS2",1,"110","","",0,"<=",0.226762,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"110","","",-300,"<=",-51.5156,"mV","<=",-30,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",0,1,"VOUT3_RS1",1,"110","","",0,"<=",0.11656,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"110","","",-300,"<=",-51.5766,"mV","<=",-30,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",0,1,"VOUT3_RS2",1,"110","","",0,"<=",0.00423889,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"110","","",-300,"<=",-51.3325,"mV","<=",-30,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",0,1,"VOUT4",1,"110","","",0,"<=",0.137752,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"110","","",-300,"<=",-51.5842,"mV","<=",-30,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",0,1,"VOUT5",1,"110","","",0,"<=",0.231001,"ohm","<=",20,"P",0.418628,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"110","","",-300,"<=",-51.5404,"mV","<=",-30,"P",0.418628,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",0,1,"VOUT6",1,"110","","",0,"<=",0.0953667,"ohm","<=",20,"P",0.418628,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"110","","",-1500,"<=",-369.683,"nA","<=",200,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,"110","","",-1500,"<=",-369.683,"nA","<=",200,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"110","","",-1500,"<=",-444.635,"nA","<=",200,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,"110","","",-1500,"<=",-444.635,"nA","<=",200,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,"110","","",-1500,"<=",-576.481,"nA","<=",200,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,"110","","",-1500,"<=",-576.481,"nA","<=",200,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,"110","","",-1500,"<=",-522.052,"nA","<=",200,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,"110","","",-1500,"<=",-522.052,"nA","<=",200,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,"110","","",-1500,"<=",297.492,"nA","<=",500,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,"110","","",-1500,"<=",-301.96,"nA","<=",-10,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,"110","","",-1500,"<=",298.798,"nA","<=",500,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,"110","","",-1500,"<=",-299.176,"nA","<=",-10,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,"110","","",-1500,"<=",561.826,"nA","<=",700,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,"110","","",-1500,"<=",-911.769,"nA","<=",-300,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,"110","","",-1500,"<=",23.693,"nA","<=",200,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",1,"110","","",-1500,"<=",-370.104,"nA","<=",200,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",0,1,"ISEN_PS1600",1,"110","","",-1500,"<=",119.549,"nA","<=",250,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",0,1,"ISEN_PS1600",1,"110","","",-1500,"<=",-623.545,"nA","<=",200,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",0,1,"VBIAS_PS1600",1,"110","","",0.5,"<=",17.658,"uA","<=",30,"P",0.296038,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",0,1,"VBIAS_PS1600",1,"110","","",-30,"<=",-19.106,"uA","<=",-0.5,"P",0.296038,***,"",
1,"IVDDFL_IVINFL_RONFL","","RON_200mAVDD_5_VIN_5_20V_Part",90050,"",0,1,"VIN1",1,"110","","",0.01,"<=",0.0317504,"ohm","<=",0.034,"P",0.0856937,***,"",
