Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-200,"mV",-292.665,-281.629,-289.065,3.88958,17.1398,7.63279,26.6469,7.63279,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-200,"mV",-321.655,-310.101,-317.045,3.80497,17.5209,10.2537,24.7882,10.2537,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-200,"mV",-292.124,-282.05,-289.018,3.64638,18.283,8.13756,28.4284,8.13756,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-200,"mV",-275.041,-264.739,-271.911,3.80099,17.5393,6.3063,28.7722,6.3063,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-200,"mV",-294.734,-284.034,-291.343,3.93236,16.9533,7.74285,26.1638,7.74285,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-200,"mV",-285.684,-275.439,-282.44,3.68869,18.0733,7.44979,28.6967,7.44979,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-200,"mV",-342.382,-330.088,-336.804,4.81883,13.8346,9.46314,18.2061,9.46314,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-150,"mV",-214.312,-202.815,-209.312,4.57706,16.3861,4.3195,28.4527,4.3195,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-200,"mV",-317.272,-295.075,-306.1,7.88559,8.45424,4.48499,12.4235,4.48499,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-60,"mV",-109.486,-58.5499,-84.8868,15.7377,3.6007,0.527117,6.67428,0.527117,7,6,85.7,1,14.3,0,0.418628,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.120799,0.510746,0.271267,0.13835,24.0936,0.65358,0.65358,47.5335,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-60,"mV",-109.51,-58.5594,-84.8522,15.745,3.59902,0.526139,6.6719,0.526139,7,6,85.7,1,14.3,0,0.418628,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.0974867,0.752343,0.4508,0.247362,13.4755,0.607476,0.607476,26.3435,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-400,-60,"mV",-109.646,-58.4469,-84.8857,15.7891,3.58896,0.525376,6.65255,0.525376,7,6,85.7,1,14.3,0,0.418628,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.0233122,0.671811,0.392974,0.230274,14.4755,0.568851,0.568851,28.3822,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-400,-60,"mV",-109.392,-58.6586,-84.9563,15.6895,3.61175,0.530211,6.69328,0.530211,7,6,85.7,1,14.3,0,0.418628,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.0784133,0.707838,0.336965,0.209819,15.8867,0.535327,0.535327,31.2381,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-400,-60,"mV",-109.734,-58.5384,-84.9797,15.8208,3.58179,0.526307,6.63727,0.526307,7,6,85.7,1,14.3,0,0.418628,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.150469,0.597637,0.305176,0.158861,20.9827,0.640341,0.640341,41.325,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-400,-60,"mV",-109.72,-58.63,-84.9909,15.764,3.5947,0.52844,6.66096,0.52844,7,6,85.7,1,14.3,0,0.418628,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.0445056,0.603993,0.29246,0.216006,15.4316,0.451314,0.451314,30.412,7,7,100,0,0,0,0.418628,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-400,-60,"mV",-109.461,-58.4927,-84.8855,15.7096,3.60714,0.528032,6.68626,0.528032,7,6,85.7,1,14.3,0,0.418628,***
