Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"423","","",-500,"<=",-375.155,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"423","","",-500,"<=",-432.526,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"423","","",-500,"<=",-374.824,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"423","","",-500,"<=",-360.699,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"423","","",-500,"<=",-376.18,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"423","","",-500,"<=",-367.642,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"423","","",-500,"<=",-457.923,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"423","","",-500,"<=",-294.847,"mV","<=",-200,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"423","","",-500,"<=",-357.796,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"423","","",-360,"<=",-340.137,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"423","","",0,"<=",0.551012,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"423","","",-360,"<=",-340.195,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"423","","",0,"<=",0.756582,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"423","","",-360,"<=",-340.078,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"423","","",0,"<=",0.519222,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"423","","",-360,"<=",-340.334,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",0,1,"VIN4_RS1",1,"423","","",0,"<=",0.485313,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"423","","",-360,"<=",-340.279,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",0,1,"VIN4_RS2",1,"423","","",0,"<=",0.0953667,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"423","","",-360,"<=",-339.981,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",0,1,"VIN5_RS1",1,"423","","",0,"<=",0.553131,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"423","","",-360,"<=",-340.014,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",0,1,"VIN5_RS2",1,"423","","",0,"<=",0.491672,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"423","","",-360,"<=",-340.235,"mV","<=",-300,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",0,1,"VIN6",1,"423","","",0,"<=",0.656976,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"423","","",-300,"<=",-226.002,"mV","<=",-200,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",0,1,"VOUT1",1,"423","","",0,"<=",0.241598,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"423","","",-300,"<=",-226.288,"mV","<=",-200,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",0,1,"VOUT2_RS1",1,"423","","",0,"<=",0.131396,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"423","","",-300,"<=",-225.952,"mV","<=",-200,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",0,1,"VOUT2_RS2",1,"423","","",0,"<=",0.603994,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"423","","",-300,"<=",-226.149,"mV","<=",-200,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",0,1,"VOUT3_RS1",1,"423","","",0,"<=",1.01937,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"423","","",-300,"<=",-225.994,"mV","<=",-200,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",0,1,"VOUT3_RS2",1,"423","","",0,"<=",0.593397,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"423","","",-300,"<=",-226.158,"mV","<=",-200,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",0,1,"VOUT4",1,"423","","",0,"<=",0.735389,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"423","","",-300,"<=",-226.082,"mV","<=",-200,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",0,1,"VOUT5",1,"423","","",0,"<=",0.328488,"ohm","<=",20,"P",0.443765,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"423","","",-300,"<=",-225.933,"mV","<=",-200,"P",0.443765,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",0,1,"VOUT6",1,"423","","",0,"<=",0.436571,"ohm","<=",20,"P",0.443765,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"423","","",-200,"<=",-4.87762,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,"423","","",-200,"<=",-4.87762,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"423","","",-200,"<=",-9.45524,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,"423","","",-200,"<=",-9.45524,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,"423","","",-200,"<=",-6.76628,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,"423","","",-200,"<=",-6.76628,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,"423","","",-200,"<=",-8.90699,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,"423","","",-200,"<=",-8.90699,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,"423","","",10,"<=",298.536,"nA","<=",500,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,"423","","",-500,"<=",-302.636,"nA","<=",-10,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,"423","","",10,"<=",301.97,"nA","<=",500,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,"423","","",-500,"<=",-299.449,"nA","<=",-10,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,"423","","",300,"<=",529.227,"nA","<=",700,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,"423","","",-700,"<=",-537.267,"nA","<=",-300,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,"423","","",-200,"<=",-0.679014,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",1,"423","","",-200,"<=",-4.42242,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",0,1,"ISEN_PS1600",1,"423","","",-200,"<=",-0.25143,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",0,1,"ISEN_PS1600",1,"423","","",-200,"<=",-7.56219,"nA","<=",200,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",0,1,"VBIAS_PS1600",1,"423","","",500,"<=",756,"nA","<=",1000,"P",0.52965,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",0,1,"VBIAS_PS1600",1,"423","","",-1000,"<=",-835,"nA","<=",-500,"P",0.52965,***,"",
1,"IVDDFL_IVINFL_RONFL","","RON_200mAVDD_5_VIN_5_20V_Part",90050,"",0,1,"VIN1",1,"423","","",0.01,"<=",0.0233094,"ohm","<=",0.03,"P",0.109179,***,"",
1,"IVDDFL_IVINFL_RONFL","","DEVICE_VARIENT_TRUE",90060,"",0,1,"VIN1",1,"423","","",0.5,"<=",1,"","<=",1.5,"P",0.109179,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_200mA_VDD5",650100,"",0,1,"VIN3",1,"423","","",0.01,"<=",0.0238943,"ohm","<=",0.03,"P",0.11713,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_500mA_VDD5",650110,"",0,1,"VIN3",1,"423","","",0.01,"<=",0.0241356,"ohm","<=",0.03,"P",0.11713,***,"",
1,"RON_DIFF_LOAD_CURRENT","","RON_FL_VDD5",650120,"",0,1,"VIN3",1,"423","","",0.01,"<=",0.0240864,"ohm","<=",0.03,"P",0.11713,***,"",
1,"Fuse_Burn_Check","","Device_Read_Fuse_Data",1000002,"",0,1,"OFF_PS1600",1,"423","","",0,"<=",2.36603e+14,"","<=",2.81475e+14,"P",0.175714,***,"",
1,"Fuse_Burn_Check","","BANKA_BIT5_BLOWN_TRUE",1000001,"",0,1,"OFF_PS1600",1,"423","","",0,"<=",1,"","<=",1,"P",0.175714,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_VOUT_LOW",30010,"",0,1,"VOUT4",1,"423","","",-0.3,"<=",0.00481987,"V","<=",1,"P",0.387847,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_OFF_HIGH",30020,"",0,1,"OFF_PS1600",1,"423","","",1.6,"<=",1.80316,"V","<=",2.3,"P",0.387847,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_VOUT_LOW",30030,"",0,1,"VOUT4",1,"423","","",-0.2,"<=",-0.162338,"V","<=",0.5,"P",0.387847,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_OFF_HIGH",30040,"",0,1,"OFF_PS1600",1,"423","","",1.6,"<=",1.80385,"V","<=",2.3,"P",0.387847,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_VOUT_LOW",30050,"",0,1,"VOUT4",1,"423","","",-0.3,"<=",-0.162733,"V","<=",0.5,"P",0.387847,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_OFF_HIGH",30060,"",0,1,"OFF_PS1600",1,"423","","",1.6,"<=",1.80322,"V","<=",2.3,"P",0.387847,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_VOUT_HIGH",30070,"",0,1,"VOUT4",1,"423","","",4.85,"<=",5.00024,"V","<=",5.1,"P",0.387847,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_OFF_LOW",30080,"",0,1,"OFF_PS1600",1,"423","","",-0.001,"<=",0.000714,"V","<=",0.5,"P",0.387847,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FAULT_SET_VOUT_LOW",30090,"",0,1,"VOUT4",1,"423","","",-0.001,"<=",0.0030632,"V","<=",0.5,"P",0.387847,***,"",
