Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1451","","",-700,"<=",-373.79,"mV","<=",-300,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1451","","",-700,"<=",-428.428,"mV","<=",-300,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1451","","",-700,"<=",-374.198,"mV","<=",-300,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1451","","",-700,"<=",-360.983,"mV","<=",-300,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1451","","",-700,"<=",-376.133,"mV","<=",-300,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1451","","",-700,"<=",-367.311,"mV","<=",-300,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1451","","",-700,"<=",-455.09,"mV","<=",-300,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1451","","",-700,"<=",-295.994,"mV","<=",-200,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1451","","",-700,"<=",-348.803,"mV","<=",-300,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1451","","",-700,"<=",-343.475,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1451","","",-700,"<=",-343.882,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1451","","",-700,"<=",-343.75,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1451","","",-700,"<=",-343.941,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"1451","","",-700,"<=",-343.927,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"1451","","",-700,"<=",-343.412,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"1451","","",-700,"<=",-343.742,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"1451","","",-700,"<=",-344.099,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"1451","","",-700,"<=",-228.374,"mV","<=",-100,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"1451","","",-700,"<=",-228.38,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"1451","","",-700,"<=",-228.258,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"1451","","",-700,"<=",-228.657,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"1451","","",-700,"<=",-228.481,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"1451","","",-700,"<=",-228.165,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"1451","","",-700,"<=",-228.58,"mV","<=",-120,"P",0.140054,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"1451","","",-700,"<=",-228.327,"mV","<=",-120,"P",0.140054,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"1451","","",-999,"<=",-0.70969,"nA","<=",999,"P",0.230409,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"",0,1,"FAULTB_PS1600",1,"1451","","",-999,"<=",-4.00626,"nA","<=",999,"P",0.230409,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"ITRIP_PS1600",1,"1451","","",-999,"<=",5.809,"nA","<=",999,"P",0.230409,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"1451","","",-999,"<=",-7.73046,"nA","<=",999,"P",0.230409,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"OFF_PS1600",1,"1451","","",-999,"<=",0.168403,"nA","<=",999,"P",0.230409,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20020,"",0,1,"OFF_PS1600",1,"1451","","",-999,"<=",-6.13111,"nA","<=",999,"P",0.230409,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"SS_PS1600",1,"1451","","",-999,"<=",3.98889,"nA","<=",999,"P",0.230409,***,"",
