Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-375.781,-360.307,-368.215,6.64647,5.01519,3.42109,6.6093,3.42109,5,5,100,0,0,0,0.303178,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-438.9,-429.054,-433.175,4.13619,8.05894,5.38541,5.38541,10.7325,5,5,100,0,0,0,0.303178,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-376.19,-359.855,-368.085,7.17974,4.64269,3.16099,6.12439,3.16099,5,5,100,0,0,0,0.303178,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-365.024,-350.34,-356.749,6.82459,4.8843,2.77178,6.99682,2.77178,5,5,100,0,0,0,0.303178,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-378.115,-364.114,-370.499,6.47678,5.14659,3.62832,6.66486,3.62832,5,5,100,0,0,0,0.303178,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-371.228,-357.227,-364.341,6.1408,5.42817,3.49255,7.36379,3.49255,5,5,100,0,0,0,0.303178,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-470.616,-463.16,-465.801,3.39709,9.81231,3.35576,3.35576,16.2689,5,5,100,0,0,0,0.303178,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-308.792,-305.889,-307.505,1.39216,35.9155,25.7408,46.0903,25.7408,5,5,100,0,0,0,0.303178,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-347.551,-340.721,-342.349,2.93642,11.3517,4.80735,17.8961,4.80735,5,5,100,0,0,0,0.303178,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-340.29,-334.007,-337.315,2.31951,4.31125,3.26008,3.26008,5.36243,5,5,100,0,0,0,0.303178,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0105956,1.01513,0.527276,0.376905,8.84396,0.466321,0.466321,17.2216,5,5,100,0,0,0,0.303178,***
