Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-373.562,-359.51,-366.758,6.20416,5.37274,3.58674,7.15873,3.58674,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-434.916,-427.688,-431.023,3.51279,9.48913,6.54529,6.54529,12.433,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-374.198,-359.172,-366.731,6.7539,4.93542,3.29344,6.5774,3.29344,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-362.406,-349.486,-355.189,6.41852,5.19331,2.86615,7.52047,2.86615,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-376.123,-363.374,-369.088,6.06739,5.49385,3.79559,7.19211,3.79559,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-369.521,-356.487,-362.918,5.74662,5.80051,3.64958,7.95143,3.64958,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-467.087,-460.484,-463.751,2.84232,11.7275,4.25104,4.25104,19.2039,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-307.995,-303.271,-306.208,1.91392,26.1244,18.4974,33.7513,18.4974,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-345.787,-343.681,-344.774,0.839767,39.6936,17.7723,61.6148,17.7723,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-338.919,-333.744,-336.077,2.24,4.46428,3.55989,3.55989,5.36867,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.00847667,0.832876,0.460307,0.294874,11.3042,0.520342,0.520342,22.0882,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-339.325,-333.744,-336.535,2.34439,4.26551,3.3363,3.3363,5.19472,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.724792,1.03421,0.916799,0.117592,28.3466,2.59881,2.59881,54.0943,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-339.38,-334.202,-336.685,2.1592,4.63134,3.59935,3.59935,5.66332,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.108083,0.561608,0.425551,0.184312,18.0852,0.769619,0.769619,35.4009,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-339.121,-334.16,-336.489,2.20732,4.53038,3.5505,3.5505,5.51026,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.08689,0.576443,0.331455,0.237532,14.0332,0.465137,0.465137,27.6013,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-339.207,-334.335,-336.428,2.09941,4.76325,3.74264,3.74264,5.78387,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.0529822,0.368754,0.172085,0.141154,23.6148,0.406377,0.406377,46.8233,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-339.664,-334.518,-336.952,2.32886,4.29394,3.29886,3.29886,5.28902,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.519223,1.02573,0.821856,0.198101,16.8265,1.38289,1.38289,32.27,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-339.077,-333.818,-336.42,2.30357,4.34108,3.41202,3.41202,5.27013,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.00635778,0.693003,0.34078,0.323189,10.3139,0.351476,0.351476,20.2763,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-339.348,-334.053,-336.654,2.20551,4.5341,3.52851,3.52851,5.53969,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.169542,0.712077,0.370026,0.203498,16.3802,0.606109,0.606109,32.1543,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-243.196,-241.516,-242.113,0.666229,25.0164,21.0706,28.9623,21.0706,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10260,"Parametric","",0,20,"ohm",0.00847778,0.760821,0.26491,0.319249,10.4412,0.276597,0.276597,20.6058,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-242.826,-241.711,-242.175,0.498969,33.4022,28.175,38.6295,28.175,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10270,"Parametric","",0,20,"ohm",0.0762933,0.811683,0.386556,0.278064,11.9876,0.463389,0.463389,23.5119,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-242.807,-241.329,-241.97,0.631978,26.3722,22.1371,30.6074,22.1371,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10280,"Parametric","",0,20,"ohm",0.425974,0.695122,0.572204,0.0961412,34.6712,1.9839,1.9839,67.3585,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-243.023,-241.57,-242.117,0.597656,27.8867,23.49,32.2834,23.49,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10290,"Parametric","",0,20,"ohm",0.38359,0.930362,0.659095,0.199774,16.6855,1.09973,1.09973,32.2713,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-242.949,-241.821,-242.265,0.449242,37.0996,31.3602,42.8389,31.3602,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10300,"Parametric","",0,20,"ohm",0.680288,1.03633,0.912984,0.153383,21.732,1.9841,1.9841,41.4799,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-242.666,-241.383,-241.944,0.532327,31.3091,26.2644,36.3538,26.2644,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10310,"Parametric","",0,20,"ohm",0.192853,0.43869,0.347137,0.0938175,35.53,1.23338,1.23338,69.8266,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-243.219,-241.358,-242.155,0.715122,23.306,19.6494,26.9627,19.6494,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10320,"Parametric","",0,20,"ohm",0.0996056,0.508626,0.292884,0.190431,17.5042,0.512668,0.512668,34.4956,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-243.09,-241.325,-242.12,0.701106,23.7719,20.0253,27.5186,20.0253,5,5,100,0,0,0,0.345905,***
"CONTINUITY","","MOULD_RES",10330,"Parametric","",0,20,"ohm",0.34968,0.695122,0.539144,0.148822,22.3981,1.20758,1.20758,43.5885,5,5,100,0,0,0,0.345905,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-8.7877,-5.69011,-7.66038,1.25387,53.1687,51.1322,51.1322,55.2051,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-8.7877,-5.69011,-7.66038,1.25387,53.1687,51.1322,51.1322,55.2051,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-9.65858,-7.42193,-8.80458,0.960054,69.4405,66.3835,66.3835,72.4975,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-9.65858,-7.42193,-8.80458,0.960054,69.4405,66.3835,66.3835,72.4975,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-11.9353,-8.19927,-10.1645,1.44554,46.1187,43.7749,43.7749,48.4626,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-11.9353,-8.19927,-10.1645,1.44554,46.1187,43.7749,43.7749,48.4626,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-14.5252,-10.8478,-13.187,1.41652,47.0636,43.9604,43.9604,50.1667,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-14.5252,-10.8478,-13.187,1.41652,47.0636,43.9604,43.9604,50.1667,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",299.366,302.229,300.421,1.33642,61.1085,49.7795,72.4374,49.7795,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-300.839,-299.329,-300.214,0.63188,129.244,105.392,105.392,153.095,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",299.97,301.123,300.572,0.412165,198.14,161.285,234.996,161.285,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-301.658,-299.864,-300.683,0.750668,108.792,88.5067,88.5067,129.077,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",503.61,541.753,524.422,16.2463,4.1035,3.60242,4.60459,3.60242,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-700,-300,"nA",-552.36,-513.139,-534.33,16.6451,4.00517,3.31768,3.31768,4.69267,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-200,200,"nA",-1.0337,1.9558,0.354643,1.10466,60.3502,60.2432,60.4572,60.2432,5,5,100,0,0,0,0.576968,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-200,200,"nA",-20.4846,-11.5161,-16.9479,3.68799,18.0767,16.5449,16.5449,19.6085,5,5,100,0,0,0,0.576968,***
