Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1","","",-500,"<=",-367.759,"mV","<=",-300,"P",0.301385,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1","","",-500,"<=",-427.233,"mV","<=",-300,"P",0.301385,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1","","",-500,"<=",-368.336,"mV","<=",-300,"P",0.301385,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1","","",-500,"<=",-356.601,"mV","<=",-300,"P",0.301385,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1","","",-500,"<=",-370.203,"mV","<=",-300,"P",0.301385,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1","","",-500,"<=",-363.146,"mV","<=",-300,"P",0.301385,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1","","",-500,"<=",-459.175,"mV","<=",-300,"P",0.301385,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1","","",-500,"<=",-298.832,"mV","<=",-200,"P",0.301385,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1","","",-500,"<=",-333.891,"mV","<=",-300,"P",0.301385,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1","","",-360,"<=",-329.041,"mV","<=",-300,"P",0.301385,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1","","",0,"<=",0.0360278,"ohm","<=",20,"P",0.301385,***,"",
