Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-368.556,-353.992,-361.456,6.44867,5.16902,3.17668,7.16137,3.17668,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-427.403,-419.265,-423.18,3.9076,8.53038,6.55301,6.55301,10.5078,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-368.962,-353.537,-361.346,7.03143,4.74062,2.9082,6.57304,2.9082,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-356.942,-343.624,-349.566,6.66441,5.00169,2.47914,7.52425,2.47914,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-371,-357.853,-363.795,6.31666,5.27705,3.36649,7.18762,3.36649,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-364.114,-350.795,-357.489,5.94167,5.6101,3.22517,7.99503,3.22517,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-459.858,-452.914,-456.056,3.22158,10.3469,4.54681,4.54681,16.147,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-303.043,-298.832,-301.472,1.67953,29.7702,20.1391,39.4014,20.1391,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-333.891,-331.558,-332.821,0.854119,39.0266,12.8091,65.2441,12.8091,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-333.565,-329.041,-330.971,1.87241,5.3407,5.16788,5.16788,5.51352,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0360278,0.737508,0.431061,0.28509,11.6922,0.504005,0.504005,22.8804,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-333.862,-328.915,-331.074,2.05373,4.86919,4.69491,4.69491,5.04347,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.457764,0.824399,0.631545,0.158003,21.0966,1.33235,1.33235,40.8609,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-333.776,-329.073,-330.96,1.92673,5.19015,5.02405,5.02405,5.35625,5,5,100,0,0,0,0.301385,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.0339078,0.811683,0.344594,0.344259,9.68263,0.333658,0.333658,19.0316,5,5,100,0,0,0,0.301385,***
