Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-300,"mV",-412.361,-402.746,-405.204,4.11524,12.15,8.52151,15.7784,8.52151,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-300,"mV",-497.296,-479.253,-485.833,7.17592,6.96775,5.30325,5.30325,8.63224,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-300,"mV",-412.333,-402.6,-405.468,4.03321,12.3971,8.71667,16.0775,8.71667,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-300,"mV",-402.588,-393.425,-395.838,3.85149,12.982,8.29447,17.6695,8.29447,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-300,"mV",-413.175,-404.239,-406.584,3.74332,13.3571,9.49101,17.2232,9.49101,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-300,"mV",-408.451,-399.743,-402.315,3.61747,13.8218,9.42789,18.2158,9.42789,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-300,"mV",-523.435,-507.27,-511.949,6.79728,7.35588,4.31796,4.31796,10.3938,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-200,"mV",-344.819,-339.868,-341.905,2.21911,30.042,21.3156,38.7684,21.3156,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-300,"mV",-360.3,-355.007,-357.773,2.30933,21.6513,8.33911,34.9636,8.33911,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-300,"mV",-377.468,-367.952,-374.236,3.64247,4.57565,2.35775,2.35775,6.79355,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.286102,0.67393,0.468784,0.181594,18.356,0.860499,0.860499,35.8515,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-300,"mV",-377.895,-368.246,-374.408,3.62427,4.59863,2.35376,2.35376,6.84349,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.459883,0.960032,0.733693,0.201985,16.5029,1.21081,1.21081,31.795,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-400,-300,"mV",-377.995,-367.994,-374.499,3.79324,4.39378,2.24094,2.24094,6.54662,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.260671,0.667572,0.450982,0.159337,20.9201,0.943457,0.943457,40.8966,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-400,-300,"mV",-378.036,-368.231,-374.421,3.66217,4.55104,2.32823,2.32823,6.77385,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.0233122,0.279744,0.147078,0.111787,29.8187,0.438567,0.438567,59.1989,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-400,-300,"mV",-377.625,-367.836,-374.218,3.71844,4.48216,2.31115,2.31115,6.65318,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.00635778,0.358158,0.18141,0.160048,20.8271,0.377824,0.377824,41.2763,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-400,-300,"mV",-378.139,-368.24,-374.556,3.71866,4.4819,2.28072,2.28072,6.68308,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.565847,1.13381,0.875685,0.244491,13.6337,1.19389,1.19389,26.0736,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-400,-300,"mV",-377.76,-368.141,-374.174,3.5807,4.65458,2.40421,2.40421,6.90495,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.0974867,0.192853,0.130971,0.0417821,79.7789,1.04487,1.04487,158.513,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-400,-300,"mV",-377.939,-368.553,-374.404,3.48475,4.78275,2.44837,2.44837,7.11712,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.0720556,0.637902,0.353495,0.209087,15.9423,0.563554,0.563554,31.3211,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10100,"Parametric","",-400,-200,"mV",-248.472,-230.629,-242.708,7.44214,4.479,1.91288,7.04512,1.91288,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10260,"Parametric","",0,20,"ohm",0.0487433,0.745984,0.320011,0.30056,11.0904,0.354905,0.354905,21.8259,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10110,"Parametric","",-400,-200,"mV",-248.507,-230.518,-242.8,7.5326,4.42521,1.89399,6.95642,1.89399,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10270,"Parametric","",0,20,"ohm",0.0720556,0.718436,0.213623,0.282375,11.8046,0.252174,0.252174,23.3571,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10120,"Parametric","",-400,-200,"mV",-248.524,-230.265,-242.852,7.64203,4.36184,1.86914,6.85455,1.86914,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10280,"Parametric","",0,20,"ohm",0.0190733,0.661214,0.196669,0.263726,12.6394,0.248577,0.248577,25.0302,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10130,"Parametric","",-400,-200,"mV",-248.697,-230.726,-242.945,7.50287,4.44275,1.90792,6.97757,1.90792,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10290,"Parametric","",0,20,"ohm",0.491672,1.03421,0.765059,0.234129,14.2371,1.08922,1.08922,27.3851,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10140,"Parametric","",-400,-200,"mV",-248.461,-231.075,-243.024,7.3043,4.56352,1.96343,7.16361,1.96343,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10300,"Parametric","",0,20,"ohm",0.0996056,0.76082,0.483195,0.316114,10.5447,0.509516,0.509516,20.58,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10150,"Parametric","",-400,-200,"mV",-248.329,-231.112,-242.805,7.24718,4.59949,1.96883,7.23014,1.96883,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10310,"Parametric","",0,20,"ohm",0.0445044,0.618828,0.35731,0.224236,14.8653,0.531152,0.531152,29.1995,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10160,"Parametric","",-400,-200,"mV",-248.785,-230.64,-242.784,7.53496,4.42383,1.89268,6.95497,1.89268,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10320,"Parametric","",0,20,"ohm",0.192854,0.625187,0.377231,0.182504,18.2645,0.688993,0.688993,35.8399,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","CONTINUITY",10170,"Parametric","",-400,-200,"mV",-248.352,-230.81,-242.831,7.35634,4.53124,1.94079,7.12168,1.94079,5,5,100,0,0,0,0.487365,***
"CONTINUITY","","MOULD_RES",10330,"Parametric","",0,20,"ohm",0.184378,0.801087,0.578986,0.233445,14.2789,0.826729,0.826729,27.7311,5,5,100,0,0,0,0.487365,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-32.0451,-0.0534985,-14.0079,15.4426,4.31705,4.01469,4.01469,4.61942,5,5,100,0,0,0,0.542505,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-32.0451,-0.0534985,-14.0079,15.4426,4.31705,4.01469,4.01469,4.61942,5,5,100,0,0,0,0.542505,***
