Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1","","",-600,"<=",-9.9999e+07,"mV","<=",-200,"F",0.306612,***,"",
2,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",2,"1","","",-600,"<=",-318.266,"mV","<=",-200,"P",0.306612,***,"",
2,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",2,"1","","",-600,"<=",-354.666,"mV","<=",-200,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",2,"1","","",-600,"<=",-318.135,"mV","<=",-200,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",2,"1","","",-600,"<=",-302.759,"mV","<=",-200,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",2,"1","","",-600,"<=",-319.207,"mV","<=",-200,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",2,"1","","",-600,"<=",-312.207,"mV","<=",-200,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",2,"1","","",-600,"<=",-386.435,"mV","<=",-200,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",2,"1","","",-600,"<=",-252.104,"mV","<=",-150,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",2,"1","","",-600,"<=",-317.329,"mV","<=",-200,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",2,"1","","",-400,"<=",-273.739,"mV","<=",-60,"P",0.270603,***,"",
2,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",2,"1","","",0,"<=",0.402662,"ohm","<=",20,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",2,"1","","",-400,"<=",-273.825,"mV","<=",-60,"P",0.270603,***,"",
2,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",2,"1","","",0,"<=",0.603994,"ohm","<=",20,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",2,"1","","",-400,"<=",-273.569,"mV","<=",-60,"P",0.270603,***,"",
2,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",2,"1","","",0,"<=",0.0996056,"ohm","<=",20,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",2,"1","","",-400,"<=",-273.951,"mV","<=",-60,"P",0.270603,***,"",
2,"CONTINUITY","","MOULD_RES",10370,"",0,1,"VIN4_RS1",2,"1","","",0,"<=",0.08689,"ohm","<=",20,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",2,"1","","",-400,"<=",-273.891,"mV","<=",-60,"P",0.270603,***,"",
2,"CONTINUITY","","MOULD_RES",10380,"",0,1,"VIN4_RS2",2,"1","","",0,"<=",0.0360278,"ohm","<=",20,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",2,"1","","",-400,"<=",-273.89,"mV","<=",-60,"P",0.270603,***,"",
2,"CONTINUITY","","MOULD_RES",10390,"",0,1,"VIN5_RS1",2,"1","","",0,"<=",0.7036,"ohm","<=",20,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",2,"1","","",-400,"<=",-273.338,"mV","<=",-60,"P",0.270603,***,"",
2,"CONTINUITY","","MOULD_RES",10400,"",0,1,"VIN5_RS2",2,"1","","",0,"<=",0.485314,"ohm","<=",20,"P",0.270603,***,"",
2,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",2,"1","","",-400,"<=",-273.649,"mV","<=",-60,"P",0.270603,***,"",
