Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-200,"mV",-9.9999e+07,-302.962,-1.66668e+07,4.08243e+07,1.63301e-06,-0.13608,-0.13608,0.136084,6,5,83.3,1,16.7,0,0.306612,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-200,"mV",-354.666,-334.461,-339.242,8.68227,7.67849,5.34582,10.0112,5.34582,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-200,"mV",-318.135,-302.654,-306.797,6.43508,10.3599,5.53203,15.1877,5.53203,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-200,"mV",-302.759,-286.936,-291.057,6.66731,9.99903,4.5524,15.4457,4.5524,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-200,"mV",-319.207,-304.694,-308.325,6.15389,10.8333,5.86756,15.7989,5.86756,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-200,"mV",-312.207,-298.149,-301.916,5.8142,11.4662,5.84295,17.0894,5.84295,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-200,"mV",-386.435,-366.913,-371.227,8.5166,7.82785,6.7017,8.95399,6.7017,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-150,"mV",-252.104,-248.177,-249.873,1.52688,49.1197,21.8033,76.4362,21.8033,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-200,"mV",-317.329,-315.28,-316.43,0.993488,67.1036,39.0643,95.143,39.0643,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-60,"mV",-273.739,-269.135,-270.901,1.87272,30.259,22.9787,22.9787,37.5392,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.298818,0.76082,0.462002,0.178259,18.6994,0.863916,0.863916,36.5349,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-60,"mV",-273.825,-269.272,-271.018,1.88997,29.9828,22.7485,22.7485,37.2171,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.360278,0.832876,0.637902,0.176085,18.9303,1.20757,1.20757,36.653,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-400,-60,"mV",-273.569,-269.251,-270.998,1.84702,30.6801,23.281,23.281,38.0791,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.0317889,0.440809,0.21659,0.160684,20.7447,0.449308,0.449308,41.04,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-400,-60,"mV",-273.951,-269.342,-271.132,1.92461,29.4431,22.3192,22.3192,36.567,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.0466244,0.211927,0.127157,0.077939,42.7685,0.54383,0.54383,84.9932,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-400,-60,"mV",-273.891,-268.963,-270.941,2.0191,28.0653,21.3063,21.3063,34.8242,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.0233122,0.415378,0.15386,0.157687,21.1389,0.325242,0.325242,41.9525,5,5,100,0,0,0,0.270603,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-400,-60,"mV",-273.89,-269.493,-271.237,1.80112,31.4619,23.8302,23.8302,39.0937,5,5,100,0,0,0,0.270603,***
