Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1","","",-600,"<=",-420.837,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1","","",-600,"<=",-508.11,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1","","",-600,"<=",-421.382,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1","","",-600,"<=",-412.719,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1","","",-600,"<=",-422.452,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1","","",-600,"<=",-418.126,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1","","",-600,"<=",-533.395,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1","","",-600,"<=",-345.331,"mV","<=",-200,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1","","",-600,"<=",-373.675,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1","","",-400,"<=",-369.879,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1","","",0,"<=",0.169542,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1","","",-400,"<=",-370.298,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"1","","",0,"<=",0.519222,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1","","",-400,"<=",-369.957,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"1","","",0,"<=",0.637902,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1","","",-400,"<=",-370.138,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",0,1,"VIN4_RS1",1,"1","","",0,"<=",0.222524,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"1","","",-400,"<=",-369.965,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",0,1,"VIN4_RS2",1,"1","","",0,"<=",0.247954,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"1","","",-400,"<=",-370.398,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",0,1,"VIN5_RS1",1,"1","","",0,"<=",1.07235,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"1","","",-400,"<=",-370.052,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",0,1,"VIN5_RS2",1,"1","","",0,"<=",0.508627,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"1","","",-400,"<=",-369.877,"mV","<=",-300,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",0,1,"VIN6",1,"1","","",0,"<=",0.275507,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"1","","",-400,"<=",-263.067,"mV","<=",-200,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",0,1,"VOUT1",1,"1","","",0,"<=",0.156827,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"1","","",-400,"<=",-263.166,"mV","<=",-200,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",0,1,"VOUT2_RS1",1,"1","","",0,"<=",0.667571,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"1","","",-400,"<=",-263.199,"mV","<=",-200,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",0,1,"VOUT2_RS2",1,"1","","",0,"<=",0.570086,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"1","","",-400,"<=",-263.283,"mV","<=",-200,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",0,1,"VOUT3_RS1",1,"1","","",0,"<=",0.968509,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"1","","",-400,"<=",-263.666,"mV","<=",-200,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",0,1,"VOUT3_RS2",1,"1","","",0,"<=",0.809563,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"1","","",-400,"<=",-263.386,"mV","<=",-200,"P",0.308425,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",0,1,"VOUT4",1,"1","","",0,"<=",0.510746,"ohm","<=",20,"P",0.308425,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"1","","",-400,"<=",-263.35,"mV","<=",-200,"P",0.308425,***,"",
