Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-300,"mV",-429.257,-410.256,-418.232,7.87138,6.35213,5.00682,7.69743,5.00682,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-300,"mV",-521.428,-500.995,-510.955,7.68474,6.5064,3.8624,3.8624,9.1504,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-300,"mV",-429.863,-409.373,-418.275,8.42724,5.93314,4.67827,7.18801,4.67827,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-300,"mV",-422.68,-402.987,-411.763,7.38403,6.77137,5.04526,8.49747,5.04526,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-300,"mV",-431.046,-411.923,-420.118,7.47338,6.69042,5.35761,8.02322,5.35761,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-300,"mV",-427.119,-407.369,-415.872,8.06922,6.19639,4.7866,7.60617,4.7866,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-300,"mV",-539.713,-529.24,-533.759,3.76849,13.2679,5.85917,5.85917,20.6767,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-200,"mV",-354.893,-345.331,-351.695,4.00464,16.6474,12.6266,20.6681,12.6266,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-300,"mV",-387.847,-373.675,-380.403,6.53727,7.64845,4.09971,11.1972,4.09971,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-300,"mV",-380.903,-369.879,-375.35,3.97393,4.19401,2.06766,2.06766,6.32035,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.169542,0.82228,0.47938,0.245326,13.5874,0.651351,0.651351,26.5234,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-300,"mV",-381.145,-370.298,-375.502,3.91314,4.25915,2.08685,2.08685,6.43146,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.313653,1.08507,0.696394,0.297487,11.205,0.780307,0.780307,21.6296,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-400,-300,"mV",-381.113,-369.957,-375.572,4.02552,4.14025,2.02278,2.02278,6.25773,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.209809,0.637902,0.442081,0.174924,19.0559,0.842424,0.842424,37.2694,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-400,-300,"mV",-381.151,-370.138,-375.639,3.94988,4.21954,2.05585,2.05585,6.38323,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.0148356,0.311534,0.210232,0.120187,27.7345,0.583069,0.583069,54.8859,5,5,100,0,0,0,0.308425,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-400,-300,"mV",-381.041,-369.965,-375.501,3.98336,4.18407,2.05009,2.05009,6.31806,5,5,100,0,0,0,0.308425,***
