Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-600,-200,"mV",-318.721,-297.046,-308.151,8.49459,7.84813,4.2439,11.4524,4.2439,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-600,-200,"mV",-352.389,-334.176,-341.939,7.49736,8.89202,6.31063,11.4734,6.31063,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-600,-200,"mV",-318.989,-296.45,-307.879,9.02627,7.38585,3.98387,10.7878,3.98387,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-600,-200,"mV",-304.694,-283.18,-293.22,8.70402,7.6593,3.56999,11.7486,3.56999,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-600,-200,"mV",-320.915,-300.71,-310.363,8.15248,8.17747,4.51243,11.8425,4.51243,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-600,-200,"mV",-313.516,-293.254,-303.669,8.1092,8.22112,4.26139,12.1808,4.26139,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-600,-200,"mV",-387.46,-370.157,-377.727,6.84047,9.74592,8.66057,10.8313,8.66057,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-600,-150,"mV",-253.413,-245.445,-248.757,3.47799,21.5642,9.46498,33.6633,9.46498,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-600,-200,"mV",-326.549,-320.289,-323.066,2.48916,26.7828,16.4803,37.0853,16.4803,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-400,-60,"mV",-270.023,-248.072,-258.456,10.5686,5.3618,4.4643,4.4643,6.2593,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.211928,0.678168,0.423431,0.177851,18.7423,0.793606,0.793606,36.6909,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-400,-60,"mV",-270.914,-248.28,-258.828,10.7071,5.29243,4.39495,4.39495,6.18991,5,5,100,0,0,0,0.490416,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.415379,0.750224,0.575596,0.131818,25.2874,1.45553,1.45553,49.1192,5,5,100,0,0,0,0.490416,***
