Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log
1,"A244_DPS_CONNECT","dc_tml.DcTest.DpsConnectivity","DPS_ForceSense",***,"",0,1,"VCC_PIN20",1,"P1","","",***,"NA",0,"","NA",***,"P",37.402,40.484,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN1",1,"P1","","",-0.8,"<=",-0.322339,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN11",1,"P1","","",-0.8,"<=",-0.322948,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN12",1,"P1","","",-0.8,"<=",-0.322313,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN13",1,"P1","","",-0.8,"<=",-0.32255,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN14",1,"P1","","",-0.8,"<=",-0.323119,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN15",1,"P1","","",-0.8,"<=",-0.322787,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN16",1,"P1","","",-0.8,"<=",-0.322671,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN17",1,"P1","","",-0.8,"<=",-0.322282,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN18",1,"P1","","",-0.8,"<=",-0.322833,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN19",1,"P1","","",-0.8,"<=",-0.323004,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN2",1,"P1","","",-0.8,"<=",-0.321769,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN3",1,"P1","","",-0.8,"<=",-0.322908,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN4",1,"P1","","",-0.8,"<=",-0.322348,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN5",1,"P1","","",-0.8,"<=",-0.322728,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN6",1,"P1","","",-0.8,"<=",-0.322199,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN7",1,"P1","","",-0.8,"<=",-0.321753,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN8",1,"P1","","",-0.8,"<=",-0.322598,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN9",1,"P1","","",-0.8,"<=",-0.322029,"V","<=",-0.1,"P",19.564,24.837,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN1",1,"P1","","",-0.8,"<=",-0.322395,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN11",1,"P1","","",-0.8,"<=",-0.322834,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN12",1,"P1","","",-0.8,"<=",-0.322256,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN13",1,"P1","","",-0.8,"<=",-0.322493,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN14",1,"P1","","",-0.8,"<=",-0.323062,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN15",1,"P1","","",-0.8,"<=",-0.32273,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN16",1,"P1","","",-0.8,"<=",-0.322728,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN17",1,"P1","","",-0.8,"<=",-0.322339,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN18",1,"P1","","",-0.8,"<=",-0.322833,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN19",1,"P1","","",-0.8,"<=",-0.323004,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN2",1,"P1","","",-0.8,"<=",-0.321769,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN3",1,"P1","","",-0.8,"<=",-0.322908,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN4",1,"P1","","",-0.8,"<=",-0.322462,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN5",1,"P1","","",-0.8,"<=",-0.322671,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN6",1,"P1","","",-0.8,"<=",-0.322143,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN7",1,"P1","","",-0.8,"<=",-0.321697,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN8",1,"P1","","",-0.8,"<=",-0.322598,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN9",1,"P1","","",-0.8,"<=",-0.322086,"V","<=",-0.1,"P",10.946,15.221,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN1",1,"P1","","",-0.8,"<=",-0.322509,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN11",1,"P1","","",-0.8,"<=",-0.322948,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN12",1,"P1","","",-0.8,"<=",-0.322313,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN13",1,"P1","","",-0.8,"<=",-0.322436,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN14",1,"P1","","",-0.8,"<=",-0.323119,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN15",1,"P1","","",-0.8,"<=",-0.322844,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN16",1,"P1","","",-0.8,"<=",-0.322728,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN17",1,"P1","","",-0.8,"<=",-0.322395,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN18",1,"P1","","",-0.8,"<=",-0.322776,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN19",1,"P1","","",-0.8,"<=",-0.322947,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN2",1,"P1","","",-0.8,"<=",-0.321883,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN3",1,"P1","","",-0.8,"<=",-0.322851,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN4",1,"P1","","",-0.8,"<=",-0.322348,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN5",1,"P1","","",-0.8,"<=",-0.322728,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN6",1,"P1","","",-0.8,"<=",-0.322086,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN7",1,"P1","","",-0.8,"<=",-0.321753,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN8",1,"P1","","",-0.8,"<=",-0.322655,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_OPENS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN9",1,"P1","","",-0.8,"<=",-0.322029,"V","<=",0.1,"P",15.394,21.168,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN1",1,"P1","","",-2,"<=",-0.322452,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN11",1,"P1","","",-2,"<=",-0.322834,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN12",1,"P1","","",-2,"<=",-0.322313,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN13",1,"P1","","",-2,"<=",-0.322436,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN14",1,"P1","","",-2,"<=",-0.323005,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN15",1,"P1","","",-2,"<=",-0.32273,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN16",1,"P1","","",-2,"<=",-0.322671,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN17",1,"P1","","",-2,"<=",-0.322282,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN18",1,"P1","","",-2,"<=",-0.322719,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN19",1,"P1","","",-2,"<=",-0.323004,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN2",1,"P1","","",-2,"<=",-0.321883,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN3",1,"P1","","",-2,"<=",-0.322851,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN4",1,"P1","","",-2,"<=",-0.322405,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN5",1,"P1","","",-2,"<=",-0.322614,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN6",1,"P1","","",-2,"<=",-0.322199,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN7",1,"P1","","",-2,"<=",-0.321697,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN8",1,"P1","","",-2,"<=",-0.322541,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_SHORTS_R","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",***,"",0,1,"PIN9",1,"P1","","",-2,"<=",-0.321972,"V","<=",-0.1,"P",15.191,19.997,""
1,"A244_PRE_TEMP_R","AP54RH504_tml.Temp","TEMP_OK",***,"",0,1,"PIN1",1,"P1","","",0.5,"<=",1,"UI","<=",1.5,"P",7.943,15.211,""
1,"A244_PRE_TEMP_R","AP54RH504_tml.Temp","TEMP_raw_V",***,"",0,1,"PIN1",1,"P1","","",-2,"<=",-0.322282,"V","<=",2,"P",5.799,15.211,""
1,"A244_IOFF_GND_R","AP54RH504_tml.IO_Leakage","passCurrentHigh_uA",24410070,"",0,1,"PIN1",1,"P1","","",-0.2,"<=",0,"uA","<=",0.4,"P",91.344,93.422,""
1,"A244_IOFF_GND_R","AP54RH504_tml.IO_Leakage","passCurrentHigh_uA",24410070,"",0,1,"PIN2",1,"P1","","",-0.2,"<=",0.001,"uA","<=",0.4,"P",91.344,93.422,""
1,"A244_IOFF_GND_R","AP54RH504_tml.IO_Leakage","passCurrentHigh_uA",24410070,"",0,1,"PIN4",1,"P1","","",-0.2,"<=",0.035,"uA","<=",0.4,"P",91.344,93.422,""
1,"A244_IOFF_GND_R","AP54RH504_tml.IO_Leakage","passCurrentHigh_uA",24410070,"",0,1,"PIN6",1,"P1","","",-0.2,"<=",0,"uA","<=",0.4,"P",91.344,93.422,""
1,"A244_IOFF_GND_R","AP54RH504_tml.IO_Leakage","passCurrentHigh_uA",24410070,"",0,1,"PIN8",1,"P1","","",-0.2,"<=",0.001,"uA","<=",0.4,"P",91.344,93.422,""
1,"A244_IOFF_GND_R","AP54RH504_tml.IO_Leakage","passCurrentHigh_uA",24410070,"",0,1,"PIN11",1,"P1","","",-0.2,"<=",0.007,"uA","<=",0.4,"P",91.344,93.422,""
1,"A244_IOFF_GND_R","AP54RH504_tml.IO_Leakage","passCurrentHigh_uA",24410070,"",0,1,"PIN13",1,"P1","","",-0.2,"<=",0.012,"uA","<=",0.4,"P",91.344,93.422,""
1,"A244_IOFF_GND_R","AP54RH504_tml.IO_Leakage","passCurrentHigh_uA",24410070,"",0,1,"PIN15",1,"P1","","",-0.2,"<=",0.001,"uA","<=",0.4,"P",91.344,93.422,""
1,"A244_IOFF_GND_R","AP54RH504_tml.IO_Leakage","passCurrentHigh_uA",24410070,"",0,1,"PIN17",1,"P1","","",-0.2,"<=",0.001,"uA","<=",0.4,"P",91.344,93.422,""
1,"A244_IOFF_GND_R","AP54RH504_tml.IO_Leakage","passCurrentHigh_uA",24410070,"",0,1,"PIN19",1,"P1","","",-0.2,"<=",0,"uA","<=",0.4,"P",91.344,93.422,""
