Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,37.728,40.527
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.323517,-0.322095,-0.322892,0.000408488,181.884,389.328,181.884,1,0,0,18.491,23.81
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.32346,-0.322038,-0.322908,0.000386969,192.012,410.965,192.012,1,0,0,13.408,19.965
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.323517,-0.322095,-0.322927,0.000396366,355.671,401.206,355.671,1,0,0,15.459,21.031
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.323517,-0.322095,-0.322921,0.000406293,182.89,1375.92,182.89,1,0,0,13.461,19.243
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,7.741,14.753
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.322623,-0.322623,-0.322623,0,***,***,***,1,0,0,5.741,14.753
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.024,0.00527778,0.0068411,10.0022,10.0022,19.2329,1,0,0,91.957,94.269
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000115563,0.000115563,0.000115563,0,***,***,***,1,0,0,18.069,22.723
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,2.801,4.315
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",100.177,100.177,100.177,0,***,***,***,1,0,0,30.4,36.253
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",114.038,114.038,114.038,0,***,***,***,1,0,0,205.768,213.622
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",113.847,113.847,113.847,0,***,***,***,1,0,0,815.99,821.515
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",99.599,99.599,99.599,0,***,***,***,1,0,0,0.015,821.515
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",450.713,450.713,450.713,0,***,***,***,1,0,0,0.032,821.515
"A244_OVST_R","ICCL_VCCY_POST",24414720,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",113.788,113.788,113.788,0,***,***,***,1,0,0,0.022,821.515
"A244_OVST_R","ICCH_VCCY_POST",24414740,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",99.5001,99.5001,99.5001,0,***,***,***,1,0,0,0.027,821.515
"A244_OVST_R","ICCL_VCCY_DIFF",24414760,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0587374,-0.0587374,-0.0587374,0,***,***,***,1,0,0,0.025,821.515
"A244_OVST_R","ICCH_VCCY_DIFF",24414780,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0988633,-0.0988633,-0.0988633,0,***,***,***,1,0,0,0.024,821.515
"A244_ICCX_VCC_R","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,41.688,45.145
"A244_VILH_R","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,20.985,60.616
"A244_VILH_R","VILH_VCC_4.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,3.968,60.616
"A244_VILH_R","VILH_VCC_3.6000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.946,60.616
"A244_VILH_R","VILH_VCC_3.0000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,3.938,60.616
"A244_VILH_R","VILH_VCC_2.7000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.942,60.616
"A244_VILH_R","VILH_VCC_2.3000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,3.969,60.616
"A244_VILH_R","VILH_VCC_1.9500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.06,60.616
"A244_VILH_R","VILH_VCC_1.6500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.049,60.616
"A244_VILH_R","VILH_VCC_1.4000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.944,60.616
"A244_VOLH_R","VOL_VCCY_1.40_IOL_0.10",24410622,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.007913,0.00814,0.00801525,7.57849e-05,35.2544,35.2544,96.698,1,0,0,27.84,608.696
"A244_VOLH_R","VOH_VCCY_1.40_IOH_-0.10",24410624,"Parametric","AP54RHC244_TRUTH_TABLE",1.37,1.4,"V",1.39145,1.39217,1.39181,0.00022571,12.1009,32.2038,12.1009,1,0,0,10.909,608.696
"A244_VOLH_R","VOL_VCCY_5.50_IOL_0.10",24410170,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.003584,0.003755,0.00364613,4.79566e-05,25.3432,25.3432,183.178,1,0,0,18.12,608.696
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-0.10",24410180,"Parametric","AP54RHC244_TRUTH_TABLE",5.47,5.5,"V",5.49401,5.49458,5.4943,0.000173993,10.9188,46.5549,10.9188,1,0,0,8.832,608.696
"A244_VOLH_R","VOL_VCCY_1.65_IOL_1.00",24410190,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.09,"V",0.06622,0.067374,0.0668689,0.000362696,21.2585,61.4555,21.2585,1,0,0,7.973,608.696
"A244_VOLH_R","VOH_VCCY_1.65_IOH_-1.00",24410200,"Parametric","AP54RHC244_TRUTH_TABLE",1.55,1.65,"V",1.57924,1.58503,1.58178,0.00196643,5.3871,5.3871,11.5641,1,0,0,8.883,608.696
"A244_VOLH_R","VOL_VCCY_5.50_IOL_1.00",24410210,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.075,"V",0.03362,0.034644,0.0342863,0.000345447,33.0839,33.0839,39.286,1,0,0,17.972,608.696
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-1.00",24410220,"Parametric","AP54RHC244_TRUTH_TABLE",5.4,5.5,"V",5.46348,5.46877,5.46572,0.00181498,6.29597,12.0697,6.29597,1,0,0,8.66,608.696
"A244_VOLH_R","VOL_VCCY_1.65_IOL_4.00",24410610,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.291973,0.297361,0.29536,0.00171923,49.371,57.2661,49.371,1,0,0,8.535,608.696
"A244_VOLH_R","VOH_VCCY_1.65_IOH_-4.00",24410620,"Parametric","AP54RHC244_TRUTH_TABLE",1.25,1.65,"V",1.34925,1.37434,1.35986,0.00881428,4.15452,4.15452,10.9725,1,0,0,8.903,608.696
"A244_VOLH_R","VOL_VCCY_1.95_IOL_4.00",24410230,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.2369,0.241488,0.239972,0.00148591,53.8328,53.8328,69.5484,1,0,0,18.14,608.696
"A244_VOLH_R","VOH_VCCY_1.95_IOH_-4.00",24410240,"Parametric","AP54RHC244_TRUTH_TABLE",1.4,1.95,"V",1.69914,1.72247,1.70896,0.00812925,9.88369,12.6686,9.88369,1,0,0,8.499,608.696
"A244_VOLH_R","VOL_VCCY_2.30_IOL_4.00",24410250,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.54,"V",0.203617,0.207542,0.2064,0.00136279,50.4848,50.4848,81.5975,1,0,0,18.462,608.696
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-4.00",24410260,"Parametric","AP54RHC244_TRUTH_TABLE",1.865,2.3,"V",2.08211,2.1046,2.09158,0.00779993,8.90711,9.6828,8.90711,1,0,0,8.899,608.696
"A244_VOLH_R","VOL_VCCY_3.00_IOL_4.00",24410270,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.34,"V",0.169481,0.173483,0.172288,0.00136489,40.9587,42.076,40.9587,1,0,0,18.472,608.696
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-4.00",24410280,"Parametric","AP54RHC244_TRUTH_TABLE",2.65,3,"V",2.81861,2.83895,2.82706,0.00704637,8.18097,8.37602,8.18097,1,0,0,10.726,608.696
"A244_VOLH_R","VOL_VCCY_4.50_IOL_4.00",24410290,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.36,"V",0.14166,0.145347,0.14428,0.00128569,37.4066,37.4066,55.9283,1,0,0,17.659,608.696
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-4.00",24410300,"Parametric","AP54RHC244_TRUTH_TABLE",4.24,4.5,"V",4.35131,4.37078,4.35927,0.00670091,5.93313,5.93313,7.00042,1,0,0,8.597,608.696
"A244_VOLH_R","VOL_VCCY_2.30_IOL_8.00",24410310,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.8,"V",0.429143,0.438611,0.435553,0.00315813,38.4665,45.9717,38.4665,1,0,0,8.345,608.696
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-8.00",24410320,"Parametric","AP54RHC244_TRUTH_TABLE",1.53,2.3,"V",1.84967,1.8942,1.86853,0.0153441,7.35417,7.35417,9.37327,1,0,0,8.219,608.696
"A244_VOLH_R","VOL_VCCY_2.70_IOL_8.00",24410330,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.67,"V",0.373274,0.381883,0.379147,0.00292381,33.1591,43.2253,33.1591,1,0,0,18.016,608.696
"A244_VOLH_R","VOH_VCCY_2.70_IOH_-8.00",24410340,"Parametric","AP54RHC244_TRUTH_TABLE",1.9,2.7,"V",2.3043,2.34633,2.322,0.0144534,8.71758,9.73246,8.71758,1,0,0,8.598,608.696
