Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,90.578,94.304
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.323233,-0.32181,-0.322633,0.000402615,184.323,395.222,184.323,1,0,0,24.141,31.661
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.323175,-0.32181,-0.322643,0.000406328,182.646,391.603,182.646,1,0,0,12.604,19.959
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.323233,-0.321867,-0.322633,0.000397798,354.144,400.008,354.144,1,0,0,16.617,23.437
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.323233,-0.321867,-0.322636,0.000411867,180.185,1357.53,180.185,1,0,0,15.307,22.466
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.721,15.916
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.322509,-0.322509,-0.322509,0,***,***,***,1,0,0,5.936,15.916
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.024,0.00527778,0.00680662,10.0529,10.0529,19.3303,1,0,0,93.494,95.767
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000115786,0.000115786,0.000115786,0,***,***,***,1,0,0,18.941,24.101
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,3.297,5.241
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",100.223,100.223,100.223,0,***,***,***,1,0,0,31.58,37.04
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",113.995,113.995,113.995,0,***,***,***,1,0,0,205.809,210.242
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",113.874,113.874,113.874,0,***,***,***,1,0,0,815.157,822.071
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",99.5508,99.5508,99.5508,0,***,***,***,1,0,0,0.014,822.071
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",330.448,330.448,330.448,0,***,***,***,1,0,0,0.036,822.071
"A244_OVST_R","ICCL_VCCY_POST",24414720,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",113.821,113.821,113.821,0,***,***,***,1,0,0,0.012,822.071
"A244_OVST_R","ICCH_VCCY_POST",24414740,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",99.5483,99.5483,99.5483,0,***,***,***,1,0,0,0.01,822.071
