Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,98.295,101.179
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.323119,-0.321697,-0.3225,0.000391525,189.431,406.53,189.431,1,0,0,21.83,28.636
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.323062,-0.321697,-0.322478,0.000384021,193.113,414.492,193.113,1,0,0,12.349,18.898
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.323119,-0.321697,-0.3225,0.000405873,346.989,392.158,346.989,1,0,0,14.16,19.373
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.323062,-0.32164,-0.322491,0.000410715,180.572,1361.45,180.572,1,0,0,14.75,20.096
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,7.899,14.811
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.322282,-0.322282,-0.322282,0,***,***,***,1,0,0,5.611,14.811
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.024,0.00511111,0.00681598,10.0309,10.0309,19.3119,1,0,0,90.914,92.542
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000115191,0.000115191,0.000115191,0,***,***,***,1,0,0,18.502,22.776
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,2.934,4.579
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",100.195,100.195,100.195,0,***,***,***,1,0,0,28.699,32.924
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",114.018,114.018,114.018,0,***,***,***,1,0,0,206.288,209.697
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",113.867,113.867,113.867,0,***,***,***,1,0,0,812.809,817.584
