Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,89.197,92.594
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.322825,-0.322102,-0.322418,0.000247151,299.976,644.115,299.976,1,0,0,20.809,29.089
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.322776,-0.322029,-0.322431,0.000247168,299.973,644.055,299.973,1,0,0,12.287,18.521
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.32289,-0.322029,-0.322431,0.000253318,555.864,628.419,555.864,1,0,0,14.248,20.081
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.322737,-0.322029,-0.322418,0.000239252,309.88,2337.26,309.88,1,0,0,13.352,18.554
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.006,14.6
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.322509,-0.322509,-0.322509,0,***,***,***,1,0,0,5.547,14.6
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.017,0.00333333,0.00515638,13.1445,13.1445,25.6425,1,0,0,92.008,94.773
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000114571,0.000114571,0.000114571,0,***,***,***,1,0,0,19.795,24.375
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,2.866,4.489
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",99.4291,99.4291,99.4291,0,***,***,***,1,0,0,29.919,33.914
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",112.816,112.816,112.816,0,***,***,***,1,0,0,206.424,211.982
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.754,112.754,112.754,0,***,***,***,1,0,0,814.905,821.367
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.8182,98.8182,98.8182,0,***,***,***,1,0,0,0.024,821.367
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",300.382,300.382,300.382,0,***,***,***,1,0,0,0.029,821.367
