Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,37.393,39.888
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.322434,-0.321687,-0.322039,0.000241881,305.989,658.673,305.989,1,0,0,21.786,29.021
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.322377,-0.321687,-0.322029,0.000251243,294.575,634.142,294.575,1,0,0,12.311,18.365
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.322377,-0.321687,-0.322032,0.000222606,631.957,715.716,631.957,1,0,0,14.573,19.796
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.322377,-0.321744,-0.322051,0.000236656,312.762,2363.41,312.762,1,0,0,13.031,17.365
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.22,15.253
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.322111,-0.322111,-0.322111,0,***,***,***,1,0,0,5.877,15.253
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.017,0.00333333,0.00513351,13.203,13.203,25.7567,1,0,0,91.407,93.76
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000114174,0.000114174,0.000114174,0,***,***,***,1,0,0,16.98,20.95
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,2.948,4.639
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",99.4139,99.4139,99.4139,0,***,***,***,1,0,0,31.01,37.189
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",113.014,113.014,113.014,0,***,***,***,1,0,0,205.876,210.277
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.767,112.767,112.767,0,***,***,***,1,0,0,814.44,819.441
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.6966,98.6966,98.6966,0,***,***,***,1,0,0,0.028,819.441
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",230.227,230.227,230.227,0,***,***,***,1,0,0,0.084,819.441
"A244_OVST_R","ICCL_VCCY_POST",24414720,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.715,112.715,112.715,0,***,***,***,1,0,0,0.009,819.441
"A244_OVST_R","ICCH_VCCY_POST",24414740,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.7447,98.7447,98.7447,0,***,***,***,1,0,0,0.02,819.441
"A244_OVST_R","ICCL_VCCY_DIFF",24414760,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0516874,-0.0516874,-0.0516874,0,***,***,***,1,0,0,0.009,819.441
"A244_OVST_R","ICCH_VCCY_DIFF",24414780,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",0.0481629,0.0481629,0.0481629,0,***,***,***,1,0,0,0.008,819.441
"A244_ICCX_VCC_R","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,41.703,45.427
"A244_VILH_R","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,20.538,60.289
"A244_VILH_R","VILH_VCC_4.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,3.999,60.289
"A244_VILH_R","VILH_VCC_3.6000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.964,60.289
"A244_VILH_R","VILH_VCC_3.0000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,3.936,60.289
"A244_VILH_R","VILH_VCC_2.7000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.945,60.289
"A244_VILH_R","VILH_VCC_2.3000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.192,60.289
"A244_VILH_R","VILH_VCC_1.9500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.035,60.289
"A244_VILH_R","VILH_VCC_1.6500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,3.981,60.289
"A244_VILH_R","VILH_VCC_1.4000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.86,60.289
"A244_VOLH_R","VOL_VCCY_1.40_IOL_0.10",24410622,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.008027,0.008302,0.008136,9.93105e-05,27.3083,27.3083,73.386,1,0,0,26.549,594.084
"A244_VOLH_R","VOH_VCCY_1.40_IOH_-0.10",24410624,"Parametric","AP54RHC244_TRUTH_TABLE",1.37,1.4,"V",1.39134,1.39206,1.39168,0.000225349,12.31,32.0656,12.31,1,0,0,10.272,594.084
"A244_VOLH_R","VOL_VCCY_5.50_IOL_0.10",24410170,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.003527,0.003812,0.00367462,8.52943e-05,14.3606,14.3606,102.881,1,0,0,17.47,594.084
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-0.10",24410180,"Parametric","AP54RHC244_TRUTH_TABLE",5.47,5.5,"V",5.49406,5.49446,5.49426,0.000157803,12.1291,51.2412,12.1291,1,0,0,8.198,594.084
"A244_VOLH_R","VOL_VCCY_1.65_IOL_1.00",24410190,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.09,"V",0.067301,0.068382,0.0678935,0.000375899,19.6032,60.2055,19.6032,1,0,0,7.522,594.084
"A244_VOLH_R","VOH_VCCY_1.65_IOH_-1.00",24410200,"Parametric","AP54RHC244_TRUTH_TABLE",1.55,1.65,"V",1.5777,1.58332,1.58043,0.00190935,5.31215,5.31215,12.1458,1,0,0,8.467,594.084
"A244_VOLH_R","VOL_VCCY_5.50_IOL_1.00",24410210,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.075,"V",0.033904,0.035042,0.0345993,0.000376448,30.6366,30.6366,35.7736,1,0,0,18.195,594.084
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-1.00",24410220,"Parametric","AP54RHC244_TRUTH_TABLE",5.4,5.5,"V",5.46291,5.46803,5.46523,0.00172971,6.70095,12.5701,6.70095,1,0,0,8.68,594.084
"A244_VOLH_R","VOL_VCCY_1.65_IOL_4.00",24410610,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.297492,0.303245,0.301017,0.00202659,40.9526,49.5112,40.9526,1,0,0,8.58,594.084
"A244_VOLH_R","VOH_VCCY_1.65_IOH_-4.00",24410620,"Parametric","AP54RHC244_TRUTH_TABLE",1.25,1.65,"V",1.34224,1.36654,1.35355,0.00859434,4.01631,4.01631,11.4978,1,0,0,8.645,594.084
"A244_VOLH_R","VOL_VCCY_1.95_IOL_4.00",24410230,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.240541,0.245553,0.243729,0.00174637,46.5211,46.5211,58.4588,1,0,0,18.364,594.084
"A244_VOLH_R","VOH_VCCY_1.95_IOH_-4.00",24410240,"Parametric","AP54RHC244_TRUTH_TABLE",1.4,1.95,"V",1.69435,1.71649,1.70433,0.00780976,10.4854,12.9895,10.4854,1,0,0,8.305,594.084
"A244_VOLH_R","VOL_VCCY_2.30_IOL_4.00",24410250,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.54,"V",0.206234,0.210848,0.209246,0.00165449,42.1572,42.1572,66.6376,1,0,0,17.648,594.084
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-4.00",24410260,"Parametric","AP54RHC244_TRUTH_TABLE",1.865,2.3,"V",2.0783,2.09965,2.08787,0.0074911,9.43928,9.91702,9.43928,1,0,0,7.891,594.084
"A244_VOLH_R","VOL_VCCY_3.00_IOL_4.00",24410270,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.34,"V",0.171473,0.1758,0.17428,0.00151697,36.4149,38.2957,36.4149,1,0,0,17.311,594.084
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-4.00",24410280,"Parametric","AP54RHC244_TRUTH_TABLE",2.65,3,"V",2.81565,2.83536,2.82416,0.00690759,8.40422,8.40422,8.48541,1,0,0,8.882,594.084
"A244_VOLH_R","VOL_VCCY_4.50_IOL_4.00",24410290,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.36,"V",0.142969,0.147126,0.145689,0.00146266,33.202,33.202,48.8406,1,0,0,18.553,594.084
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-4.00",24410300,"Parametric","AP54RHC244_TRUTH_TABLE",4.24,4.5,"V",4.34926,4.36776,4.35712,0.00642555,6.0759,6.0759,7.41192,1,0,0,8.561,594.084
"A244_VOLH_R","VOL_VCCY_2.30_IOL_8.00",24410310,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.8,"V",0.435686,0.44588,0.442121,0.00359061,33.2236,41.0442,33.2236,1,0,0,8.482,594.084
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-8.00",24410320,"Parametric","AP54RHC244_TRUTH_TABLE",1.53,2.3,"V",1.84079,1.88343,1.86027,0.0148736,7.40162,7.40162,9.85488,1,0,0,8.155,594.084
"A244_VOLH_R","VOL_VCCY_2.70_IOL_8.00",24410330,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.67,"V",0.37811,0.387506,0.384078,0.00329858,28.8935,38.8125,28.8935,1,0,0,18.003,594.084
"A244_VOLH_R","VOH_VCCY_2.70_IOH_-8.00",24410340,"Parametric","AP54RHC244_TRUTH_TABLE",1.9,2.7,"V",2.2973,2.33756,2.31536,0.0139392,9.19811,9.93256,9.19811,1,0,0,8.305,594.084
"A244_VOLH_R","VOL_VCCY_3.00_IOL_8.00",24410350,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.67,"V",0.350971,0.360026,0.35674,0.0031951,32.6814,37.2174,32.6814,1,0,0,17.916,594.084
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-8.00",24410360,"Parametric","AP54RHC244_TRUTH_TABLE",2.3,3,"V",2.62605,2.66529,2.6435,0.0135962,8.42139,8.42139,8.74021,1,0,0,8.431,594.084
"A244_VOLH_R","VOL_VCCY_4.50_IOL_8.00",24410370,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.51,"V",0.288047,0.296531,0.293581,0.00300872,23.9769,32.5256,23.9769,1,0,0,18.168,594.084
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-8.00",24410380,"Parametric","AP54RHC244_TRUTH_TABLE",3.97,4.5,"V",4.19839,4.23608,4.21474,0.0129728,6.28846,6.28846,7.32979,1,0,0,8.826,594.084
"A244_VOLH_R","VOL_VCCY_3.00_IOL_16.00",24410390,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.13,"V",0.749282,0.770464,0.762974,0.00742818,16.47,34.2378,16.47,1,0,0,8.405,594.084
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-16.00",24410400,"Parametric","AP54RHC244_TRUTH_TABLE",1.71,3,"V",2.21653,2.30367,2.25583,0.0301104,6.04251,6.04251,8.23826,1,0,0,8.162,594.084
"A244_VOLH_R","VOL_VCCY_3.60_IOL_16.00",24410410,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.13,"V",0.656148,0.674938,0.668378,0.00665943,23.1062,33.4552,23.1062,1,0,0,17.852,594.084
"A244_VOLH_R","VOH_VCCY_3.60_IOH_-16.00",24410420,"Parametric","AP54RHC244_TRUTH_TABLE",2.31,3.6,"V",2.91053,2.99188,2.94655,0.0280217,7.57206,7.57206,7.77319,1,0,0,8.09,594.084
"A244_VOLH_R","VOL_VCCY_4.50_IOL_16.00",24410430,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.07,"V",0.587933,0.605526,0.599384,0.00622819,25.1874,32.0791,25.1874,1,0,0,17.727,594.084
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-16.00",24410440,"Parametric","AP54RHC244_TRUTH_TABLE",3.45,4.5,"V",3.88924,3.96702,3.92324,0.026718,5.90413,5.90413,7.19566,1,0,0,8.351,594.084
"A244_VOLH_R","VOL_VCCY_4.50_IOL_24.00",24410450,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.27,"V",0.905796,0.933752,0.924044,0.00987424,11.6787,31.1938,11.6787,1,0,0,6.157,594.084
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-24.00",24410460,"Parametric","AP54RHC244_TRUTH_TABLE",3.14,4.5,"V",3.56722,3.68873,3.62066,0.0417238,3.84004,3.84004,7.02506,1,0,0,7.861,594.084
"A244_VOLH_R","VOL_VCCY_5.50_IOL_24.00",24410470,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.27,"V",0.841108,0.867413,0.858345,0.009371,14.6429,30.532,14.6429,1,0,0,18.145,594.084
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-24.00",24410480,"Parametric","AP54RHC244_TRUTH_TABLE",4.23,5.5,"V",4.65044,4.76725,4.70127,0.0400582,3.92155,3.92155,6.6464,1,0,0,8.756,594.084
"A244_VOLH_R","VOL_VCCY_2.30_IOL_0.10",24410490,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.005122,0.005344,0.00521875,7.1097e-05,116.185,***,116.185,1,0,0,8.062,594.084
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-0.10",24410500,"Parametric","AP54RHC244_TRUTH_TABLE",2.2,***,"V",2.29394,2.29445,2.29422,0.000160337,***,195.884,***,1,0,0,8.221,594.084
"A244_VOLH_R","VOL_VCCY_2.30_IOL_1.00",24410510,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.05029,0.051372,0.0509156,0.000396535,32.855,***,32.855,1,0,0,6.219,594.084
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-1.00",24410520,"Parametric","AP54RHC244_TRUTH_TABLE",2.15,***,"V",2.24541,2.25019,2.24763,0.00159771,***,20.3685,***,1,0,0,7.919,594.084
"A244_VOLH_R","VOL_VCCY_3.00_IOL_0.10",24410530,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.004325,0.004552,0.00445013,6.55078e-05,130.009,***,130.009,1,0,0,17.258,594.084
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-0.10",24410540,"Parametric","AP54RHC244_TRUTH_TABLE",2.9,***,"V",2.99449,2.99512,2.99478,0.000213632,***,147.886,***,1,0,0,7.807,594.084
"A244_VOLH_R","VOL_VCCY_3.00_IOL_1.00",24410550,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.042495,0.04352,0.0431165,0.000354933,44.0304,***,44.0304,1,0,0,6.233,594.084
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-1.00",24410560,"Parametric","AP54RHC244_TRUTH_TABLE",2.85,***,"V",2.95371,2.95844,2.95584,0.00160601,***,21.9668,***,1,0,0,7.902,594.084
"A244_VOLH_R","VOL_VCCY_4.50_IOL_0.10",24410570,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.003641,0.003978,0.003824,0.00010697,81.5681,***,81.5681,1,0,0,17.812,594.084
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-0.10",24410580,"Parametric","AP54RHC244_TRUTH_TABLE",4.4,***,"V",4.49432,4.49477,4.49455,0.000173201,***,181.967,***,1,0,0,8.127,594.084
"A244_VOLH_R","VOL_VCCY_4.50_IOL_1.00",24410590,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.035839,0.036807,0.036428,0.000359484,49.6749,***,49.6749,1,0,0,6.314,594.084
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-1.00",24410600,"Parametric","AP54RHC244_TRUTH_TABLE",4.35,***,"V",4.46089,4.46549,4.46295,0.00154218,***,24.4137,***,1,0,0,7.994,594.084
"A244_VOLH_R","VOL_VCCY_1.40_IOL_1.00",24410626,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.1,"V",0.082491,0.083572,0.0830924,0.000403818,13.9565,68.5889,13.9565,1,0,0,7.745,594.084
