Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,89.626,92.342
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.322776,-0.322086,-0.322412,0.000224516,330.21,709.065,330.21,1,0,0,19.651,23.88
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.322776,-0.322086,-0.322409,0.000237831,311.717,669.37,311.717,1,0,0,12.038,17.239
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.322794,-0.322086,-0.322428,0.000236086,596.431,674.291,596.431,1,0,0,14.391,20.662
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.322833,-0.322102,-0.322453,0.000229789,322.692,2433.46,322.692,1,0,0,14.765,20.275
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.156,15.291
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.322509,-0.322509,-0.322509,0,***,***,***,1,0,0,5.627,15.291
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.017,0.00338889,0.00519206,13.0577,13.0577,25.4627,1,0,0,90.609,92.787
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000114025,0.000114025,0.000114025,0,***,***,***,1,0,0,18.271,22.308
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,3.087,4.498
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",99.3303,99.3303,99.3303,0,***,***,***,1,0,0,30.629,34.846
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",112.885,112.885,112.885,0,***,***,***,1,0,0,206.918,212.334
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.714,112.714,112.714,0,***,***,***,1,0,0,816.38,821.69
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.7751,98.7751,98.7751,0,***,***,***,1,0,0,0.011,821.69
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",601.044,601.044,601.044,0,***,***,***,1,0,0,0.027,821.69
"A244_OVST_R","ICCL_VCCY_POST",24414720,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.671,112.671,112.671,0,***,***,***,1,0,0,0.041,821.69
"A244_OVST_R","ICCH_VCCY_POST",24414740,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.7295,98.7295,98.7295,0,***,***,***,1,0,0,0.091,821.69
"A244_OVST_R","ICCL_VCCY_DIFF",24414760,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0425532,-0.0425532,-0.0425532,0,***,***,***,1,0,0,0.009,821.69
