Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,37.368,39.611
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.32268,-0.321915,-0.322317,0.000266881,277.673,596.624,277.673,1,0,0,19.115,23.999
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.322719,-0.321988,-0.322323,0.000242401,305.723,656.867,305.723,1,0,0,11.763,16.804
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.322719,-0.321972,-0.322333,0.00024285,579.689,655.641,579.689,1,0,0,16.461,21.386
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.322776,-0.321988,-0.32233,0.000234688,315.78,2382.84,315.78,1,0,0,15.76,22.442
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.195,15.885
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.322452,-0.322452,-0.322452,0,***,***,***,1,0,0,6.098,15.885
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.018,0.0035,0.00531646,12.7591,12.7591,24.8599,1,0,0,91.366,93.649
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000115092,0.000115092,0.000115092,0,***,***,***,1,0,0,17.047,21.313
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,2.93,4.551
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",99.4241,99.4241,99.4241,0,***,***,***,1,0,0,29.601,34.643
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",112.88,112.88,112.88,0,***,***,***,1,0,0,205.956,210.694
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.709,112.709,112.709,0,***,***,***,1,0,0,815.162,819.856
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.7878,98.7878,98.7878,0,***,***,***,1,0,0,0.011,819.856
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",250.272,250.272,250.272,0,***,***,***,1,0,0,0.017,819.856
"A244_OVST_R","ICCL_VCCY_POST",24414720,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.665,112.665,112.665,0,***,***,***,1,0,0,0.036,819.856
"A244_OVST_R","ICCH_VCCY_POST",24414740,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.7194,98.7194,98.7194,0,***,***,***,1,0,0,0.118,819.856
"A244_OVST_R","ICCL_VCCY_DIFF",24414760,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0438627,-0.0438627,-0.0438627,0,***,***,***,1,0,0,0.007,819.856
"A244_OVST_R","ICCH_VCCY_DIFF",24414780,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0684453,-0.0684453,-0.0684453,0,***,***,***,1,0,0,0.022,819.856
"A244_ICCX_VCC_R","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,42.771,46.659
"A244_VILH_R","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,21.627,64.609
"A244_VILH_R","VILH_VCC_4.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.473,64.609
"A244_VILH_R","VILH_VCC_3.6000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.09,64.609
"A244_VILH_R","VILH_VCC_3.0000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.216,64.609
"A244_VILH_R","VILH_VCC_2.7000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.089,64.609
"A244_VILH_R","VILH_VCC_2.3000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.095,64.609
"A244_VILH_R","VILH_VCC_1.9500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.664,64.609
"A244_VILH_R","VILH_VCC_1.6500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.347,64.609
"A244_VILH_R","VILH_VCC_1.4000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.626,64.609
"A244_VOLH_R","VOL_VCCY_1.40_IOL_0.10",24410622,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.008027,0.008254,0.0081645,8.94763e-05,30.4159,30.4159,81.3456,1,0,0,27.916,620.063
"A244_VOLH_R","VOH_VCCY_1.40_IOH_-0.10",24410624,"Parametric","AP54RHC244_TRUTH_TABLE",1.37,1.4,"V",1.39123,1.39194,1.39166,0.000244618,11.3694,29.5106,11.3694,1,0,0,11.641,620.063
"A244_VOLH_R","VOL_VCCY_5.50_IOL_0.10",24410170,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.003584,0.003808,0.00367463,8.49116e-05,14.4253,14.4253,103.344,1,0,0,18.051,620.063
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-0.10",24410180,"Parametric","AP54RHC244_TRUTH_TABLE",5.47,5.5,"V",5.49409,5.49469,5.49431,0.000211342,8.97792,38.3386,8.97792,1,0,0,9.342,620.063
"A244_VOLH_R","VOL_VCCY_1.65_IOL_1.00",24410190,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.09,"V",0.067244,0.068325,0.0678579,0.000384465,19.1974,58.8332,19.1974,1,0,0,8.092,620.063
"A244_VOLH_R","VOH_VCCY_1.65_IOH_-1.00",24410200,"Parametric","AP54RHC244_TRUTH_TABLE",1.55,1.65,"V",1.57776,1.58332,1.58045,0.00189263,5.36282,5.36282,12.2494,1,0,0,9.242,620.063
"A244_VOLH_R","VOL_VCCY_5.50_IOL_1.00",24410210,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.075,"V",0.033904,0.034985,0.034578,0.000375105,30.7274,30.7274,35.9206,1,0,0,18.294,620.063
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-1.00",24410220,"Parametric","AP54RHC244_TRUTH_TABLE",5.4,5.5,"V",5.46303,5.46809,5.46526,0.00172053,6.72982,12.6441,6.72982,1,0,0,9.758,620.063
"A244_VOLH_R","VOL_VCCY_1.65_IOL_4.00",24410610,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.297264,0.303007,0.300811,0.0020458,40.6018,49.0128,40.6018,1,0,0,8.552,620.063
"A244_VOLH_R","VOH_VCCY_1.65_IOH_-4.00",24410620,"Parametric","AP54RHC244_TRUTH_TABLE",1.25,1.65,"V",1.34236,1.36665,1.35374,0.00857937,4.03078,4.03078,11.5104,1,0,0,8.869,620.063
"A244_VOLH_R","VOL_VCCY_1.95_IOL_4.00",24410230,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.240371,0.245269,0.243529,0.00172253,47.1262,47.1262,59.3062,1,0,0,18.727,620.063
"A244_VOLH_R","VOH_VCCY_1.95_IOH_-4.00",24410240,"Parametric","AP54RHC244_TRUTH_TABLE",1.4,1.95,"V",1.69446,1.71672,1.70459,0.00780487,10.4811,13.0085,10.4811,1,0,0,8.155,620.063
"A244_VOLH_R","VOL_VCCY_2.30_IOL_4.00",24410250,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.54,"V",0.206234,0.210734,0.209075,0.00159274,43.7561,43.7561,69.2571,1,0,0,17.971,620.063
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-4.00",24410260,"Parametric","AP54RHC244_TRUTH_TABLE",1.865,2.3,"V",2.07852,2.09965,2.088,0.00740035,9.54927,10.0444,9.54927,1,0,0,8.485,620.063
"A244_VOLH_R","VOL_VCCY_3.00_IOL_4.00",24410270,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.34,"V",0.171302,0.175573,0.174166,0.00152328,36.2889,38.1121,36.2889,1,0,0,17.995,620.063
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-4.00",24410280,"Parametric","AP54RHC244_TRUTH_TABLE",2.65,3,"V",2.81559,2.83553,2.82431,0.00694011,8.37235,8.37235,8.43815,1,0,0,8.362,620.063
"A244_VOLH_R","VOL_VCCY_4.50_IOL_4.00",24410290,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.36,"V",0.142855,0.147012,0.145625,0.00148629,32.6596,32.6596,48.0782,1,0,0,17.709,620.063
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-4.00",24410300,"Parametric","AP54RHC244_TRUTH_TABLE",4.24,4.5,"V",4.34943,4.36781,4.35722,0.00637506,6.12923,6.12923,7.4654,1,0,0,8.134,620.063
"A244_VOLH_R","VOL_VCCY_2.30_IOL_8.00",24410310,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.8,"V",0.435344,0.445425,0.441808,0.00358571,33.2981,41.0712,33.2981,1,0,0,8.511,620.063
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-8.00",24410320,"Parametric","AP54RHC244_TRUTH_TABLE",1.53,2.3,"V",1.84107,1.88372,1.86059,0.014809,7.44129,7.44129,9.89051,1,0,0,8.571,620.063
"A244_VOLH_R","VOL_VCCY_2.70_IOL_8.00",24410330,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.67,"V",0.377825,0.387164,0.383829,0.00331777,28.7513,38.563,28.7513,1,0,0,17.877,620.063
"A244_VOLH_R","VOH_VCCY_2.70_IOH_-8.00",24410340,"Parametric","AP54RHC244_TRUTH_TABLE",1.9,2.7,"V",2.29764,2.33785,2.31565,0.0139384,9.19168,9.94012,9.19168,1,0,0,8.004,620.063
"A244_VOLH_R","VOL_VCCY_3.00_IOL_8.00",24410350,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.67,"V",0.350687,0.359684,0.356441,0.00322259,32.4334,36.869,32.4334,1,0,0,17.768,620.063
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-8.00",24410360,"Parametric","AP54RHC244_TRUTH_TABLE",2.3,3,"V",2.62633,2.66535,2.64368,0.0135461,8.45712,8.45712,8.768,1,0,0,8.278,620.063
"A244_VOLH_R","VOL_VCCY_4.50_IOL_8.00",24410370,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.51,"V",0.287877,0.296304,0.293375,0.00300515,24.0282,32.5414,24.0282,1,0,0,18.208,620.063
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-8.00",24410380,"Parametric","AP54RHC244_TRUTH_TABLE",3.97,4.5,"V",4.19868,4.23625,4.21492,0.0129431,6.30763,6.30763,7.34181,1,0,0,10.124,620.063
"A244_VOLH_R","VOL_VCCY_3.00_IOL_16.00",24410390,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.13,"V",0.7486,0.769782,0.762305,0.0074974,16.3477,33.892,16.3477,1,0,0,7.924,620.063
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-16.00",24410400,"Parametric","AP54RHC244_TRUTH_TABLE",1.71,3,"V",2.21699,2.30413,2.25631,0.0301028,6.0494,6.0494,8.23498,1,0,0,8.334,620.063
"A244_VOLH_R","VOL_VCCY_3.60_IOL_16.00",24410410,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.13,"V",0.655693,0.674426,0.667894,0.0066627,23.1191,33.4146,23.1191,1,0,0,18.006,620.063
"A244_VOLH_R","VOH_VCCY_3.60_IOH_-16.00",24410420,"Parametric","AP54RHC244_TRUTH_TABLE",2.31,3.6,"V",2.91099,2.99228,2.94694,0.0280089,7.58019,7.58019,7.77209,1,0,0,8.145,620.063
"A244_VOLH_R","VOL_VCCY_4.50_IOL_16.00",24410430,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.07,"V",0.587421,0.604957,0.598971,0.00625262,25.111,31.9318,25.111,1,0,0,17.669,620.063
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-16.00",24410440,"Parametric","AP54RHC244_TRUTH_TABLE",3.45,4.5,"V",3.88964,3.96736,3.92356,0.0267043,5.91116,5.91116,7.19536,1,0,0,8.035,620.063
"A244_VOLH_R","VOL_VCCY_4.50_IOL_24.00",24410450,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.27,"V",0.90517,0.932842,0.923368,0.00983381,11.7497,31.2991,11.7497,1,0,0,6.112,620.063
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-24.00",24410460,"Parametric","AP54RHC244_TRUTH_TABLE",3.14,4.5,"V",3.56773,3.68913,3.62112,0.0416926,3.84655,3.84655,7.02667,1,0,0,7.822,620.063
"A244_VOLH_R","VOL_VCCY_5.50_IOL_24.00",24410470,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.27,"V",0.840539,0.86673,0.857761,0.0093779,14.6528,30.4888,14.6528,1,0,0,17.74,620.063
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-24.00",24410480,"Parametric","AP54RHC244_TRUTH_TABLE",4.23,5.5,"V",4.65089,4.76776,4.70166,0.0400728,3.92339,3.92339,6.64073,1,0,0,9.933,620.063
"A244_VOLH_R","VOL_VCCY_2.30_IOL_0.10",24410490,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.005065,0.005287,0.00521163,7.81554e-05,105.723,***,105.723,1,0,0,11.954,620.063
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-0.10",24410500,"Parametric","AP54RHC244_TRUTH_TABLE",2.2,***,"V",2.29405,2.29456,2.29427,0.00016602,***,189.278,***,1,0,0,8.694,620.063
"A244_VOLH_R","VOL_VCCY_2.30_IOL_1.00",24410510,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.050233,0.051315,0.0508943,0.000376117,34.6574,***,34.6574,1,0,0,6.48,620.063
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-1.00",24410520,"Parametric","AP54RHC244_TRUTH_TABLE",2.15,***,"V",2.24547,2.25019,2.24766,0.00161007,***,20.2195,***,1,0,0,8.965,620.063
"A244_VOLH_R","VOL_VCCY_3.00_IOL_0.10",24410530,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.004325,0.004604,0.00445013,9.30368e-05,91.5404,***,91.5404,1,0,0,17.826,620.063
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-0.10",24410540,"Parametric","AP54RHC244_TRUTH_TABLE",2.9,***,"V",2.99454,2.99503,2.99482,0.000164285,***,192.393,***,1,0,0,8.547,620.063
"A244_VOLH_R","VOL_VCCY_3.00_IOL_1.00",24410550,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.042438,0.04352,0.0430951,0.000392351,39.8495,***,39.8495,1,0,0,6.312,620.063
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-1.00",24410560,"Parametric","AP54RHC244_TRUTH_TABLE",2.85,***,"V",2.95376,2.95844,2.95587,0.00158948,***,22.2027,***,1,0,0,8.965,620.063
"A244_VOLH_R","VOL_VCCY_4.50_IOL_0.10",24410570,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.003698,0.003865,0.00381687,5.48229e-05,159.198,***,159.198,1,0,0,18.402,620.063
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-0.10",24410580,"Parametric","AP54RHC244_TRUTH_TABLE",4.4,***,"V",4.49432,4.49483,4.4946,0.000166057,***,189.895,***,1,0,0,9.462,620.063
"A244_VOLH_R","VOL_VCCY_4.50_IOL_1.00",24410590,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.035725,0.036807,0.0364209,0.000388548,45.9653,***,45.9653,1,0,0,7.354,620.063
