Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,102.454,106.499
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.322851,-0.321526,-0.322115,0.000347899,212.815,457.877,212.815,1,0,0,22.311,28.735
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.322851,-0.321526,-0.322152,0.000354375,208.962,449.474,208.962,1,0,0,12.649,17.328
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.322908,-0.321469,-0.322133,0.00034672,405.835,459.417,405.835,1,0,0,16.42,22.929
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.322908,-0.321469,-0.322121,0.000351745,210.494,1590.05,210.494,1,0,0,15.606,21.458
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,7.811,15.098
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.32268,-0.32268,-0.32268,0,***,***,***,1,0,0,5.811,15.098
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.032,0.00438889,0.00742126,9.18033,9.18033,17.7693,1,0,0,90.808,93.239
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000114521,0.000114521,0.000114521,0,***,***,***,1,0,0,18.162,21.301
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,2.908,4.26
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",99.5458,99.5458,99.5458,0,***,***,***,1,0,0,29.883,34.802
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",113.136,113.136,113.136,0,***,***,***,1,0,0,206.236,210.784
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",113.01,113.01,113.01,0,***,***,***,1,0,0,812.663,818.88
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.9729,98.9729,98.9729,0,***,***,***,1,0,0,0.02,818.88
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",290.36,290.36,290.36,0,***,***,***,1,0,0,0.035,818.88
"A244_OVST_R","ICCL_VCCY_POST",24414720,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",113.002,113.002,113.002,0,***,***,***,1,0,0,0.022,818.88
"A244_OVST_R","ICCH_VCCY_POST",24414740,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.9399,98.9399,98.9399,0,***,***,***,1,0,0,0.018,818.88
"A244_OVST_R","ICCL_VCCY_DIFF",24414760,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.00731138,-0.00731138,-0.00731138,0,***,***,***,1,0,0,0.023,818.88
"A244_OVST_R","ICCH_VCCY_DIFF",24414780,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0329567,-0.0329567,-0.0329567,0,***,***,***,1,0,0,0.006,818.88
"A244_ICCX_VCC_R","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,42.181,46.084
"A244_VILH_R","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,20.996,65.711
"A244_VILH_R","VILH_VCC_4.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.125,65.711
"A244_VILH_R","VILH_VCC_3.6000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,6.355,65.711
"A244_VILH_R","VILH_VCC_3.0000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.85,65.711
"A244_VILH_R","VILH_VCC_2.7000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.415,65.711
