Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,89.156,93.106
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.323307,-0.321924,-0.322595,0.000340581,217.859,467.246,217.859,1,0,0,22.976,30.483
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.32325,-0.321997,-0.322595,0.000340768,217.739,466.988,217.739,1,0,0,11.171,16.803
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.32325,-0.32194,-0.322595,0.000345691,407.488,460.338,407.488,1,0,0,14.352,20.572
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.323364,-0.321997,-0.322602,0.000339625,218.478,1646.33,218.478,1,0,0,13.197,18.147
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.004,15.035
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.323079,-0.323079,-0.323079,0,***,***,***,1,0,0,5.611,15.035
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.032,0.00427778,0.00743446,9.15905,9.15905,17.7427,1,0,0,89.642,91.343
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000114868,0.000114868,0.000114868,0,***,***,***,1,0,0,19.157,22.715
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,2.77,4.19
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",99.5356,99.5356,99.5356,0,***,***,***,1,0,0,29.915,38.129
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",113.151,113.151,113.151,0,***,***,***,1,0,0,206.501,214.462
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",113.005,113.005,113.005,0,***,***,***,1,0,0,818.624,824.09
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.9298,98.9298,98.9298,0,***,***,***,1,0,0,0.015,824.09
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",150.051,150.051,150.051,0,***,***,***,1,0,0,0.048,824.09
"A244_OVST_R","ICCL_VCCY_POST",24414720,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.953,112.953,112.953,0,***,***,***,1,0,0,0.007,824.09
"A244_OVST_R","ICCH_VCCY_POST",24414740,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.8588,98.8588,98.8588,0,***,***,***,1,0,0,0.005,824.09
"A244_OVST_R","ICCL_VCCY_DIFF",24414760,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0511693,-0.0511693,-0.0511693,0,***,***,***,1,0,0,0.023,824.09
"A244_OVST_R","ICCH_VCCY_DIFF",24414780,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0709784,-0.0709784,-0.0709784,0,***,***,***,1,0,0,0.021,824.09
"A244_ICCX_VCC_R","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,42.489,46.844
"A244_VILH_R","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,20.296,62.597
"A244_VILH_R","VILH_VCC_4.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.065,62.597
"A244_VILH_R","VILH_VCC_3.6000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5,62.597
"A244_VILH_R","VILH_VCC_3.0000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.04,62.597
"A244_VILH_R","VILH_VCC_2.7000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.629,62.597
"A244_VILH_R","VILH_VCC_2.3000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.168,62.597
"A244_VILH_R","VILH_VCC_1.9500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.155,62.597
"A244_VILH_R","VILH_VCC_1.6500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.213,62.597
"A244_VILH_R","VILH_VCC_1.4000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.355,62.597
"A244_VOLH_R","VOL_VCCY_1.40_IOL_0.10",24410622,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.00797,0.008188,0.0081005,7.25928e-05,37.1961,37.1961,100.559,1,0,0,28.26,609.843
"A244_VOLH_R","VOH_VCCY_1.40_IOH_-0.10",24410624,"Parametric","AP54RHC244_TRUTH_TABLE",1.37,1.4,"V",1.39128,1.39194,1.39162,0.000202471,13.7948,35.5951,13.7948,1,0,0,11.009,609.843
"A244_VOLH_R","VOL_VCCY_5.50_IOL_0.10",24410170,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.003527,0.003698,0.003639,6.04365e-05,20.0707,20.0707,145.392,1,0,0,17.974,609.843
