Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,91.798,95.022
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.323022,-0.32164,-0.322251,0.000361827,204.749,440.127,204.749,1,0,0,19.27,24.151
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.322965,-0.32164,-0.322254,0.00033519,221.023,475.1,221.023,1,0,0,10.791,15.427
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.322965,-0.32164,-0.322244,0.000349532,402.676,455.615,402.676,1,0,0,14.33,20.665
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.323022,-0.32164,-0.322257,0.000357925,206.986,1562.47,206.986,1,0,0,15.411,21.854
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.228,15.398
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.322851,-0.322851,-0.322851,0,***,***,***,1,0,0,5.802,15.398
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.032,0.00438889,0.00742126,9.18033,9.18033,17.7693,1,0,0,91.223,93.069
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000114447,0.000114447,0.000114447,0,***,***,***,1,0,0,18.942,22.93
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,3.352,5.197
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",99.5407,99.5407,99.5407,0,***,***,***,1,0,0,29.948,34.392
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",113.13,113.13,113.13,0,***,***,***,1,0,0,206.43,211.053
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",113.001,113.001,113.001,0,***,***,***,1,0,0,815.915,821.455
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.8993,98.8993,98.8993,0,***,***,***,1,0,0,0.014,821.455
