Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,121.586,124.902
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.322908,-0.321655,-0.322276,0.000336309,220.309,473.497,220.309,1,0,0,20.739,28.378
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.322908,-0.321712,-0.322288,0.000323364,229.142,492.439,229.142,1,0,0,12.583,18.729
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.322908,-0.321655,-0.322285,0.000349381,402.889,455.773,402.889,1,0,0,16.027,21.706
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.322908,-0.321655,-0.322276,0.000361282,205.081,1547.94,205.081,1,0,0,15.236,21.373
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,7.752,14.9
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.322851,-0.322851,-0.322851,0,***,***,***,1,0,0,6.08,14.9
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.032,0.00444444,0.00739015,9.22148,9.22148,17.8416,1,0,0,91.965,93.918
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.00011462,0.00011462,0.00011462,0,***,***,***,1,0,0,18.758,23.199
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,2.886,4.397
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",99.5331,99.5331,99.5331,0,***,***,***,1,0,0,29.448,34.094
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",113.163,113.163,113.163,0,***,***,***,1,0,0,205.715,210.035
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.992,112.992,112.992,0,***,***,***,1,0,0,818.283,824.651
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.9171,98.9171,98.9171,0,***,***,***,1,0,0,0.01,824.651
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",79.8965,79.8965,79.8965,0,***,***,***,1,0,0,0.031,824.651
"A244_OVST_R","ICCL_VCCY_POST",24414720,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.968,112.968,112.968,0,***,***,***,1,0,0,0.009,824.651
"A244_OVST_R","ICCH_VCCY_POST",24414740,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.9982,98.9982,98.9982,0,***,***,***,1,0,0,0.009,824.651
"A244_OVST_R","ICCL_VCCY_DIFF",24414760,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0237548,-0.0237548,-0.0237548,0,***,***,***,1,0,0,0.026,824.651
"A244_OVST_R","ICCH_VCCY_DIFF",24414780,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",0.0811192,0.0811192,0.0811192,0,***,***,***,1,0,0,0.009,824.651
"A244_ICCX_VCC_R","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,42.922,45.868
"A244_VILH_R","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,22.231,65.823
