Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,37.266,39.72
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.322092,-0.320834,-0.321406,0.000367969,200.566,433.545,200.566,1,0,0,20.812,26.146
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.321997,-0.320834,-0.321428,0.000349092,211.433,456.969,211.433,1,0,0,13.284,18.013
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.322035,-0.320834,-0.321422,0.000348889,402.632,457.24,402.632,1,0,0,14.829,19.892
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.322092,-0.320891,-0.321438,0.0003526,209.338,1586.84,209.338,1,0,0,13.267,17.031
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.082,15.013
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.321028,-0.321028,-0.321028,0,***,***,***,1,0,0,5.656,15.013
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.012,0.0025,0.00327648,20.6014,20.6014,40.4398,1,0,0,92.614,94.482
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000114199,0.000114199,0.000114199,0,***,***,***,1,0,0,17.642,22.204
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,3.006,4.416
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",98.7194,98.7194,98.7194,0,***,***,***,1,0,0,30.867,36.042
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",112.233,112.233,112.233,0,***,***,***,1,0,0,206.267,210.781
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.073,112.073,112.073,0,***,***,***,1,0,0,814.995,819.8
