Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,37.136,39.74
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.321865,-0.320663,-0.321235,0.000355879,207.22,448.434,207.22,1,0,0,19.476,25.266
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.321865,-0.320606,-0.321197,0.000362799,203.232,439.916,203.232,1,0,0,11.798,17.524
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.321921,-0.320606,-0.321197,0.000373772,375.628,427.001,375.628,1,0,0,14.232,19.304
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.321921,-0.320663,-0.321235,0.000359149,205.333,1558.09,205.333,1,0,0,12.72,17.684
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.121,15.426
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.320915,-0.320915,-0.320915,0,***,***,***,1,0,0,5.834,15.426
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.012,0.00238889,0.00327448,20.6026,20.6026,40.4757,1,0,0,91.061,92.922
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000113454,0.000113454,0.000113454,0,***,***,***,1,0,0,17.602,21.704
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,2.372,3.607
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",98.6966,98.6966,98.6966,0,***,***,***,1,0,0,29.368,33.701
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",112.289,112.289,112.289,0,***,***,***,1,0,0,206.867,211.757
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.118,112.118,112.118,0,***,***,***,1,0,0,812.82,817.22
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.2225,98.2225,98.2225,0,***,***,***,1,0,0,0.018,817.22
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",360.514,360.514,360.514,0,***,***,***,1,0,0,0.031,817.22
"A244_OVST_R","ICCL_VCCY_POST",24414720,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.066,112.066,112.066,0,***,***,***,1,0,0,0.104,817.22
"A244_OVST_R","ICCH_VCCY_POST",24414740,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.1084,98.1084,98.1084,0,***,***,***,1,0,0,0.018,817.22
"A244_OVST_R","ICCL_VCCY_DIFF",24414760,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0516902,-0.0516902,-0.0516902,0,***,***,***,1,0,0,0.009,817.22
"A244_OVST_R","ICCH_VCCY_DIFF",24414780,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.114072,-0.114072,-0.114072,0,***,***,***,1,0,0,0.006,817.22
"A244_ICCX_VCC_R","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,41.994,46.251
"A244_VILH_R","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,20.307,61.107
"A244_VILH_R","VILH_VCC_4.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.003,61.107
"A244_VILH_R","VILH_VCC_3.6000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.959,61.107
"A244_VILH_R","VILH_VCC_3.0000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.027,61.107
"A244_VILH_R","VILH_VCC_2.7000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.991,61.107
"A244_VILH_R","VILH_VCC_2.3000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,3.94,61.107
"A244_VILH_R","VILH_VCC_1.9500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.021,61.107
"A244_VILH_R","VILH_VCC_1.6500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.741,61.107
"A244_VILH_R","VILH_VCC_1.4000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.378,61.107
"A244_VOLH_R","VOL_VCCY_1.40_IOL_0.10",24410622,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.007742,0.008018,0.00790138,8.56887e-05,30.7367,30.7367,85.9648,1,0,0,26.547,597.479
"A244_VOLH_R","VOH_VCCY_1.40_IOH_-0.10",24410624,"Parametric","AP54RHC244_TRUTH_TABLE",1.37,1.4,"V",1.39174,1.39223,1.392,0.00015876,16.8005,46.1876,16.8005,1,0,0,10.405,597.479
"A244_VOLH_R","VOL_VCCY_5.50_IOL_0.10",24410170,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.003466,0.003755,0.00361763,0.00012098,9.96752,9.96752,72.6905,1,0,0,18.242,597.479
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-0.10",24410180,"Parametric","AP54RHC244_TRUTH_TABLE",5.47,5.5,"V",5.49418,5.49463,5.49439,0.000174654,10.7145,46.5416,10.7145,1,0,0,8.545,597.479
"A244_VOLH_R","VOL_VCCY_1.65_IOL_1.00",24410190,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.09,"V",0.065708,0.066789,0.0663139,0.000365134,21.6232,60.5384,21.6232,1,0,0,8.753,597.479
"A244_VOLH_R","VOH_VCCY_1.65_IOH_-1.00",24410200,"Parametric","AP54RHC244_TRUTH_TABLE",1.55,1.65,"V",1.58078,1.5856,1.58304,0.00163453,6.73785,6.73785,13.6554,1,0,0,8.364,597.479
"A244_VOLH_R","VOL_VCCY_5.50_IOL_1.00",24410210,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.075,"V",0.033449,0.034473,0.0340726,0.000336402,33.7618,33.7618,40.554,1,0,0,17.869,597.479
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-1.00",24410220,"Parametric","AP54RHC244_TRUTH_TABLE",5.4,5.5,"V",5.46417,5.46877,5.46613,0.00157982,7.14604,13.9534,7.14604,1,0,0,8.274,597.479
"A244_VOLH_R","VOL_VCCY_1.65_IOL_4.00",24410610,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.288787,0.294008,0.292272,0.00181683,47.2852,53.623,47.2852,1,0,0,7.85,597.479
"A244_VOLH_R","VOH_VCCY_1.65_IOH_-4.00",24410620,"Parametric","AP54RHC244_TRUTH_TABLE",1.25,1.65,"V",1.35682,1.37776,1.36609,0.00752893,5.13976,5.13976,12.5697,1,0,0,8.151,597.479
"A244_VOLH_R","VOL_VCCY_1.95_IOL_4.00",24410230,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.235136,0.239466,0.23793,0.00149443,53.0704,53.0704,69.6075,1,0,0,17.258,597.479
"A244_VOLH_R","VOH_VCCY_1.95_IOH_-4.00",24410240,"Parametric","AP54RHC244_TRUTH_TABLE",1.4,1.95,"V",1.705,1.72463,1.71355,0.00698058,11.2909,14.9724,11.2909,1,0,0,7.985,597.479
"A244_VOLH_R","VOL_VCCY_2.30_IOL_4.00",24410250,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.54,"V",0.202024,0.206182,0.204813,0.001448,47.1485,47.1485,77.161,1,0,0,17.157,597.479
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-4.00",24410260,"Parametric","AP54RHC244_TRUTH_TABLE",1.865,2.3,"V",2.08696,2.10603,2.09521,0.00677974,10.0686,11.3186,10.0686,1,0,0,8.081,597.479
"A244_VOLH_R","VOL_VCCY_3.00_IOL_4.00",24410270,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.34,"V",0.168514,0.172444,0.171106,0.00137469,40.953,41.4896,40.953,1,0,0,17.542,597.479
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-4.00",24410280,"Parametric","AP54RHC244_TRUTH_TABLE",2.65,3,"V",2.8218,2.84037,2.82962,0.0065368,8.68808,9.1596,8.68808,1,0,0,9.094,597.479
"A244_VOLH_R","VOL_VCCY_4.50_IOL_4.00",24410290,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.36,"V",0.140807,0.144622,0.143362,0.00133465,35.8052,35.8052,54.1059,1,0,0,17.885,597.479
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-4.00",24410300,"Parametric","AP54RHC244_TRUTH_TABLE",4.24,4.5,"V",4.35353,4.37169,4.3611,0.00632254,6.38461,6.38461,7.32296,1,0,0,8.248,597.479
"A244_VOLH_R","VOL_VCCY_2.30_IOL_8.00",24410310,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.8,"V",0.425672,0.43507,0.431817,0.00324788,37.787,44.3179,37.787,1,0,0,7.789,597.479
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-8.00",24410320,"Parametric","AP54RHC244_TRUTH_TABLE",1.53,2.3,"V",1.85822,1.89904,1.87629,0.0143408,8.0491,8.0491,9.84856,1,0,0,8.742,597.479
"A244_VOLH_R","VOL_VCCY_2.70_IOL_8.00",24410330,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.67,"V",0.370713,0.379313,0.376301,0.00293644,33.3396,42.7163,33.3396,1,0,0,17.948,597.479
"A244_VOLH_R","VOH_VCCY_2.70_IOH_-8.00",24410340,"Parametric","AP54RHC244_TRUTH_TABLE",1.9,2.7,"V",2.3112,2.35026,2.32817,0.0136428,9.08481,10.4615,9.08481,1,0,0,8.199,597.479
"A244_VOLH_R","VOL_VCCY_3.00_IOL_8.00",24410350,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.67,"V",0.344486,0.3528,0.349952,0.00287593,37.095,40.5609,37.095,1,0,0,17.668,597.479
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-8.00",24410360,"Parametric","AP54RHC244_TRUTH_TABLE",2.3,3,"V",2.63846,2.67668,2.65487,0.0132954,8.6529,8.89701,8.6529,1,0,0,8.849,597.479
"A244_VOLH_R","VOL_VCCY_4.50_IOL_8.00",24410370,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.51,"V",0.283666,0.291411,0.288871,0.00268783,27.4235,35.8245,27.4235,1,0,0,18.165,597.479
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-8.00",24410380,"Parametric","AP54RHC244_TRUTH_TABLE",3.97,4.5,"V",4.20722,4.24411,4.22283,0.0127558,6.60685,6.60685,7.24305,1,0,0,8.37,597.479
"A244_VOLH_R","VOL_VCCY_3.00_IOL_16.00",24410390,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.13,"V",0.733523,0.752941,0.746444,0.00671883,19.0289,37.0325,19.0289,1,0,0,8.085,597.479
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-16.00",24410400,"Parametric","AP54RHC244_TRUTH_TABLE",1.71,3,"V",2.24478,2.32902,2.28152,0.0293091,6.49986,6.49986,8.17133,1,0,0,8.309,597.479
"A244_VOLH_R","VOL_VCCY_3.60_IOL_16.00",24410410,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.13,"V",0.644428,0.661795,0.655968,0.0060078,26.3009,36.3953,26.3009,1,0,0,18.096,597.479
"A244_VOLH_R","VOH_VCCY_3.60_IOH_-16.00",24410420,"Parametric","AP54RHC244_TRUTH_TABLE",2.31,3.6,"V",2.93297,3.01227,2.96702,0.0274399,7.68932,7.98128,7.68932,1,0,0,8.949,597.479
"A244_VOLH_R","VOL_VCCY_4.50_IOL_16.00",24410430,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.07,"V",0.578488,0.594716,0.589408,0.00566589,28.274,34.6758,28.274,1,0,0,18.235,597.479
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-16.00",24410440,"Parametric","AP54RHC244_TRUTH_TABLE",3.45,4.5,"V",3.90769,3.98382,3.94007,0.0263155,6.20759,6.20759,7.09255,1,0,0,8.75,597.479
"A244_VOLH_R","VOL_VCCY_4.50_IOL_24.00",24410450,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.27,"V",0.890549,0.916285,0.907813,0.00889298,13.5758,34.0273,13.5758,1,0,0,6.978,597.479
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-24.00",24410460,"Parametric","AP54RHC244_TRUTH_TABLE",3.14,4.5,"V",3.5961,3.71476,3.64696,0.0409347,4.12816,4.12816,6.94638,1,0,0,8.115,597.479
"A244_VOLH_R","VOL_VCCY_5.50_IOL_24.00",24410470,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.27,"V",0.827966,0.852279,0.844349,0.00843653,16.8178,33.3608,16.8178,1,0,0,18.151,597.479
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-24.00",24410480,"Parametric","AP54RHC244_TRUTH_TABLE",4.23,5.5,"V",4.67516,4.78969,4.72375,0.0394492,4.17202,4.17202,6.55907,1,0,0,8.504,597.479
"A244_VOLH_R","VOL_VCCY_2.30_IOL_0.10",24410490,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.005059,0.005173,0.00511188,4.6113e-05,179.907,***,179.907,1,0,0,8.053,597.479
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-0.10",24410500,"Parametric","AP54RHC244_TRUTH_TABLE",2.2,***,"V",2.29422,2.29473,2.29444,0.00017221,***,182.805,***,1,0,0,8.149,597.479
"A244_VOLH_R","VOL_VCCY_2.30_IOL_1.00",24410510,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.049379,0.050348,0.0499547,0.000346292,38.5467,***,38.5467,1,0,0,6.223,597.479
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-1.00",24410520,"Parametric","AP54RHC244_TRUTH_TABLE",2.15,***,"V",2.24729,2.25184,2.24934,0.0015639,***,21.1743,***,1,0,0,7.91,597.479
"A244_VOLH_R","VOL_VCCY_3.00_IOL_0.10",24410530,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.004268,0.004495,0.00438638,6.99141e-05,122.119,***,122.119,1,0,0,17.337,597.479
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-0.10",24410540,"Parametric","AP54RHC244_TRUTH_TABLE",2.9,***,"V",2.99471,2.99524,2.99495,0.000169732,***,186.471,***,1,0,0,8.306,597.479
"A244_VOLH_R","VOL_VCCY_3.00_IOL_1.00",24410550,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.041812,0.042724,0.0423696,0.000306949,51.7245,***,51.7245,1,0,0,7.811,597.479
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-1.00",24410560,"Parametric","AP54RHC244_TRUTH_TABLE",2.85,***,"V",2.95513,2.9597,2.95714,0.00158459,***,22.5376,***,1,0,0,8.615,597.479
"A244_VOLH_R","VOL_VCCY_4.50_IOL_0.10",24410570,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.003641,0.003869,0.00376012,7.66987e-05,114.039,***,114.039,1,0,0,17.998,597.479
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-0.10",24410580,"Parametric","AP54RHC244_TRUTH_TABLE",4.4,***,"V",4.49444,4.49488,4.49469,0.000161158,***,195.858,***,1,0,0,8.241,597.479
"A244_VOLH_R","VOL_VCCY_4.50_IOL_1.00",24410590,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.035213,0.036124,0.0358518,0.000325514,55.449,***,55.449,1,0,0,6.353,597.479
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-1.00",24410600,"Parametric","AP54RHC244_TRUTH_TABLE",4.35,***,"V",4.46203,4.46658,4.46398,0.00153951,***,24.678,***,1,0,0,7.87,597.479
"A244_VOLH_R","VOL_VCCY_1.40_IOL_1.00",24410626,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.1,"V",0.080329,0.081296,0.0808584,0.000342345,18.6377,78.7299,18.6377,1,0,0,7.585,597.479
"A244_VOLH_R","VOH_VCCY_1.40_IOH_-1.00",24410628,"Parametric","AP54RHC244_TRUTH_TABLE",1.25,1.4,"V",1.31775,1.32245,1.32002,0.00163824,14.2462,14.2462,16.2743,1,0,0,7.978,597.479
"A244_VOLH_R","VOL_VCCY_1.40_IOL_2.00",24410630,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.275,"V",0.169424,0.172177,0.171014,0.000834722,41.5253,68.2917,41.5253,1,0,0,6.05,597.479
"A244_VOLH_R","VOH_VCCY_1.40_IOH_-2.00",24410632,"Parametric","AP54RHC244_TRUTH_TABLE",1.15,1.4,"V",1.23032,1.23969,1.23452,0.00356708,7.89831,7.89831,15.4635,1,0,0,8.094,597.479
"A244_IILH_140_R","passCurrentLow_uA",24410710,"Parametric","AP54RHC244_TRUTH_TABLE",-0.05,0.05,"uA",-0.001,0,-0.0006,0.000516398,31.8876,31.8876,32.6622,1,0,0,83.471,85.687
"A244_IILH_140_R","passCurrentHigh_uA",24410720,"Parametric","AP54RHC244_TRUTH_TABLE",-0.1,0.1,"uA",-0.001,0,-0.0003,0.000483046,68.7995,68.7995,69.2136,1,0,0,0.031,85.687
"A244_IILH_550_R","passCurrentLow_uA",24410690,"Parametric","AP54RHC244_TRUTH_TABLE",-0.05,0.05,"uA",-0.001,-0.001,-0.001,0,***,***,***,1,0,0,90.532,92.887
"A244_IILH_550_R","passCurrentHigh_uA",24410700,"Parametric","AP54RHC244_TRUTH_TABLE",-0.22,0.22,"uA",-0.001,0.011,0.0017,0.0034335,21.1932,21.5233,21.1932,1,0,0,0.013,92.887
"A244_IOZLH_140_R","passCurrentLow_uA",24410770,"Parametric","AP54RHC244_TRUTH_TABLE",-0.2,0.2,"uA",0,0,0,0,***,***,***,1,0,0,82.901,85.535
"A244_IOZLH_140_R","passCurrentHigh_uA",24410780,"Parametric","AP54RHC244_TRUTH_TABLE",-0.2,0.6,"uA",0,0,0,0,***,***,***,1,0,0,0.019,85.535
"A244_IOZLH_550_R","passCurrentLow_uA",24410750,"Parametric","AP54RHC244_TRUTH_TABLE",-0.2,0.1,"uA",-0.001,0,-0.000625,0.000517549,64.8087,128.41,64.8087,1,0,0,88.228,90.429
"A244_IOZLH_550_R","passCurrentHigh_uA",24410760,"Parametric","AP54RHC244_TRUTH_TABLE",-0.22,0.22,"uA",0,0.009,0.002,0.0029277,24.8204,25.2758,24.8204,1,0,0,0.011,90.429
"A244_T_PD_R","T_EDGE_HI_VCCY_4.5000",24418690,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,6.9,"nS",6.02,6.42,6.155,0.118322,2.0988,***,2.0988,1,0,0,105.221,1025.91
"A244_T_PD_R","T_SKEW_HI_VCCY_4.5000",24418700,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,1,"nS",0.4,0.4,0.4,0,***,***,***,1,0,0,0.021,1025.91
"A244_T_PD_R","T_EDGE_LO_VCCY_4.5000",24418850,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,6.9,"nS",6.3,6.53,6.43,0.0789213,1.9851,***,1.9851,1,0,0,99.62,1025.91
"A244_T_PD_R","T_SKEW_LO_VCCY_4.5000",24418860,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,1,"nS",0.23,0.23,0.23,0,***,***,***,1,0,0,0.011,1025.91
"A244_T_PD_R","T_EDGE_HI_VCCY_3.0000",24418730,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,9.75,"nS",7.28,7.62,7.4025,0.103751,7.54209,***,7.54209,1,0,0,100.375,1025.91
"A244_T_PD_R","T_SKEW_HI_VCCY_3.0000",24418740,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,1,"nS",0.34,0.34,0.34,0,***,***,***,1,0,0,0.011,1025.91
"A244_T_PD_R","T_EDGE_LO_VCCY_3.0000",24418890,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,9.75,"nS",7.99,8.29,8.16625,0.0843356,6.25971,***,6.25971,1,0,0,103.335,1025.91
"A244_T_PD_R","T_SKEW_LO_VCCY_3.0000",24418900,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,1,"nS",0.3,0.3,0.3,0,***,***,***,1,0,0,0.015,1025.91
"A244_T_PD_R","T_EDGE_HI_VCCY_2.3000",24418770,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,13.5,"nS",9.2,9.56,9.31,0.113137,12.3449,***,12.3449,1,0,0,106.042,1025.91
"A244_T_PD_R","T_SKEW_HI_VCCY_2.3000",24418780,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,1.5,"nS",0.36,0.36,0.36,0,***,***,***,1,0,0,0.02,1025.91
"A244_T_PD_R","T_EDGE_LO_VCCY_2.3000",24418930,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,13.5,"nS",9.79,10.48,10.2363,0.198634,5.477,***,5.477,1,0,0,101.433,1025.91
"A244_T_PD_R","T_SKEW_LO_VCCY_2.3000",24418940,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,1.5,"nS",0.69,0.69,0.69,0,***,***,***,1,0,0,0.014,1025.91
"A244_T_PD_R","T_EDGE_HI_VCCY_1.6500",24418810,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,20.5,"nS",13.79,14.24,13.9213,0.138712,15.8091,***,15.8091,1,0,0,102.269,1025.91
"A244_T_PD_R","T_SKEW_HI_VCCY_1.6500",24418820,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,2,"nS",0.45,0.45,0.45,0,***,***,***,1,0,0,0.014,1025.91
"A244_T_PD_R","T_EDGE_LO_VCCY_1.6500",24418970,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,20.5,"nS",14.03,15.62,15.2,0.499743,3.53515,***,3.53515,1,0,0,99.257,1025.91
"A244_T_PD_R","T_SKEW_LO_VCCY_1.6500",24418972,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,2,"nS",1.59,1.59,1.59,0,***,***,***,1,0,0,0.011,1025.91
"A244_T_PD_R","T_EDGE_HI_VCCY_1.4000",24418976,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,45,"nS",19.42,20.03,19.6112,0.182086,46.4775,***,46.4775,1,0,0,101.378,1025.91
"A244_T_PD_R","T_SKEW_HI_VCCY_1.4000",24418980,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,2,"nS",0.61,0.61,0.61,0,***,***,***,1,0,0,0.014,1025.91
"A244_T_PD_R","T_EDGE_LO_VCCY_1.4000",24418974,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,45,"nS",18.39,20.25,19.7338,0.586757,14.3536,***,14.3536,1,0,0,98.992,1025.91
"A244_T_PD_R","T_SKEW_LO_VCCY_1.4000",24418978,"Parametric","AP54RHC244_TRAFFIC_ALL_OUT",***,2,"nS",1.86,1.86,1.86,0,***,***,***,1,0,0,0.012,1025.91
"A244_T_EN_R","T_EDGE_HI_VCCY_4.5000",24414840,"Parametric","AP54RHC244_OUTPUT_ENABLE_HIGH",***,20,"nS",10.34,11.26,10.6913,0.356308,8.70852,***,8.70852,1,0,0,132.304,1202.74
"A244_T_EN_R","T_EDGE_LO_VCCY_4.5000",24414920,"Parametric","AP54RHC244_OUTPUT_ENABLE_HIGH",***,20,"nS",10.14,10.93,10.4112,0.345478,9.25166,***,9.25166,1,0,0,117.797,1202.74
"A244_T_EN_R","T_EDGE_HI_VCCY_3.0000",24414860,"Parametric","AP54RHC244_OUTPUT_ENABLE_HIGH",***,30,"nS",12.66,13.82,13.1275,0.446886,12.5852,***,12.5852,1,0,0,121.603,1202.74
"A244_T_EN_R","T_EDGE_LO_VCCY_3.0000",24414940,"Parametric","AP54RHC244_OUTPUT_ENABLE_HIGH",***,30,"nS",12.58,13.56,12.9525,0.394923,14.3889,***,14.3889,1,0,0,121.49,1202.74
"A244_T_EN_R","T_EDGE_HI_VCCY_2.3000",24414880,"Parametric","AP54RHC244_OUTPUT_ENABLE_HIGH",***,36,"nS",15.37,16.92,16.0025,0.618148,10.7836,***,10.7836,1,0,0,118.339,1202.74
"A244_T_EN_R","T_EDGE_LO_VCCY_2.3000",24414960,"Parametric","AP54RHC244_OUTPUT_ENABLE_HIGH",***,36,"nS",15.5,16.75,16.0075,0.488694,13.6367,***,13.6367,1,0,0,118.957,1202.74
"A244_T_EN_R","T_EDGE_HI_VCCY_1.6500",24414900,"Parametric","AP54RHC244_OUTPUT_ENABLE_HIGH",***,48,"nS",21.5,24.4,22.785,1.19343,7.0427,***,7.0427,1,0,0,118.15,1202.74
"A244_T_EN_R","T_EDGE_LO_VCCY_1.6500",24414980,"Parametric","AP54RHC244_OUTPUT_ENABLE_HIGH",***,48,"nS",24.83,26.52,25.7688,0.587548,12.6124,***,12.6124,1,0,0,116.784,1202.74
"A244_T_EN_R","T_EDGE_HI_VCCY_1.4000",24419778,"Parametric","AP54RHC244_OUTPUT_ENABLE_HIGH",***,62,"nS",30.83,34.66,33.0988,1.66456,5.78757,***,5.78757,1,0,0,116.715,1202.74
"A244_T_EN_R","T_EDGE_LO_VCCY_1.4000",24419780,"Parametric","AP54RHC244_OUTPUT_ENABLE_HIGH",***,62,"nS",50.67,52.72,51.52,0.799357,4.37018,***,4.37018,1,0,0,114.053,1202.74
"A244_T_DIS_R","T_EDGE_HI_VCCY_4.5000",24415000,"Parametric","",***,20,"nS",9.75,10.98,10.21,0.533988,6.11125,***,6.11125,1,0,0,177.489,1613.3
"A244_T_DIS_R","T_EDGE_LO_VCCY_4.5000",24415080,"Parametric","",***,20,"nS",9.82,11.07,10.29,0.608159,5.32207,***,5.32207,1,0,0,160.188,1613.3
"A244_T_DIS_R","T_EDGE_HI_VCCY_3.0000",24415020,"Parametric","",***,30,"nS",11.37,12.55,11.8375,0.494823,12.235,***,12.235,1,0,0,159.261,1613.3
"A244_T_DIS_R","T_EDGE_LO_VCCY_3.0000",24415100,"Parametric","",***,30,"nS",11.42,12.59,11.86,0.540555,11.186,***,11.186,1,0,0,157.533,1613.3
"A244_T_DIS_R","T_EDGE_HI_VCCY_2.3000",24415040,"Parametric","",***,36,"nS",13.69,14.78,14.135,0.455098,16.0149,***,16.0149,1,0,0,159.898,1613.3
