Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,37.352,39.642
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.322206,-0.320957,-0.321552,0.000371501,198.789,429.293,198.789,1,0,0,22.266,27.294
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.322149,-0.321014,-0.321564,0.000341227,216.439,467.369,216.439,1,0,0,11.904,18.399
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.322149,-0.3209,-0.32153,0.000360373,389.901,442.57,389.901,1,0,0,15.016,21.979
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.322263,-0.321014,-0.321555,0.000362643,203.648,1542.79,203.648,1,0,0,14.653,20.529
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.112,15.559
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.321142,-0.321142,-0.321142,0,***,***,***,1,0,0,6.108,15.559
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.012,0.0025,0.00325847,20.7152,20.7152,40.6632,1,0,0,92.135,94.237
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000113802,0.000113802,0.000113802,0,***,***,***,1,0,0,18.145,22.593
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,2.988,4.391
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",98.874,98.874,98.874,0,***,***,***,1,0,0,29.698,35.127
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",112.241,112.241,112.241,0,***,***,***,1,0,0,205.318,209.503
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.084,112.084,112.084,0,***,***,***,1,0,0,814.795,819.529
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.111,98.111,98.111,0,***,***,***,1,0,0,0.01,819.529
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",330.448,330.448,330.448,0,***,***,***,1,0,0,0.048,819.529
"A244_OVST_R","ICCL_VCCY_POST",24414720,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.05,112.05,112.05,0,***,***,***,1,0,0,0.009,819.529
"A244_OVST_R","ICCH_VCCY_POST",24414740,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.2377,98.2377,98.2377,0,***,***,***,1,0,0,0.005,819.529
"A244_OVST_R","ICCL_VCCY_DIFF",24414760,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0331524,-0.0331524,-0.0331524,0,***,***,***,1,0,0,0.026,819.529
"A244_OVST_R","ICCH_VCCY_DIFF",24414780,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",0.126747,0.126747,0.126747,0,***,***,***,1,0,0,0.007,819.529
"A244_ICCX_VCC_R","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,42.456,47.082
"A244_VILH_R","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,21.017,61.003
"A244_VILH_R","VILH_VCC_4.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.164,61.003
"A244_VILH_R","VILH_VCC_3.6000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.185,61.003
"A244_VILH_R","VILH_VCC_3.0000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.023,61.003
"A244_VILH_R","VILH_VCC_2.7000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.977,61.003
"A244_VILH_R","VILH_VCC_2.3000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,3.98,61.003
"A244_VILH_R","VILH_VCC_1.9500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.042,61.003
"A244_VILH_R","VILH_VCC_1.6500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.137,61.003
"A244_VILH_R","VILH_VCC_1.4000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.014,61.003
"A244_VOLH_R","VOL_VCCY_1.40_IOL_0.10",24410622,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.007799,0.008027,0.00792275,7.22095e-05,36.573,36.573,101.913,1,0,0,25.773,601.08
"A244_VOLH_R","VOH_VCCY_1.40_IOH_-0.10",24410624,"Parametric","AP54RHC244_TRUTH_TABLE",1.37,1.4,"V",1.39163,1.39228,1.39199,0.000239685,11.1382,30.5832,11.1382,1,0,0,10.43,601.08
"A244_VOLH_R","VOL_VCCY_5.50_IOL_0.10",24410170,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.003523,0.003694,0.0036105,6.04365e-05,19.9135,19.9135,145.549,1,0,0,18.25,601.08
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-0.10",24410180,"Parametric","AP54RHC244_TRUTH_TABLE",5.47,5.5,"V",5.49412,5.49469,5.4944,0.000183731,10.1593,44.2681,10.1593,1,0,0,8.522,601.08
