Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,37.022,39.615
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.322282,-0.321128,-0.3217,0.000334187,221.134,477.077,221.134,1,0,0,19.476,24.937
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.32232,-0.321118,-0.321684,0.000346928,212.997,459.572,212.997,1,0,0,12.196,19.369
"A244_OPENS_R","passLimit_uA_mV",***,"Parametric","",-0.8,0.1,"V",-0.32232,-0.321175,-0.32171,0.000346769,405.37,459.758,405.37,1,0,0,14.078,19.73
"A244_SHORTS_R","passLimit_uA_mV",***,"Parametric","",-2,-0.1,"V",-0.322377,-0.321118,-0.321694,0.000368751,200.401,1517.11,200.401,1,0,0,14.946,21.243
"A244_PRE_TEMP_R","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,7.465,14.328
"A244_PRE_TEMP_R","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.32137,-0.32137,-0.32137,0,***,***,***,1,0,0,5.634,14.328
"A244_IOFF_GND_R","passCurrentHigh_uA",24410070,"Parametric","",-0.2,0.4,"uA",0,0.012,0.00238889,0.00327448,20.6026,20.6026,40.4757,1,0,0,90.552,92.51
"A244_PSHORTS_VCC_R","passCurrLimit_uA",24410090,"Parametric","",-0.01,0.01,"A",0.000114,0.000114,0.000114,0,***,***,***,1,0,0,17.863,21.867
"A244_TRAFFIC_R","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,3.169,4.888
"A244_ICCH_VCC_R","passCurrLimit_uA",24410110,"Parametric","",1,130,"uA",98.8537,98.8537,98.8537,0,***,***,***,1,0,0,30.747,36.98
"A244_ICCL_VCC_R","passCurrLimit_uA",24410140,"Parametric","",1,130,"uA",112.246,112.246,112.246,0,***,***,***,1,0,0,206.547,211.975
"A244_OVST_R","ICCL_VCCY_PRE",24414660,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",112.031,112.031,112.031,0,***,***,***,1,0,0,816.16,821.358
"A244_OVST_R","ICCH_VCCY_PRE",24414680,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.149,98.149,98.149,0,***,***,***,1,0,0,0.009,821.358
"A244_OVST_R","ICC_VCCY_OVST",24414700,"Parametric","AP54RHC244_TRUTH_TABLE",-1000,2000,"uA",500.823,500.823,500.823,0,***,***,***,1,0,0,0.037,821.358
"A244_OVST_R","ICCL_VCCY_POST",24414720,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",111.997,111.997,111.997,0,***,***,***,1,0,0,0.019,821.358
"A244_OVST_R","ICCH_VCCY_POST",24414740,"Parametric","AP54RHC244_TRUTH_TABLE",0,130,"uA",98.0172,98.0172,98.0172,0,***,***,***,1,0,0,0.12,821.358
"A244_OVST_R","ICCL_VCCY_DIFF",24414760,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.0344619,-0.0344619,-0.0344619,0,***,***,***,1,0,0,0.011,821.358
"A244_OVST_R","ICCH_VCCY_DIFF",24414780,"Parametric","AP54RHC244_TRUTH_TABLE",-4,4,"uA",-0.131816,-0.131816,-0.131816,0,***,***,***,1,0,0,0.006,821.358
"A244_ICCX_VCC_R","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,41.515,45.558
"A244_VILH_R","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,20.938,62.562
"A244_VILH_R","VILH_VCC_4.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.039,62.562
"A244_VILH_R","VILH_VCC_3.6000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.71,62.562
"A244_VILH_R","VILH_VCC_3.0000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.149,62.562
"A244_VILH_R","VILH_VCC_2.7000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.21,62.562
"A244_VILH_R","VILH_VCC_2.3000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.141,62.562
"A244_VILH_R","VILH_VCC_1.9500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.266,62.562
"A244_VILH_R","VILH_VCC_1.6500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.276,62.562
"A244_VILH_R","VILH_VCC_1.4000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.038,62.562
"A244_VOLH_R","VOL_VCCY_1.40_IOL_0.10",24410622,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.007847,0.008027,0.00792275,7.22095e-05,36.573,36.573,101.913,1,0,0,27.114,604.432
"A244_VOLH_R","VOH_VCCY_1.40_IOH_-0.10",24410624,"Parametric","AP54RHC244_TRUTH_TABLE",1.37,1.4,"V",1.39168,1.39228,1.39199,0.000205219,13.0089,35.7196,13.0089,1,0,0,10.391,604.432
"A244_VOLH_R","VOL_VCCY_5.50_IOL_0.10",24410170,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.003466,0.003698,0.00360338,8.00749e-05,15,15,109.883,1,0,0,18.009,604.432
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-0.10",24410180,"Parametric","AP54RHC244_TRUTH_TABLE",5.47,5.5,"V",5.49406,5.49458,5.49434,0.000172776,10.9272,46.9512,10.9272,1,0,0,8.995,604.432
"A244_VOLH_R","VOL_VCCY_1.65_IOL_1.00",24410190,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.09,"V",0.065651,0.066675,0.0662355,0.00034606,22.8905,63.7996,22.8905,1,0,0,8.134,604.432
"A244_VOLH_R","VOH_VCCY_1.65_IOH_-1.00",24410200,"Parametric","AP54RHC244_TRUTH_TABLE",1.55,1.65,"V",1.58066,1.58594,1.5831,0.00180984,6.0957,6.0957,12.3222,1,0,0,8.187,604.432
"A244_VOLH_R","VOL_VCCY_5.50_IOL_1.00",24410210,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.075,"V",0.033449,0.034416,0.0340441,0.000330628,34.3227,34.3227,41.291,1,0,0,18.17,604.432
"A244_VOLH_R","VOH_VCCY_5.50_IOH_-1.00",24410220,"Parametric","AP54RHC244_TRUTH_TABLE",5.4,5.5,"V",5.46394,5.46883,5.46609,0.00167095,6.76488,13.1839,6.76488,1,0,0,8.275,604.432
"A244_VOLH_R","VOL_VCCY_1.65_IOL_4.00",24410610,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.288673,0.293743,0.291994,0.00172766,49.7795,56.3372,49.7795,1,0,0,8.237,604.432
"A244_VOLH_R","VOH_VCCY_1.65_IOH_-4.00",24410620,"Parametric","AP54RHC244_TRUTH_TABLE",1.25,1.65,"V",1.35631,1.37901,1.36639,0.00810321,4.7878,4.7878,11.6666,1,0,0,8.14,604.432
"A244_VOLH_R","VOL_VCCY_1.95_IOL_4.00",24410230,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.234795,0.239101,0.237659,0.00149811,52.8799,52.8799,69.4968,1,0,0,17.53,604.432
"A244_VOLH_R","VOH_VCCY_1.95_IOH_-4.00",24410240,"Parametric","AP54RHC244_TRUTH_TABLE",1.4,1.95,"V",1.70449,1.72566,1.71373,0.00753645,10.4499,13.8763,10.4499,1,0,0,8.165,604.432
"A244_VOLH_R","VOL_VCCY_2.30_IOL_4.00",24410250,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.54,"V",0.201854,0.206012,0.204614,0.00144996,47.0391,47.0391,77.1024,1,0,0,18.342,604.432
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-4.00",24410260,"Parametric","AP54RHC244_TRUTH_TABLE",1.865,2.3,"V",2.0865,2.10699,2.09535,0.00724277,9.4184,10.6016,9.4184,1,0,0,8.707,604.432
"A244_VOLH_R","VOL_VCCY_3.00_IOL_4.00",24410270,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.34,"V",0.16823,0.172159,0.170928,0.00136724,41.2198,41.6725,41.2198,1,0,0,18.151,604.432
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-4.00",24410280,"Parametric","AP54RHC244_TRUTH_TABLE",2.65,3,"V",2.82151,2.84089,2.82977,0.00679201,8.35429,8.82275,8.35429,1,0,0,8.187,604.432
"A244_VOLH_R","VOL_VCCY_4.50_IOL_4.00",24410290,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.36,"V",0.140636,0.144451,0.143227,0.00132374,36.0663,36.0663,54.5859,1,0,0,17.617,604.432
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-4.00",24410300,"Parametric","AP54RHC244_TRUTH_TABLE",4.24,4.5,"V",4.3537,4.37192,4.36128,0.00633308,6.38335,6.38335,7.30141,1,0,0,8.098,604.432
"A244_VOLH_R","VOL_VCCY_2.30_IOL_8.00",24410310,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.8,"V",0.425274,0.434615,0.431284,0.00319858,38.4251,44.9454,38.4251,1,0,0,7.599,604.432
"A244_VOLH_R","VOH_VCCY_2.30_IOH_-8.00",24410320,"Parametric","AP54RHC244_TRUTH_TABLE",1.53,2.3,"V",1.8589,1.89961,1.87675,0.0142897,8.08851,8.08851,9.87315,1,0,0,8.005,604.432
"A244_VOLH_R","VOL_VCCY_2.70_IOL_8.00",24410330,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.67,"V",0.370258,0.378801,0.37581,0.00293933,33.3625,42.6186,33.3625,1,0,0,17.925,604.432
"A244_VOLH_R","VOH_VCCY_2.70_IOH_-8.00",24410340,"Parametric","AP54RHC244_TRUTH_TABLE",1.9,2.7,"V",2.31171,2.35066,2.3286,0.0135997,9.10318,10.5051,9.10318,1,0,0,9.938,604.432
"A244_VOLH_R","VOL_VCCY_3.00_IOL_8.00",24410350,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.67,"V",0.34403,0.352288,0.349532,0.00287059,37.2128,40.5877,37.2128,1,0,0,18.484,604.432
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-8.00",24410360,"Parametric","AP54RHC244_TRUTH_TABLE",2.3,3,"V",2.63892,2.67697,2.65525,0.013244,8.67698,8.94104,8.67698,1,0,0,8.465,604.432
"A244_VOLH_R","VOL_VCCY_4.50_IOL_8.00",24410370,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.51,"V",0.283439,0.291069,0.288536,0.0026836,27.5083,35.8394,27.5083,1,0,0,18.249,604.432
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-8.00",24410380,"Parametric","AP54RHC244_TRUTH_TABLE",3.97,4.5,"V",4.20762,4.24434,4.22309,0.0127267,6.62888,6.62888,7.25274,1,0,0,8.455,604.432
"A244_VOLH_R","VOL_VCCY_3.00_IOL_16.00",24410390,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.13,"V",0.732556,0.751973,0.745434,0.00669319,19.1521,37.124,19.1521,1,0,0,8.016,604.432
"A244_VOLH_R","VOH_VCCY_3.00_IOH_-16.00",24410400,"Parametric","AP54RHC244_TRUTH_TABLE",1.71,3,"V",2.24547,2.32976,2.28224,0.0292781,6.515,6.515,8.17172,1,0,0,9.213,604.432
"A244_VOLH_R","VOL_VCCY_3.60_IOL_16.00",24410410,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.13,"V",0.643631,0.660885,0.655121,0.00596197,26.5505,36.6278,26.5505,1,0,0,17.992,604.432
"A244_VOLH_R","VOH_VCCY_3.60_IOH_-16.00",24410420,"Parametric","AP54RHC244_TRUTH_TABLE",2.31,3.6,"V",2.93366,3.01284,2.96769,0.0274345,7.68271,7.99099,7.68271,1,0,0,8.58,604.432
"A244_VOLH_R","VOL_VCCY_4.50_IOL_16.00",24410430,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.07,"V",0.577862,0.594091,0.588739,0.00565379,28.3739,34.7106,28.3739,1,0,0,17.943,604.432
"A244_VOLH_R","VOH_VCCY_4.50_IOH_-16.00",24410440,"Parametric","AP54RHC244_TRUTH_TABLE",3.45,4.5,"V",3.90826,3.98428,3.94051,0.0262658,6.22493,6.22493,7.10037,1,0,0,8.909,604.432
"A244_VOLH_R","VOL_VCCY_4.50_IOL_24.00",24410450,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.27,"V",0.889638,0.915204,0.906781,0.00883441,13.7047,34.214,13.7047,1,0,0,6.412,604.432
