Device,Device ID,Wafer,Site,P/F,Time
1,"1",0,1,0,2910
2,"2",0,1,0,4609
3,"3",0,1,0,653
4,"4",0,1,0,642
5,"5",0,1,0,642
6,"6",0,1,0,1206
7,"7",0,1,0,1205
8,"8",0,1,0,641
9,"9",0,1,0,649
10,"10",0,1,0,643
11,"11",0,1,0,644
12,"12",0,1,0,1211
13,"13",0,1,0,644
14,"14",0,1,0,645
15,"15",0,1,0,643
16,"16",0,1,0,1207
17,"17",0,1,0,191925
18,"18",0,1,0,1247
19,"19",0,1,0,644
20,"20",0,1,0,647
21,"21",0,1,0,649
22,"22",0,1,0,643
23,"23",0,1,0,645
24,"24",0,1,0,642
25,"25",0,1,0,1212
26,"26",0,1,0,1209
27,"27",0,1,0,641
28,"28",0,1,0,1212
29,"29",0,1,0,638
30,"30",0,1,0,642
31,"31",0,1,0,642
32,"32",0,1,0,641
33,"33",0,1,0,642
34,"34",0,1,0,1814
35,"35",0,1,0,1209
36,"36",0,1,0,638
37,"37",0,1,0,642
38,"38",0,1,0,1210
39,"39",0,1,0,643
40,"40",0,1,0,643
41,"41",0,1,0,641
42,"42",0,1,0,650
43,"43",0,1,0,644
44,"44",0,1,0,1212
