Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-376.691,-356.268,-368.436,4.60339,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-437.819,-414.598,-423.435,5.35535,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-376.133,-356.156,-368.65,4.52154,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-363.715,-343.283,-355.6,4.94014,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-378.865,-359.571,-370.633,4.34414,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-370.328,-351.773,-362.435,4.13847,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-472.337,-441.202,-450.14,6.74083,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-298.726,-292.636,-295.626,1.62451,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-355.121,-334.461,-338.147,3.19974,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-343.809,-331.041,-340.055,3.29534,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-344.511,-331.244,-340.542,3.32469,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-344.339,-331.169,-340.56,3.38347,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-344.517,-331.547,-340.582,3.31894,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-344.643,-331.394,-340.597,3.35671,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-344.322,-331.56,-340.621,3.30651,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-344.328,-331.194,-340.536,3.37317,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-344.852,-331.564,-340.587,3.34909,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-222.233,-221.514,-221.785,0.151194,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-222.111,-221.342,-221.761,0.207457,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-222.124,-221.386,-221.771,0.176837,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-222.088,-221.415,-221.79,0.157894,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-222.25,-221.527,-221.791,0.162738,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-222.101,-221.403,-221.742,0.174613,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-222.147,-221.498,-221.742,0.150026,44,0,0.155893,***
"CONTINUITY","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-222.073,-221.386,-221.776,0.159121,44,0,0.155893,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-9.38908,-4.26017,-5.86786,1.01863,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-9.38908,-4.26017,-5.86786,1.01863,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-12.2037,-8.59461,-10.0641,0.902937,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-12.2037,-8.59461,-10.0641,0.902937,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-12.2727,-6.33583,-8.39583,1.32881,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-12.2727,-6.33583,-8.39583,1.32881,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-76.1192,-9.66784,-39.7825,15.0322,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-76.1192,-9.66784,-39.7825,15.0322,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",295.52,304.553,299.515,1.98122,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-303.677,-293.388,-299.691,2.18525,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",295.317,304.422,299.624,2.51146,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-304.222,-296.444,-300.594,2.03563,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",506.156,558.724,521.975,15.9433,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-700,-300,"nA",-562.279,-510.943,-526.711,15.597,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-200,200,"nA",-1.22461,0.295559,-0.382757,0.327887,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-200,200,"nA",-8.51607,-4.41162,-5.75789,0.985325,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"Parametric","",-200,200,"nA",-1.28398,0.966737,-0.136534,0.47455,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"Parametric","",-200,200,"nA",-14.5329,-7.42271,-9.65715,1.70252,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"Parametric","",500,1000,"nA",701,848,753.568,37.0508,44,0,0.427369,***
"Pin_to_Pin_Leakage","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"Parametric","",-1000,-500,"nA",-906,-786,-842.545,30.8857,44,0,0.427369,***
