Device,Device ID,Wafer,Site,P/F,Time
1,"328",0,1,1,370515
2,"309",0,1,1,51794
3,"290",0,1,1,42991
4,"271",0,1,0,45775
5,"252",0,1,1,41414
6,"233",0,1,1,40864
7,"214",0,1,0,26823
8,"195",0,1,0,639
9,"195",0,1,0,649
10,"480",0,1,0,42322
11,"461",0,1,1,41057
12,"442",0,1,1,40902
13,"423",0,1,1,41114
14,"404",0,1,1,41240
15,"385",0,1,1,41111
16,"366",0,1,1,46393
17,"347",0,1,1,40849
18,"632",0,1,0,40393
19,"613",0,1,0,27164
20,"594",0,1,0,26600
21,"575",0,1,1,40939
22,"556",0,1,0,26834
23,"537",0,1,1,41120
24,"518",0,1,0,27301
25,"499",0,1,0,2225
26,"747",0,1,1,41154
27,"728",0,1,1,40631
28,"746",0,1,0,40367
29,"727",0,1,0,39949
30,"708",0,1,0,40491
31,"689",0,1,0,40454
32,"670",0,1,1,40692
33,"651",0,1,0,16300
34,"709",0,1,1,41197
35,"690",0,1,1,41164
36,"671",0,1,1,40597
37,"652",0,1,0,27025
38,"633",0,1,0,40458
39,"614",0,1,1,41100
40,"595",0,1,0,27256
41,"576",0,1,1,40826
42,"538",0,1,1,40712
43,"519",0,1,0,27267
44,"500",0,1,1,41374
45,"500",0,1,0,5423
46,"500",0,1,1,19379
47,"481",0,1,0,30402
48,"462",0,1,1,40997
49,"443",0,1,1,41036
50,"424",0,1,1,40797
51,"424",0,1,0,5447
52,"424",0,1,1,19364
53,"405",0,1,0,30675
54,"386",0,1,0,30663
55,"367",0,1,1,40972
56,"348",0,1,0,40442
57,"329",0,1,1,41117
58,"310",0,1,1,40988
59,"291",0,1,1,40912
60,"272",0,1,1,40699
61,"253",0,1,1,41114
62,"234",0,1,1,40966
63,"215",0,1,1,40691
64,"196",0,1,1,41396
65,"177",0,1,0,30388
66,"158",0,1,1,41033
67,"139",0,1,1,41235
68,"120",0,1,1,40692
69,"101",0,1,1,40673
70,"82",0,1,0,40520
71,"63",0,1,1,41337
72,"44",0,1,1,41392
73,"25",0,1,0,1133
74,"25",0,1,0,191
75,"25",0,1,0,189
76,"25",0,1,0,193
77,"25",0,1,0,189
78,"6",0,1,1,41122
79,"26",0,1,1,41281
80,"7",0,1,1,41012
81,"178",0,1,1,40781
82,"159",0,1,0,40575
83,"140",0,1,1,40747
84,"121",0,1,1,40976
85,"102",0,1,1,40881
86,"83",0,1,0,40340
87,"64",0,1,0,27121
88,"45",0,1,0,40640
89,"330",0,1,1,41305
90,"311",0,1,0,30800
91,"292",0,1,0,40814
92,"273",0,1,1,40756
93,"254",0,1,1,41042
94,"235",0,1,1,41112
95,"216",0,1,1,40920
96,"197",0,1,1,41295
