Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Pass#,Fail#,Time,TS Time
"CONTINUITY","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-376.293,-355.471,-364.68,6.80662,96,0,0.133261,***
"CONTINUITY","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-437.99,-410.215,-423.17,7.4552,96,0,0.133261,***
"CONTINUITY","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-376.02,-355.985,-364.889,6.77694,96,0,0.133261,***
"CONTINUITY","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-363.203,-341.063,-351.284,7.15659,96,0,0.133261,***
"CONTINUITY","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-378.126,-357.123,-366.668,6.68229,96,0,0.133261,***
"CONTINUITY","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-369.759,-350.008,-359.158,6.00749,96,0,0.133261,***
"CONTINUITY","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-474.898,-438.925,-454.484,9.37062,96,0,0.133261,***
"CONTINUITY","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-300.491,-291.27,-296.15,2.32122,96,0,0.133261,***
"CONTINUITY","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-360.016,-344.933,-354.801,2.36156,96,0,0.133261,***
"CONTINUITY","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-342.756,-258.488,-334.051,16.3991,92,4,0.133261,***
"CONTINUITY","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-343.166,-329.634,-337.678,4.51377,92,0,0.133394,***
"CONTINUITY","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-343.33,-329.43,-337.703,4.45558,92,0,0.133394,***
"CONTINUITY","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-343.559,-329.401,-337.768,4.49301,92,0,0.133394,***
"CONTINUITY","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-343.422,-329.735,-337.758,4.46417,92,0,0.133394,***
"CONTINUITY","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-343.039,-329.365,-337.747,4.49408,92,0,0.133394,***
"CONTINUITY","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-343.233,-329.47,-337.728,4.46595,92,0,0.133394,***
