Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"458","","",-500,"<=",-359.226,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"458","","",-500,"<=",-421.427,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"458","","",-500,"<=",-359.343,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"458","","",-500,"<=",-346.128,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"458","","",-500,"<=",-360.993,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"458","","",-500,"<=",-355.7,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"458","","",-500,"<=",-456.456,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"458","","",-500,"<=",-300.263,"mV","<=",-200,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"458","","",-500,"<=",-375.952,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"458","","",-360,"<=",-334.108,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"458","","",-360,"<=",-334.862,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"458","","",-360,"<=",-334.837,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"458","","",-360,"<=",-334.85,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"458","","",-360,"<=",-335.163,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"458","","",-360,"<=",-334.877,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"458","","",-360,"<=",-334.803,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"458","","",-360,"<=",-334.866,"mV","<=",-300,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"458","","",-300,"<=",-225.124,"mV","<=",-200,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"458","","",-300,"<=",-225.136,"mV","<=",-200,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"458","","",-300,"<=",-224.796,"mV","<=",-200,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"458","","",-300,"<=",-225.17,"mV","<=",-200,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"458","","",-300,"<=",-224.52,"mV","<=",-200,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"458","","",-300,"<=",-225.008,"mV","<=",-200,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"458","","",-300,"<=",-224.932,"mV","<=",-200,"P",0.16014,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"458","","",-300,"<=",-224.741,"mV","<=",-200,"P",0.16014,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"458","","",-200,"<=",-7.25627,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,"458","","",-200,"<=",-7.25627,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"458","","",-200,"<=",-11.3904,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,"458","","",-200,"<=",-11.3904,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,"458","","",-200,"<=",-9.91843,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,"458","","",-200,"<=",-9.91843,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,"458","","",-200,"<=",-12.2728,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,"458","","",-200,"<=",-12.2728,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,"458","","",10,"<=",299.024,"nA","<=",500,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,"458","","",-500,"<=",-300.079,"nA","<=",-10,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,"458","","",10,"<=",300.635,"nA","<=",500,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,"458","","",-500,"<=",-298.1,"nA","<=",-10,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,"458","","",300,"<=",546.968,"nA","<=",700,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,"458","","",-700,"<=",-553.449,"nA","<=",-300,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,"458","","",-200,"<=",-0.768557,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",1,"458","","",-200,"<=",-6.53985,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",0,1,"ISEN_PS1600",1,"458","","",-200,"<=",0.506363,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",0,1,"ISEN_PS1600",1,"458","","",-200,"<=",-11.5149,"nA","<=",200,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",0,1,"VBIAS_PS1600",1,"458","","",500,"<=",799,"nA","<=",1000,"P",0.431019,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",0,1,"VBIAS_PS1600",1,"458","","",-1000,"<=",-836,"nA","<=",-500,"P",0.431019,***,"",
1,"IVDDFL_IVINFL_RONFL","","RON_200mAVDD_5_VIN_5",90040,"",0,1,"VIN1",1,"458","","",0.04,"<=",0.0589083,"ohm","<=",0.08,"P",0.0434797,***,"",
1,"IVDDFL_IVINFL_RONFL","","DEVICE_VARIENT_TRUE",90060,"",0,1,"VIN1",1,"458","","",0.5,"<=",1,"","<=",1.5,"P",0.0434797,***,"",
1,"Fuse_Burn_Check","","BANKA_BIT5_BLOWN_TRUE",1000001,"",0,1,"OFF_PS1600",1,"458","","",0,"<=",0,"","<=",1,"P",0.110502,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_VOUT_LOW",30010,"",0,1,"VOUT4",1,"458","","",-0.001,"<=",0.00148392,"V","<=",1,"P",0.244821,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_LOW_OFF_HIGH",30020,"",0,1,"OFF_PS1600",1,"458","","",1.6,"<=",1.89877,"V","<=",2.3,"P",0.244821,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_VOUT_LOW",30030,"",0,1,"VOUT4",1,"458","","",-0.001,"<=",0.00159454,"V","<=",0.5,"P",0.244821,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","FCB_LOW_OFF_HIGH",30040,"",0,1,"OFF_PS1600",1,"458","","",1.6,"<=",1.89916,"V","<=",2.3,"P",0.244821,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_VOUT_LOW",30050,"",0,1,"VOUT4",1,"458","","",-0.001,"<=",0.00091362,"V","<=",0.5,"P",0.244821,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_LOW_OFF_HIGH",30060,"",0,1,"OFF_PS1600",1,"458","","",1.6,"<=",1.89877,"V","<=",2.3,"P",0.244821,***,"",
1,"Gross_Functional_EN_FCB_FAULTB_OFF","","EN_FCB_HIGH_VOUT_HIGH",30070,"",0,1,"VOUT4",1,"458","","",4.85,"<=",5.00008,"V","<=",5.1,"P",0.244821,***,"",
