Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,90.27,93.969
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.213932,-0.212968,-0.213475,0.000282612,133.841,691.79,133.841,1,0,0,23.64,33.27
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.214001,-0.212911,-0.213466,0.000315095,120.034,620.484,120.034,1,0,0,10.416,15.697
"A244_OPENS_H","passLimit_uA_mV",24410020,"Parametric","",-0.8,-0.1,"V",-0.214046,-0.212968,-0.213475,0.000308598,122.571,633.536,122.571,1,0,0,12.777,19.008
"A244_SHORTS_H","passLimit_uA_mV",24410050,"Parametric","",-0.8,-0.1,"V",-0.214046,-0.212968,-0.213485,0.000303782,124.524,643.569,124.524,1,0,0,12.578,19.148
"A244_PRE_TEMP_H","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,7.907,15.025
"A244_PRE_TEMP_H","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.213147,-0.213147,-0.213147,0,***,***,***,1,0,0,5.78,15.025
"A244_IOFF_GND_H","passCurrentHigh_uA",24412150,"Parametric","",-0.2,0.9,"uA",0.129,0.151,0.136111,0.00531246,21.0895,21.0895,47.9307,1,0,0,93.069,95.218
"A244_PSHORTS_VCC_H","passCurrLimit_uA",24412180,"Parametric","",-0.01,0.01,"A",0.000127869,0.000127869,0.000127869,0,***,***,***,1,0,0,18.882,23.112
"A244_TRAFFIC_H","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,4.792,6.378
"A244_ICCH_VCC_H","passCurrLimit_uA",24412200,"Parametric","",1,140,"uA",109.914,109.914,109.914,0,***,***,***,1,0,0,30.072,35.256
"A244_ICCL_VCC_H","passCurrLimit_uA",24412220,"Parametric","",1,160,"uA",125.509,125.509,125.509,0,***,***,***,1,0,0,15.343,19.858
"A244_ICCX_VCC_H","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,41.198,46.227
"A244_VILH_H","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,21.65,63.175
"A244_VILH_H","VILH_VCC_4.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.214,63.175
"A244_VILH_H","VILH_VCC_3.6000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.409,63.175
"A244_VILH_H","VILH_VCC_3.0000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.514,63.175
"A244_VILH_H","VILH_VCC_2.7000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.085,63.175
"A244_VILH_H","VILH_VCC_2.3000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.154,63.175
"A244_VILH_H","VILH_VCC_1.9500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.016,63.175
"A244_VILH_H","VILH_VCC_1.6500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,3.998,63.175
"A244_VILH_H","VILH_VCC_1.4000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.309,63.175
"A244_VOLH_H","VOL_VCCY_1.40_IOL_0.10",24412710,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.009781,0.009963,0.00987225,6.83829e-05,48.1224,48.1224,98.113,1,0,0,27.151,603.899
"A244_VOLH_H","VOH_VCCY_1.40_IOH_-0.10",24412712,"Parametric","AP54RHC244_TRUTH_TABLE",1.37,1.4,"V",1.38979,1.3907,1.39025,0.000304011,10.693,22.2006,10.693,1,0,0,10.882,603.899
"A244_VOLH_H","VOL_VCCY_5.50_IOL_0.10",24412250,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.004211,0.004439,0.00437213,7.63178e-05,19.0961,19.0961,111.935,1,0,0,18.004,603.899
"A244_VOLH_H","VOH_VCCY_5.50_IOH_-0.10",24412260,"Parametric","AP54RHC244_TRUTH_TABLE",5.405,5.5,"V",5.49322,5.49384,5.49355,0.000214036,10.0396,137.911,10.0396,1,0,0,8.553,603.899
"A244_VOLH_H","VOL_VCCY_1.65_IOL_1.00",24412270,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.115,"V",0.083458,0.084767,0.0843164,0.000429304,23.8243,65.4675,23.8243,1,0,0,8.981,603.899
"A244_VOLH_H","VOH_VCCY_1.65_IOH_-1.00",24412280,"Parametric","AP54RHC244_TRUTH_TABLE",1.53,1.65,"V",1.56371,1.57156,1.56796,0.00262865,4.81381,4.81381,10.4031,1,0,0,8.767,603.899
"A244_VOLH_H","VOL_VCCY_5.50_IOL_1.00",24412290,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.075,"V",0.040447,0.041756,0.0413591,0.00044023,25.4722,31.3163,25.4722,1,0,0,17.885,603.899
"A244_VOLH_H","VOH_VCCY_5.50_IOH_-1.00",24412300,"Parametric","AP54RHC244_TRUTH_TABLE",5.355,5.5,"V",5.45646,5.46369,5.4604,0.00242319,5.44683,14.4993,5.44683,1,0,0,10.246,603.899
"A244_VOLH_H","VOL_VCCY_1.65_IOL_4.00",24412690,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.381694,0.389866,0.387224,0.00257458,21.0748,50.1343,21.0748,1,0,0,8.044,603.899
"A244_VOLH_H","VOH_VCCY_1.65_IOH_-4.00",24412700,"Parametric","AP54RHC244_TRUTH_TABLE",1.1,1.65,"V",1.27589,1.31247,1.29608,0.0121961,5.35907,5.35907,9.67305,1,0,0,8.444,603.899
"A244_VOLH_H","VOL_VCCY_1.95_IOL_4.00",24412310,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.305741,0.312234,0.310225,0.00209794,38.0968,49.2904,38.0968,1,0,0,18.334,603.899
"A244_VOLH_H","VOH_VCCY_1.95_IOH_-4.00",24412320,"Parametric","AP54RHC244_TRUTH_TABLE",1.455,1.95,"V",1.63904,1.67187,1.65717,0.0109788,6.13825,6.13825,8.89077,1,0,0,9.417,603.899
"A244_VOLH_H","VOL_VCCY_2.30_IOL_4.00",24412330,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.54,"V",0.26034,0.266326,0.264514,0.00196162,44.9483,44.9483,46.8128,1,0,0,18.018,603.899
"A244_VOLH_H","VOH_VCCY_2.30_IOH_-4.00",24412340,"Parametric","AP54RHC244_TRUTH_TABLE",1.805,2.3,"V",2.03086,2.06216,2.04807,0.0104621,7.74448,7.74448,8.02676,1,0,0,8.416,603.899
