SW Bin,Desc,Site,Site%,Device#,Bin%,Good Bin,Reprobe Bin
"1","PASS",1,100,1,100,1,0
"97","HANDLER_OCR_ERROR",0,***,0,0,0,0
"5","OPENS",0,***,0,0,0,0
"3","SHORTS",0,***,0,0,0,0
"99","Temp",0,***,0,0,0,0
"9","LEAKAGE",0,***,0,0,0,0
"4","PSHORTS",0,***,0,0,0,0
"2","FUNC",0,***,0,0,0,0
"6","IDDS",0,***,0,0,0,0
"13","OVST",0,***,0,0,0,0
"7","VILH",0,***,0,0,0,0
"8","VOL_VOH",0,***,0,0,0,0
"16","LEAKAGE",0,***,0,0,0,0
"10","T_PROP",0,***,0,0,0,0
"11","T_EN",0,***,0,0,0,0
"12","T_DIS",0,***,0,0,0,0
"14","POR",0,***,0,0,0,0
"98","CONNECT",0,***,0,0,0,0
"db","",0,***,0,0,0,0
