Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,37.354,39.437
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.213033,-0.212,-0.212501,0.000301964,124.188,648.532,124.188,1,0,0,21.597,26.516
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.213021,-0.211943,-0.212495,0.000294405,127.37,665.19,127.37,1,0,0,12.642,18.876
"A244_OPENS_H","passLimit_uA_mV",24410020,"Parametric","",-0.8,-0.1,"V",-0.213021,-0.211943,-0.212504,0.00030008,124.971,652.6,124.971,1,0,0,13.121,20.196
"A244_SHORTS_H","passLimit_uA_mV",24410050,"Parametric","",-0.8,-0.1,"V",-0.212976,-0.212,-0.212498,0.000283298,132.367,691.264,132.367,1,0,0,13.082,20.159
"A244_PRE_TEMP_H","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,7.947,15.562
"A244_PRE_TEMP_H","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.212179,-0.212179,-0.212179,0,***,***,***,1,0,0,6.147,15.562
"A244_IOFF_GND_H","passCurrentHigh_uA",24412150,"Parametric","",-0.2,0.9,"uA",0.134,0.156,0.141278,0.00531154,21.4174,21.4174,47.6147,1,0,0,92.098,94.279
"A244_PSHORTS_VCC_H","passCurrLimit_uA",24412180,"Parametric","",-0.01,0.01,"A",0.000127695,0.000127695,0.000127695,0,***,***,***,1,0,0,17.749,21.461
"A244_TRAFFIC_H","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,5.531,7.499
"A244_ICCH_VCC_H","passCurrLimit_uA",24412200,"Parametric","",1,140,"uA",110.236,110.236,110.236,0,***,***,***,1,0,0,29.977,41.444
"A244_ICCL_VCC_H","passCurrLimit_uA",24412220,"Parametric","",1,160,"uA",125.714,125.714,125.714,0,***,***,***,1,0,0,18.71,23.18
"A244_ICCX_VCC_H","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,42.09,47.771
"A244_VILH_H","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,21.223,66.258
"A244_VILH_H","VILH_VCC_4.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.193,66.258
"A244_VILH_H","VILH_VCC_3.6000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.122,66.258
"A244_VILH_H","VILH_VCC_3.0000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.894,66.258
"A244_VILH_H","VILH_VCC_2.7000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,6.203,66.258
"A244_VILH_H","VILH_VCC_2.3000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.775,66.258
"A244_VILH_H","VILH_VCC_1.9500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,6.392,66.258
"A244_VILH_H","VILH_VCC_1.6500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.252,66.258
"A244_VILH_H","VILH_VCC_1.4000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.213,66.258
"A244_VOLH_H","VOL_VCCY_1.40_IOL_0.10",24412710,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.009792,0.009952,0.00988637,5.62417e-05,58.5946,58.5946,119.21,1,0,0,27.24,594.53
"A244_VOLH_H","VOH_VCCY_1.40_IOH_-0.10",24412712,"Parametric","AP54RHC244_TRUTH_TABLE",1.37,1.4,"V",1.38973,1.39081,1.39023,0.00036102,9.01751,18.6818,9.01751,1,0,0,10.091,594.53
"A244_VOLH_H","VOL_VCCY_5.50_IOL_0.10",24412250,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.004263,0.00449,0.00437187,8.16533e-05,17.8473,17.8473,104.622,1,0,0,17.859,594.53
"A244_VOLH_H","VOH_VCCY_5.50_IOH_-0.10",24412260,"Parametric","AP54RHC244_TRUTH_TABLE",5.405,5.5,"V",5.49316,5.4939,5.49353,0.000233796,9.22118,126.225,9.22118,1,0,0,9.258,594.53
"A244_VOLH_H","VOL_VCCY_1.65_IOL_1.00",24412270,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.115,"V",0.083572,0.084995,0.0844874,0.000459518,22.1338,61.2869,22.1338,1,0,0,8.645,594.53
"A244_VOLH_H","VOH_VCCY_1.65_IOH_-1.00",24412280,"Parametric","AP54RHC244_TRUTH_TABLE",1.53,1.65,"V",1.5636,1.57134,1.56779,0.00258411,4.87475,4.87475,10.6045,1,0,0,8.911,594.53
"A244_VOLH_H","VOL_VCCY_5.50_IOL_1.00",24412290,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.075,"V",0.040561,0.041869,0.0414445,0.00043659,25.6194,31.6426,25.6194,1,0,0,17.956,594.53
"A244_VOLH_H","VOH_VCCY_5.50_IOH_-1.00",24412300,"Parametric","AP54RHC244_TRUTH_TABLE",5.355,5.5,"V",5.45635,5.46357,5.46029,0.00243471,5.43664,14.4151,5.43664,1,0,0,8.323,594.53
"A244_VOLH_H","VOL_VCCY_1.65_IOL_4.00",24412690,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.382377,0.391005,0.388156,0.00265991,20.2819,48.6427,20.2819,1,0,0,8.417,594.53
"A244_VOLH_H","VOH_VCCY_1.65_IOH_-4.00",24412700,"Parametric","AP54RHC244_TRUTH_TABLE",1.1,1.65,"V",1.27498,1.31133,1.29518,0.0120451,5.40147,5.40147,9.81916,1,0,0,10.063,594.53
"A244_VOLH_H","VOL_VCCY_1.95_IOL_4.00",24412310,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.55,"V",0.306253,0.313088,0.310887,0.00219336,36.339,47.2467,36.339,1,0,0,18.119,594.53
"A244_VOLH_H","VOH_VCCY_1.95_IOH_-4.00",24412320,"Parametric","AP54RHC244_TRUTH_TABLE",1.455,1.95,"V",1.63819,1.67101,1.65647,0.0109046,6.15867,6.15867,8.97256,1,0,0,8.472,594.53
"A244_VOLH_H","VOL_VCCY_2.30_IOL_4.00",24412330,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.54,"V",0.260795,0.267124,0.265154,0.00204701,43.1775,43.1775,44.7557,1,0,0,18.137,594.53
"A244_VOLH_H","VOH_VCCY_2.30_IOH_-4.00",24412340,"Parametric","AP54RHC244_TRUTH_TABLE",1.805,2.3,"V",2.03024,2.06136,2.04745,0.0103985,7.77197,7.77197,8.09565,1,0,0,8.979,594.53
"A244_VOLH_H","VOL_VCCY_3.00_IOL_4.00",24412350,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.34,"V",0.214313,0.22002,0.218262,0.00188817,21.4914,38.5316,21.4914,1,0,0,18.497,594.53
"A244_VOLH_H","VOH_VCCY_3.00_IOH_-4.00",24412360,"Parametric","AP54RHC244_TRUTH_TABLE",2.605,3,"V",2.77616,2.80592,2.79258,0.00996223,6.27638,6.27638,6.9402,1,0,0,8.959,594.53
"A244_VOLH_H","VOL_VCCY_4.50_IOL_4.00",24412370,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.36,"V",0.174033,0.179467,0.177859,0.0018451,32.1318,32.1318,32.9053,1,0,0,18.207,594.53
"A244_VOLH_H","VOH_VCCY_4.50_IOH_-4.00",24412380,"Parametric","AP54RHC244_TRUTH_TABLE",4.205,4.5,"V",4.31938,4.34724,4.33472,0.00936024,4.61942,4.61942,5.886,1,0,0,8.167,594.53
"A244_VOLH_H","VOL_VCCY_2.30_IOL_8.00",24412390,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.8,"V",0.565517,0.579931,0.575491,0.00486269,15.3899,39.4494,15.3899,1,0,0,7.56,594.53
"A244_VOLH_H","VOH_VCCY_2.30_IOH_-8.00",24412400,"Parametric","AP54RHC244_TRUTH_TABLE",1.405,2.3,"V",1.73394,1.80136,1.77098,0.0224688,5.42944,5.42944,7.84821,1,0,0,7.938,594.53
"A244_VOLH_H","VOL_VCCY_2.70_IOL_8.00",24412410,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.67,"V",0.482281,0.494781,0.490963,0.00424977,14.0429,38.509,14.0429,1,0,0,17.29,594.53
"A244_VOLH_H","VOH_VCCY_2.70_IOH_-8.00",24412420,"Parametric","AP54RHC244_TRUTH_TABLE",1.505,2.7,"V",2.20718,2.26953,2.24137,0.0208602,7.32867,11.7667,7.32867,1,0,0,8.327,594.53
"A244_VOLH_H","VOL_VCCY_3.00_IOL_8.00",24412430,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.67,"V",0.443594,0.45548,0.451877,0.00405349,17.9371,37.1595,17.9371,1,0,0,17.964,594.53
"A244_VOLH_H","VOH_VCCY_3.00_IOH_-8.00",24412440,"Parametric","AP54RHC244_TRUTH_TABLE",2.205,3,"V",2.54404,2.60452,2.57724,0.0202431,6.12947,6.12947,6.96139,1,0,0,8.322,594.53
"A244_VOLH_H","VOL_VCCY_4.50_IOL_8.00",24412450,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.51,"V",0.352507,0.36321,0.359999,0.00366253,13.6519,32.7642,13.6519,1,0,0,18.052,594.53
"A244_VOLH_H","VOH_VCCY_4.50_IOH_-8.00",24412460,"Parametric","AP54RHC244_TRUTH_TABLE",3.905,4.5,"V",4.13801,4.19505,4.16928,0.0191434,4.6017,4.6017,5.75872,1,0,0,8.151,594.53
"A244_VOLH_H","VOL_VCCY_3.00_IOL_16.00",24412470,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.395,"V",0.98448,1.01571,1.00675,0.0108088,11.9733,31.0474,11.9733,1,0,0,7.382,594.53
"A244_VOLH_H","VOH_VCCY_3.00_IOH_-16.00",24412480,"Parametric","AP54RHC244_TRUTH_TABLE",1.55,3,"V",2.02978,2.16986,2.10593,0.0466911,3.96885,3.96885,6.38288,1,0,0,7.78,594.53
"A244_VOLH_H","VOL_VCCY_3.60_IOL_16.00",24412490,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.13,"V",0.834054,0.85959,0.852191,0.0088436,10.4712,32.1208,10.4712,1,0,0,17.064,594.53
"A244_VOLH_H","VOH_VCCY_3.60_IOH_-16.00",24412500,"Parametric","AP54RHC244_TRUTH_TABLE",2.2,3.6,"V",2.75789,2.88488,2.82704,0.042452,4.92354,4.92354,6.06928,1,0,0,7.813,594.53
"A244_VOLH_H","VOL_VCCY_4.50_IOL_16.00",24412510,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.07,"V",0.727265,0.75021,0.743563,0.00798421,13.6285,31.0431,13.6285,1,0,0,17.818,594.53
"A244_VOLH_H","VOH_VCCY_4.50_IOH_-16.00",24412520,"Parametric","AP54RHC244_TRUTH_TABLE",3.35,4.5,"V",3.76356,3.883,3.82857,0.0400408,3.98401,3.98401,5.58956,1,0,0,8.187,594.53
"A244_VOLH_H","VOL_VCCY_4.50_IOL_24.00",24412530,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.475,"V",1.13826,1.17616,1.16515,0.0131393,7.86074,29.5587,7.86074,1,0,0,6.328,594.53
"A244_VOLH_H","VOH_VCCY_4.50_IOH_-24.00",24412540,"Parametric","AP54RHC244_TRUTH_TABLE",3.005,4.5,"V",3.3689,3.55792,3.47136,0.0632608,2.45734,2.45734,5.4201,1,0,0,8.243,594.53
"A244_VOLH_H","VOL_VCCY_5.50_IOL_24.00",24412550,"Parametric","AP54RHC244_TRUTH_TABLE",0,1.475,"V",1.02726,1.06211,1.05193,0.0120952,11.6595,28.9901,11.6595,1,0,0,17.393,594.53
"A244_VOLH_H","VOH_VCCY_5.50_IOH_-24.00",24412560,"Parametric","AP54RHC244_TRUTH_TABLE",4.005,5.5,"V",4.4826,4.66208,4.5801,0.0601576,3.18664,3.18664,5.09716,1,0,0,7.991,594.53
"A244_VOLH_H","VOL_VCCY_2.30_IOL_0.10",24412570,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.006375,0.006603,0.00652088,7.31074e-05,107.053,***,107.053,1,0,0,7.406,594.53
"A244_VOLH_H","VOH_VCCY_2.30_IOH_-0.10",24412580,"Parametric","AP54RHC244_TRUTH_TABLE",2.2,***,"V",2.2928,2.29348,2.29315,0.000227764,***,136.322,***,1,0,0,7.919,594.53
"A244_VOLH_H","VOL_VCCY_2.30_IOL_1.00",24412590,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.062863,0.064116,0.063738,0.000425565,20.5703,***,20.5703,1,0,0,5.776,594.53
"A244_VOLH_H","VOH_VCCY_2.30_IOH_-1.00",24412600,"Parametric","AP54RHC244_TRUTH_TABLE",2.15,***,"V",2.23409,2.24114,2.23793,0.00236557,***,12.3903,***,1,0,0,7.872,594.53
"A244_VOLH_H","VOL_VCCY_3.00_IOL_0.10",24412610,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.005458,0.005628,0.0055035,6.38077e-05,127.97,***,127.97,1,0,0,18.003,594.53
"A244_VOLH_H","VOH_VCCY_3.00_IOH_-0.10",24412620,"Parametric","AP54RHC244_TRUTH_TABLE",2.9,***,"V",2.99348,2.99417,2.9938,0.000226737,***,137.894,***,1,0,0,8.501,594.53
"A244_VOLH_H","VOL_VCCY_3.00_IOL_1.00",24412630,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.052793,0.054045,0.053648,0.000412875,29.3487,***,29.3487,1,0,0,6.3,594.53
"A244_VOLH_H","VOH_VCCY_3.00_IOH_-1.00",24412640,"Parametric","AP54RHC244_TRUTH_TABLE",2.85,***,"V",2.94421,2.95116,2.94795,0.002315,***,14.1031,***,1,0,0,8.097,594.53
"A244_VOLH_H","VOL_VCCY_4.50_IOL_0.10",24412650,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.03,"V",0.004495,0.004723,0.00462788,7.95298e-05,106.342,***,106.342,1,0,0,17.625,594.53
"A244_VOLH_H","VOH_VCCY_4.50_IOH_-0.10",24412660,"Parametric","AP54RHC244_TRUTH_TABLE",4.4,***,"V",4.49324,4.49397,4.49368,0.000252788,***,123.523,***,1,0,0,8.115,594.53
"A244_VOLH_H","VOL_VCCY_4.50_IOL_1.00",24412670,"Parametric","AP54RHC244_TRUTH_TABLE",***,0.09,"V",0.043405,0.044715,0.0443049,0.000445999,34.1519,***,34.1519,1,0,0,5.967,594.53
"A244_VOLH_H","VOH_VCCY_4.50_IOH_-1.00",24412680,"Parametric","AP54RHC244_TRUTH_TABLE",4.35,***,"V",4.45341,4.4604,4.45718,0.0023229,***,15.3802,***,1,0,0,7.96,594.53
"A244_VOLH_H","VOL_VCCY_1.40_IOL_1.00",24412702,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.135,"V",0.101152,0.102575,0.102092,0.000461346,23.7772,73.7635,23.7772,1,0,0,7.431,594.53
"A244_VOLH_H","VOH_VCCY_1.40_IOH_-1.00",24412704,"Parametric","AP54RHC244_TRUTH_TABLE",1.25,1.4,"V",1.29819,1.3057,1.30226,0.00250901,6.94233,6.94233,12.9858,1,0,0,7.947,594.53
