Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,90.72,94.241
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.219454,-0.218145,-0.218966,0.000360279,110.068,537.578,110.068,1,0,0,22.826,29.628
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.219454,-0.218145,-0.218969,0.000364734,108.726,531.009,108.726,1,0,0,11.584,17.121
"A244_OPENS_H","passLimit_uA_mV",24410020,"Parametric","",-0.8,-0.1,"V",-0.219454,-0.218202,-0.218972,0.000357006,111.083,542.501,111.083,1,0,0,11.965,17.652
"A244_SHORTS_H","passLimit_uA_mV",24410050,"Parametric","",-0.8,-0.1,"V",-0.219454,-0.218145,-0.218975,0.000347729,114.049,556.971,114.049,1,0,0,12.374,18.594
"A244_PRE_TEMP_H","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.541,15.839
"A244_PRE_TEMP_H","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.218843,-0.218843,-0.218843,0,***,***,***,1,0,0,5.756,15.839
"A244_IOFF_GND_H","passCurrentHigh_uA",24412150,"Parametric","",-0.2,0.9,"uA",0.092,0.13,0.100611,0.0112414,8.9138,8.9138,23.7037,1,0,0,91.583,93.596
"A244_PSHORTS_VCC_H","passCurrLimit_uA",24412180,"Parametric","",-0.01,0.01,"A",0.000128762,0.000128762,0.000128762,0,***,***,***,1,0,0,18.588,22.907
"A244_TRAFFIC_H","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,5.174,7.015
"A244_ICCH_VCC_H","passCurrLimit_uA",24412200,"Parametric","",1,140,"uA",112.119,112.119,112.119,0,***,***,***,1,0,0,29.397,33.509
"A244_ICCL_VCC_H","passCurrLimit_uA",24412220,"Parametric","",1,160,"uA",128.031,128.031,128.031,0,***,***,***,1,0,0,15.256,18.818
"A244_ICCX_VCC_H","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,42.337,46.952
"A244_VILH_H","VILH_VCC_5.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,21.324,64.173
"A244_VILH_H","VILH_VCC_4.5000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.092,64.173
"A244_VILH_H","VILH_VCC_3.6000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.648,64.173
"A244_VILH_H","VILH_VCC_3.0000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.185,64.173
"A244_VILH_H","VILH_VCC_2.7000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.767,64.173
"A244_VILH_H","VILH_VCC_2.3000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.288,64.173
"A244_VILH_H","VILH_VCC_1.9500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.114,64.173
"A244_VILH_H","VILH_VCC_1.6500",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,4.151,64.173
"A244_VILH_H","VILH_VCC_1.4000",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,5.685,64.173
"A244_VOLH_H","VOL_VCCY_1.40_IOL_0.10",24412710,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.009792,0.010009,0.00987212,7.1022e-05,46.3336,46.3336,94.4678,1,0,0,27.946,596.722
"A244_VOLH_H","VOH_VCCY_1.40_IOH_-0.10",24412712,"Parametric","AP54RHC244_TRUTH_TABLE",1.37,1.4,"V",1.38979,1.39047,1.3901,0.000224472,14.7039,29.845,14.7039,1,0,0,10.647,596.722
"A244_VOLH_H","VOL_VCCY_5.50_IOL_0.10",24412250,"Parametric","AP54RHC244_TRUTH_TABLE",0,0.03,"V",0.004211,0.004377,0.00430812,7.13851e-05,20.1168,20.1168,119.968,1,0,0,18.031,596.722
