Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,37.366,39.967
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.396306,-0.394911,-0.395576,0.000400032,246.294,336.993,246.294,1,0,0,20.279,25.644
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.396306,-0.394911,-0.395567,0.000404329,243.668,333.419,243.668,1,0,0,11.25,16.877
"A244_OPENS_C","passLimit_uA_mV",24410010,"Parametric","",-0.8,-0.1,"V",-0.396306,-0.394911,-0.395579,0.000409466,240.621,329.226,240.621,1,0,0,11.726,16.778
"A244_SHORTS_C","passLimit_uA_mV",24410040,"Parametric","",-0.8,-0.1,"V",-0.39642,-0.394911,-0.395608,0.000411315,239.563,327.723,239.563,1,0,0,11.455,17.794
"A244_PRE_TEMP_C","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.12,15.603
"A244_PRE_TEMP_C","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.395247,-0.395247,-0.395247,0,***,***,***,1,0,0,5.857,15.603
"A244_IOFF_GND_C","passCurrentHigh_uA",24411120,"Parametric","",-0.2,0.9,"uA",-0.001,0.017,0.00183333,0.004148,16.2193,16.2193,72.1767,1,0,0,91.288,93.849
"A244_PSHORTS_VCC_C","passCurrLimit_uA",24411150,"Parametric","",-0.01,0.01,"A",0.000108989,0.000108989,0.000108989,0,***,***,***,1,0,0,18.438,22.603
"A244_TRAFFIC_C","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,4.883,6.846
"A244_TRAFFIC_C_1","Functional",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,2.519,4.12
"A244_ICCH_VCC_C","passCurrLimit_uA",24411170,"Parametric","",1,120,"uA",93.9233,93.9233,93.9233,0,***,***,***,1,0,0,30.748,36.943
