Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log
1,"A244_DPS_CONNECT","dc_tml.DcTest.DpsConnectivity","DPS_ForceSense",***,"",0,1,"VCC_PIN20",1,"P1","","",***,"NA",0,"","NA",***,"P",89.866,92.66,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN1",1,"P1","","",-0.8,"<=",-0.399576,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN11",1,"P1","","",-0.8,"<=",-0.399133,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN12",1,"P1","","",-0.8,"<=",-0.399747,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN13",1,"P1","","",-0.8,"<=",-0.399588,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN14",1,"P1","","",-0.8,"<=",-0.399189,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN15",1,"P1","","",-0.8,"<=",-0.39994,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN16",1,"P1","","",-0.8,"<=",-0.400191,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN17",1,"P1","","",-0.8,"<=",-0.400031,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN18",1,"P1","","",-0.8,"<=",-0.400066,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN19",1,"P1","","",-0.8,"<=",-0.400464,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN2",1,"P1","","",-0.8,"<=",-0.400202,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN3",1,"P1","","",-0.8,"<=",-0.399576,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN4",1,"P1","","",-0.8,"<=",-0.399644,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN5",1,"P1","","",-0.8,"<=",-0.399678,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN6",1,"P1","","",-0.8,"<=",-0.399121,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN7",1,"P1","","",-0.8,"<=",-0.39936,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN8",1,"P1","","",-0.8,"<=",-0.39969,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_OPENS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410000,"",0,1,"PIN9",1,"P1","","",-0.8,"<=",-0.400088,"V","<=",-0.1,"P",20.284,25.97,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN1",1,"P1","","",-0.8,"<=",-0.399519,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN11",1,"P1","","",-0.8,"<=",-0.399246,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN12",1,"P1","","",-0.8,"<=",-0.399861,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN13",1,"P1","","",-0.8,"<=",-0.399702,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN14",1,"P1","","",-0.8,"<=",-0.399246,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN15",1,"P1","","",-0.8,"<=",-0.399997,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN16",1,"P1","","",-0.8,"<=",-0.400191,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN17",1,"P1","","",-0.8,"<=",-0.400031,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN18",1,"P1","","",-0.8,"<=",-0.400066,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN19",1,"P1","","",-0.8,"<=",-0.400521,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN2",1,"P1","","",-0.8,"<=",-0.400259,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN3",1,"P1","","",-0.8,"<=",-0.399633,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN4",1,"P1","","",-0.8,"<=",-0.399701,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN5",1,"P1","","",-0.8,"<=",-0.399678,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN6",1,"P1","","",-0.8,"<=",-0.399178,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN7",1,"P1","","",-0.8,"<=",-0.399417,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN8",1,"P1","","",-0.8,"<=",-0.39969,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_SHORTS","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410024,"",0,1,"PIN9",1,"P1","","",-0.8,"<=",-0.400145,"V","<=",-0.1,"P",10.848,14.813,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN1",1,"P1","","",-0.8,"<=",-0.399519,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN11",1,"P1","","",-0.8,"<=",-0.399189,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN12",1,"P1","","",-0.8,"<=",-0.399861,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN13",1,"P1","","",-0.8,"<=",-0.399588,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN14",1,"P1","","",-0.8,"<=",-0.399246,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN15",1,"P1","","",-0.8,"<=",-0.399884,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN16",1,"P1","","",-0.8,"<=",-0.400305,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN17",1,"P1","","",-0.8,"<=",-0.400031,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN18",1,"P1","","",-0.8,"<=",-0.400236,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN19",1,"P1","","",-0.8,"<=",-0.400521,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN2",1,"P1","","",-0.8,"<=",-0.400202,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN3",1,"P1","","",-0.8,"<=",-0.39969,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN4",1,"P1","","",-0.8,"<=",-0.399644,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN5",1,"P1","","",-0.8,"<=",-0.399678,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN6",1,"P1","","",-0.8,"<=",-0.399178,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN7",1,"P1","","",-0.8,"<=",-0.399474,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN8",1,"P1","","",-0.8,"<=",-0.399747,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_OPENS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410010,"",0,1,"PIN9",1,"P1","","",-0.8,"<=",-0.400259,"V","<=",-0.1,"P",11.851,17.977,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN1",1,"P1","","",-0.8,"<=",-0.399519,"V","<=",-0.1,"P",12.017,17.551,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN11",1,"P1","","",-0.8,"<=",-0.399246,"V","<=",-0.1,"P",12.017,17.551,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN12",1,"P1","","",-0.8,"<=",-0.399804,"V","<=",-0.1,"P",12.017,17.551,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN13",1,"P1","","",-0.8,"<=",-0.399645,"V","<=",-0.1,"P",12.017,17.551,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN14",1,"P1","","",-0.8,"<=",-0.399246,"V","<=",-0.1,"P",12.017,17.551,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN15",1,"P1","","",-0.8,"<=",-0.39994,"V","<=",-0.1,"P",12.017,17.551,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN16",1,"P1","","",-0.8,"<=",-0.400191,"V","<=",-0.1,"P",12.017,17.551,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN17",1,"P1","","",-0.8,"<=",-0.400031,"V","<=",-0.1,"P",12.017,17.551,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN18",1,"P1","","",-0.8,"<=",-0.400123,"V","<=",-0.1,"P",12.017,17.551,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN19",1,"P1","","",-0.8,"<=",-0.400464,"V","<=",-0.1,"P",12.017,17.551,""
1,"A244_SHORTS_C","dc_tml.DcTest.GeneralPMU","passLimit_uA_mV",24410040,"",0,1,"PIN2",1,"P1","","",-0.8,"<=",-0.400316,"V","<=",-0.1,"P",12.017,17.551,""
