Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,90.062,93.413
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.400009,-0.398666,-0.39927,0.000391755,254.641,340.97,254.641,1,0,0,22.324,29.923
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.400009,-0.398666,-0.399302,0.0003998,249.543,334.082,249.543,1,0,0,10.84,15.736
"A244_OPENS_C","passLimit_uA_mV",24410010,"Parametric","",-0.8,-0.1,"V",-0.400009,-0.398666,-0.399289,0.000384969,259.146,346.964,259.146,1,0,0,11.675,17.311
"A244_SHORTS_C","passLimit_uA_mV",24410040,"Parametric","",-0.8,-0.1,"V",-0.400066,-0.398723,-0.399314,0.000387423,257.526,344.744,257.526,1,0,0,12.375,18.913
"A244_PRE_TEMP_C","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.085,15.248
"A244_PRE_TEMP_C","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.398892,-0.398892,-0.398892,0,***,***,***,1,0,0,5.676,15.248
"A244_IOFF_GND_C","passCurrentHigh_uA",24411120,"Parametric","",-0.2,0.9,"uA",0,0.032,0.00372222,0.00772167,8.79439,8.79439,38.691,1,0,0,90.789,92.464
"A244_PSHORTS_VCC_C","passCurrLimit_uA",24411150,"Parametric","",-0.01,0.01,"A",0.000108716,0.000108716,0.000108716,0,***,***,***,1,0,0,18.563,22.899
"A244_TRAFFIC_C","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,5.066,6.977
"A244_TRAFFIC_C_1","Functional",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,2.147,3.406
"A244_ICCH_VCC_C","passCurrLimit_uA",24411170,"Parametric","",1,120,"uA",93.6267,93.6267,93.6267,0,***,***,***,1,0,0,29.905,34.963
"A244_ICCL_VCC_C","passCurrLimit_uA",24411190,"Parametric","",1,130,"uA",106.301,106.301,106.301,0,***,***,***,1,0,0,16.056,20.102
