Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,37.717,40.997
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.379333,-0.37791,-0.378745,0.000422109,220.12,332.659,220.12,1,0,0,21.176,26.355
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.379333,-0.37791,-0.37876,0.000428487,216.856,327.695,216.856,1,0,0,12.292,17.44
"A244_OPENS_C","passLimit_uA_mV",24410010,"Parametric","",-0.8,-0.1,"V",-0.379333,-0.377967,-0.378741,0.000421401,220.488,333.22,220.488,1,0,0,12.132,18.66
"A244_SHORTS_C","passLimit_uA_mV",24410040,"Parametric","",-0.8,-0.1,"V",-0.37939,-0.37791,-0.378757,0.000440565,210.909,318.714,210.909,1,0,0,12.197,18.75
"A244_PRE_TEMP_C","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,7.612,14.857
"A244_PRE_TEMP_C","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.378672,-0.378672,-0.378672,0,***,***,***,1,0,0,5.652,14.857
"A244_IOFF_GND_C","passCurrentHigh_uA",24411120,"Parametric","",-0.2,0.9,"uA",-0.001,0.018,0.00305556,0.00524093,12.9147,12.9147,57.0474,1,0,0,92.922,95.053
"A244_PSHORTS_VCC_C","passCurrLimit_uA",24411150,"Parametric","",-0.01,0.01,"A",0.000114174,0.000114174,0.000114174,0,***,***,***,1,0,0,18.857,24.406
"A244_TRAFFIC_C","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,5.357,7.268
"A244_TRAFFIC_C_1","Functional",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,2.661,4.264
"A244_ICCH_VCC_C","passCurrLimit_uA",24411170,"Parametric","",1,120,"uA",97.3404,97.3404,97.3404,0,***,***,***,1,0,0,30.441,35.945
"A244_ICCL_VCC_C","passCurrLimit_uA",24411190,"Parametric","",1,130,"uA",110.269,110.269,110.269,0,***,***,***,1,0,0,16.797,20.844
