Test Suite,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cpk,Cpl,Cpu,Device#,Fail#,Alarm#,Time,TS Time
"A244_DPS_CONNECT","DPS_ForceSense",***,"Parametric","",***,***,"",0,0,0,0,***,***,***,1,0,0,90.988,95.11
"A244_OPENS","passLimit_uA_mV",24410000,"Parametric","",-0.8,-0.1,"V",-0.39862,-0.397198,-0.398018,0.000418052,237.624,320.521,237.624,1,0,0,26.934,35.401
"A244_SHORTS","passLimit_uA_mV",24410024,"Parametric","",-0.8,-0.1,"V",-0.398677,-0.397198,-0.39803,0.000441066,225.235,303.787,225.235,1,0,0,13.953,22.043
"A244_OPENS_C","passLimit_uA_mV",24410010,"Parametric","",-0.8,-0.1,"V",-0.398734,-0.397198,-0.398049,0.000444718,223.399,301.278,223.399,1,0,0,12.558,21.215
"A244_SHORTS_C","passLimit_uA_mV",24410040,"Parametric","",-0.8,-0.1,"V",-0.398734,-0.397255,-0.398049,0.000429499,231.315,311.953,231.315,1,0,0,13.4,19.531
"A244_PRE_TEMP_C","TEMP_OK",***,"Parametric","",0.5,1.5,"UI",1,1,1,0,***,***,***,1,0,0,8.041,15.188
"A244_PRE_TEMP_C","TEMP_raw_V",***,"Parametric","",-2,2,"V",-0.397867,-0.397867,-0.397867,0,***,***,***,1,0,0,5.759,15.188
"A244_IOFF_GND_C","passCurrentHigh_uA",24411120,"Parametric","",-0.2,0.9,"uA",0,0.03,0.0118333,0.0092498,7.6338,7.6338,32.0067,1,0,0,92.403,94.474
"A244_PSHORTS_VCC_C","passCurrLimit_uA",24411150,"Parametric","",-0.01,0.01,"A",0.000111445,0.000111445,0.000111445,0,***,***,***,1,0,0,19.777,26.279
"A244_TRAFFIC_C","Functional",***,"Functional","AP54RHC244_TRUTH_TABLE",***,***,"",***,***,***,***,***,***,***,1,0,0,5.027,6.356
"A244_TRAFFIC_C_1","Functional",***,"Functional","AP54RHC244_VILH",***,***,"",***,***,***,***,***,***,***,1,0,0,2.6,4.18
"A244_ICCH_VCC_C","passCurrLimit_uA",24411170,"Parametric","",1,120,"uA",95.4189,95.4189,95.4189,0,***,***,***,1,0,0,30.639,35.862
"A244_ICCL_VCC_C","passCurrLimit_uA",24411190,"Parametric","",1,130,"uA",108.362,108.362,108.362,0,***,***,***,1,0,0,16.196,20.466
"A244_ICCX_VCC_C","passCurrLimit_uA",***,"Parametric","AP54RHC244_ENABLE_HIGH_FOR_ICCX",***,***,"",-9.9999e+10,-9.9999e+10,-9.9999e+10,0,***,***,***,1,0,0,41.27,45.022
