Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"462","","",-500,"<=",-360.648,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"462","","",-500,"<=",-425.013,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"462","","",-500,"<=",-360.424,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"462","","",-500,"<=",-347.38,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"462","","",-500,"<=",-362.008,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"462","","",-500,"<=",-356.715,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"462","","",-500,"<=",-459.858,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"462","","",-500,"<=",-299.458,"mV","<=",-200,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"462","","",-500,"<=",-343.567,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"462","","",-360,"<=",-323.881,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"462","","",-360,"<=",-330.999,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"462","","",-360,"<=",-332.972,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"462","","",-360,"<=",-332.428,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"462","","",-360,"<=",-332.531,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"462","","",-360,"<=",-332.623,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"462","","",-360,"<=",-332.552,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"462","","",-360,"<=",-332.64,"mV","<=",-300,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"462","","",-300,"<=",-224.749,"mV","<=",-200,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"462","","",-300,"<=",-224.724,"mV","<=",-200,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"462","","",-300,"<=",-224.691,"mV","<=",-200,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"462","","",-300,"<=",-224.903,"mV","<=",-200,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"462","","",-300,"<=",-224.709,"mV","<=",-200,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"462","","",-300,"<=",-224.627,"mV","<=",-200,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"462","","",-300,"<=",-224.628,"mV","<=",-200,"P",0.399097,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"462","","",-300,"<=",-224.689,"mV","<=",-200,"P",0.399097,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"462","","",-200,"<=",-7.51819,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,"462","","",-200,"<=",-7.51819,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"462","","",-200,"<=",-11.8444,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"",0,1,"ITRIP_PS1600",1,"462","","",-200,"<=",-11.8444,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"",0,1,"OFF_PS1600",1,"462","","",-200,"<=",-9.93932,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"",0,1,"OFF_PS1600",1,"462","","",-200,"<=",-9.93932,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"",0,1,"SS_PS1600",1,"462","","",-200,"<=",-11.6139,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"",0,1,"SS_PS1600",1,"462","","",-200,"<=",-11.6139,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"",0,1,"VIN1",1,"462","","",10,"<=",299.849,"nA","<=",500,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"",0,1,"VIN1",1,"462","","",-500,"<=",-301.145,"nA","<=",-10,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"",0,1,"VOUT1",1,"462","","",10,"<=",301.796,"nA","<=",500,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"",0,1,"VOUT1",1,"462","","",-500,"<=",-300.042,"nA","<=",-10,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"",0,1,"EN0_PS1600",1,"462","","",300,"<=",553.664,"nA","<=",700,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"",0,1,"EN0_PS1600",1,"462","","",-700,"<=",-563.654,"nA","<=",-300,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"",0,1,"FCB_PS1600",1,"462","","",-200,"<=",-0.222989,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"",0,1,"FCB_PS1600",1,"462","","",-200,"<=",-8.22262,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"",0,1,"ISEN_PS1600",1,"462","","",-200,"<=",0.208946,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"",0,1,"ISEN_PS1600",1,"462","","",-200,"<=",-11.6544,"nA","<=",200,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"",0,1,"VBIAS_PS1600",1,"462","","",500,"<=",820,"nA","<=",1000,"P",0.558459,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"",0,1,"VBIAS_PS1600",1,"462","","",-1000,"<=",-850,"nA","<=",-500,"P",0.558459,***,"",
1,"IVDDFL_IVINFL_RONFL","","RON_200mAVDD_5_VIN_5_20V_Part",90050,"",0,1,"VIN1",1,"462","","",0.01,"<=",0.0343343,"ohm","<=",0.03,"F",0.122277,***,"",
1,"IVDDFL_IVINFL_RONFL","","DEVICE_VARIENT_TRUE",90060,"",0,1,"VIN1",1,"462","","",0.5,"<=",0,"","<=",1.5,"F",0.122277,***,"",
2,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",2,"462","","",-500,"<=",-360.591,"mV","<=",-300,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",2,"462","","",-500,"<=",-425.582,"mV","<=",-300,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",2,"462","","",-500,"<=",-360.31,"mV","<=",-300,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",2,"462","","",-500,"<=",-347.267,"mV","<=",-300,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",2,"462","","",-500,"<=",-362.008,"mV","<=",-300,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",2,"462","","",-500,"<=",-356.658,"mV","<=",-300,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",2,"462","","",-500,"<=",-459.403,"mV","<=",-300,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",2,"462","","",-500,"<=",-299.515,"mV","<=",-200,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",2,"462","","",-500,"<=",-332.981,"mV","<=",-300,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",2,"462","","",-360,"<=",-331.73,"mV","<=",-300,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",2,"462","","",-360,"<=",-331.022,"mV","<=",-300,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",2,"462","","",-360,"<=",-332.96,"mV","<=",-300,"P",0.399097,***,"",
2,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",2,"462","","",-360,"<=",-332.619,"mV","<=",-300,"P",0.399097,***,"",
