Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-376.805,-357.064,-363.777,8.84542,3.76843,2.4034,5.13346,2.4034,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-437.307,-412.15,-425.013,10.278,3.24317,2.43195,2.43195,4.05438,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-376.304,-357.408,-363.612,8.57604,3.8868,2.47246,5.30114,2.47246,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-363.431,-343.226,-350.326,8.94766,3.72537,1.87482,5.57592,1.87482,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-378.399,-358.82,-365.309,8.85542,3.76417,2.45833,5.07001,2.45833,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-369.35,-352.161,-358.721,7.40008,4.50445,2.64505,6.36386,2.64505,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-470.673,-443.239,-458.293,11.3074,2.94792,1.22948,1.22948,4.66635,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-299.515,-294.62,-298.021,2.31536,21.5949,14.1116,29.0782,14.1116,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-343.567,-332.81,-335.684,5.26059,6.33642,2.26111,10.4117,2.26111,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-340.586,-323.881,-332.241,6.83276,1.46354,1.35421,1.35421,1.57287,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-341.257,-330.999,-334.068,4.88291,2.04796,1.77023,1.77023,2.32568,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-341.328,-332.96,-335.147,4.12405,2.4248,2.00879,2.00879,2.84081,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-341.427,-332.428,-334.909,4.35613,2.29562,1.91994,1.91994,2.67129,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-341.65,-332.531,-334.952,4.47206,2.23611,1.86701,1.86701,2.6052,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-341.581,-332.623,-334.972,4.40814,2.26853,1.89253,1.89253,2.64453,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-341.619,-332.552,-334.913,4.47332,2.23548,1.86936,1.86936,2.60159,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-341.85,-332.108,-334.891,4.65309,2.14911,1.79874,1.79874,2.49947,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-225.279,-224.741,-224.888,0.261055,63.8434,31.7791,95.9077,31.7791,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-225.41,-224.724,-224.946,0.323184,51.5703,25.7295,77.4111,25.7295,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-225.546,-224.483,-224.871,0.465248,35.8232,17.8193,53.8271,17.8193,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-225.449,-224.583,-224.901,0.38918,42.8251,21.3279,64.3222,21.3279,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-225.414,-224.659,-224.867,0.365502,45.5994,22.6783,68.5206,22.6783,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-225.449,-224.627,-224.9,0.384561,43.3395,21.5829,65.0961,21.5829,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10160,"Parametric","",-300,-200,"mV",-225.698,-224.55,-224.895,0.539258,30.9067,15.3884,46.4249,15.3884,4,4,100,0,0,0,0.399097,***
"CONTINUITY","","CONTINUITY",10170,"Parametric","",-300,-200,"mV",-225.363,-224.577,-224.855,0.349617,47.6712,23.6973,71.6451,23.6973,4,4,100,0,0,0,0.399097,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"Parametric","",-200,200,"nA",-9.24472,-4.62372,-7.31507,1.94252,34.3196,33.0643,33.0643,35.5749,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"Parametric","",-200,200,"nA",-9.24472,-4.62372,-7.31507,1.94252,34.3196,33.0643,33.0643,35.5749,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"Parametric","",-200,200,"nA",-11.9461,-9.30275,-11.209,1.27353,52.348,49.4141,49.4141,55.2818,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20120,"Parametric","",-200,200,"nA",-11.9461,-9.30275,-11.209,1.27353,52.348,49.4141,49.4141,55.2818,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20030,"Parametric","",-200,200,"nA",-12.0888,-6.86864,-9.77299,2.16057,30.856,29.3483,29.3483,32.3638,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20130,"Parametric","",-200,200,"nA",-12.0888,-6.86864,-9.77299,2.16057,30.856,29.3483,29.3483,32.3638,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20040,"Parametric","",-200,200,"nA",-11.6139,-9.16236,-10.6946,1.08185,61.623,58.3278,58.3278,64.9182,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20140,"Parametric","",-200,200,"nA",-11.6139,-9.16236,-10.6946,1.08185,61.623,58.3278,58.3278,64.9182,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20050,"Parametric","",10,500,"nA",297.739,301.97,299.947,1.73742,47.0046,38.3813,55.6279,38.3813,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20150,"Parametric","",-500,-10,"nA",-301.949,-299.744,-300.782,0.96821,84.3481,68.5865,68.5865,100.11,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20060,"Parametric","",10,500,"nA",298.172,301.796,299.639,1.64143,49.7535,40.6883,58.8186,40.6883,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20160,"Parametric","",-500,-10,"nA",-303.64,-298.267,-300.444,2.2728,35.9323,29.2673,29.2673,42.5972,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20070,"Parametric","",300,700,"nA",509.822,554.536,542.883,22.0452,3.02408,2.37568,3.67249,2.37568,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20170,"Parametric","",-700,-300,"nA",-563.654,-520.942,-552.424,21.0105,3.17301,2.3413,2.3413,4.00472,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20080,"Parametric","",-200,200,"nA",-1.23638,-0.222989,-0.653679,0.42292,157.634,157.119,157.119,158.149,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20180,"Parametric","",-200,200,"nA",-8.22262,-3.91572,-6.68987,1.90595,34.9782,33.8082,33.8082,36.1482,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20090,"Parametric","",-200,200,"nA",-0.660652,0.208946,-0.3921,0.412143,161.756,161.439,161.439,162.073,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20190,"Parametric","",-200,200,"nA",-14.1609,-7.30642,-11.2963,2.87762,23.1673,21.8588,21.8588,24.4758,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN_VBIAS_PS1600",20100,"Parametric","",500,1000,"nA",730,842,802.25,49.4394,1.68557,1.33328,2.03785,1.33328,4,4,100,0,0,0,0.558459,***
"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN_VBIAS_PS1600",20200,"Parametric","",-1000,-500,"nA",-889,-814,-852.25,30.7287,2.71191,1.60274,1.60274,3.82108,4,4,100,0,0,0,0.558459,***
"IVDDFL_IVINFL_RONFL","","RON_200mAVDD_5_VIN_5_20V_Part",90050,"Parametric","",0.01,0.03,"ohm",0.0232359,0.0343611,0.0288747,0.00632108,0.527336,0.0593398,0.995333,0.0593398,4,2,50,2,50,0,0.122277,***
"IVDDFL_IVINFL_RONFL","","DEVICE_VARIENT_TRUE",90060,"Parametric","",0.5,1.5,"",0,1,0.5,0.57735,0.288675,0,0,0.57735,4,2,50,2,50,0,0.122277,***
