Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"2010","","",-500,"<=",-374.529,"mV","<=",-300,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"2010","","",-500,"<=",-431.558,"mV","<=",-300,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"2010","","",-500,"<=",-374.255,"mV","<=",-300,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"2010","","",-500,"<=",-361.837,"mV","<=",-300,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"2010","","",-500,"<=",-376.692,"mV","<=",-300,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"2010","","",-500,"<=",-367.13,"mV","<=",-300,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"2010","","",-500,"<=",-461.85,"mV","<=",-300,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"2010","","",-500,"<=",-299.799,"mV","<=",-200,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"2010","","",-500,"<=",-336.396,"mV","<=",-300,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"2010","","",-360,"<=",-341.816,"mV","<=",-300,"P",0.301328,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"2010","","",0,"<=",0.0762944,"ohm","<=",20,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"2010","","",-360,"<=",-341.759,"mV","<=",-300,"P",0.301328,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"2010","","",0,"<=",0.347561,"ohm","<=",20,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"2010","","",-360,"<=",-342.146,"mV","<=",-300,"P",0.301328,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"2010","","",0,"<=",0.120799,"ohm","<=",20,"P",0.301328,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"2010","","",-360,"<=",-342.073,"mV","<=",-300,"P",0.301328,***,"",
