Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-374.529,-368.67,-371.649,2.06039,16.1782,11.5915,20.7648,11.5915,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-431.558,-419.094,-424.65,4.29604,7.75908,5.84645,5.84645,9.67171,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-374.255,-368.165,-371.573,2.05115,16.2511,11.6314,20.8708,11.6314,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-361.837,-357.284,-359.354,1.76947,18.838,11.1811,26.4949,11.1811,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-376.692,-372.025,-374.266,1.72818,19.2881,14.3244,24.2517,14.3244,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-367.13,-361.325,-364.519,1.99156,16.7373,10.7987,22.6758,10.7987,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-461.85,-449.101,-452.993,5.30738,6.28056,2.95232,2.95232,9.6088,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-301.279,-296.953,-299.315,1.5584,32.0841,21.243,42.9253,21.243,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-336.396,-334.29,-334.781,0.697024,47.8223,16.633,79.0117,16.633,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-346.861,-341.322,-344.828,2.1431,4.66615,2.35981,2.35981,6.97249,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0762944,0.311533,0.200272,0.0799325,41.7018,0.835169,0.835169,82.5685,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-347.183,-341.547,-345.149,2.30839,4.33203,2.14449,2.14449,6.51957,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.347561,0.775656,0.602139,0.124734,26.7235,1.60913,1.60913,51.8379,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-347.044,-341.311,-345.076,2.26186,4.42114,2.19936,2.19936,6.64292,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.120799,0.650618,0.385708,0.180834,18.4332,0.710982,0.710982,36.1553,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-347.088,-341.089,-345.133,2.34774,4.25941,2.11081,2.11081,6.408,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.0148344,0.826518,0.455379,0.29125,11.4449,0.521178,0.521178,22.3687,8,8,100,0,0,0,0.301328,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-347.027,-341.536,-345.083,2.25133,4.44181,2.20869,2.20869,6.67494,8,8,100,0,0,0,0.301328,***
