Device,Device ID,Wafer,Site,P/F,Time
1,"2029",0,1,0,120554
2,"2029",0,1,1,31069
3,"1648",0,1,0,745540
4,"1648",0,1,1,31083
5,"1629",0,1,0,94090
6,"1629",0,1,1,31153
7,"1610",0,1,1,62063
8,"1591",0,1,0,74705
9,"1591",0,1,0,31143
10,"1591",0,1,0,31063
11,"1572",0,1,1,57568
12,"1553",0,1,1,57809
13,"2106",0,1,1,57941
14,"2087",0,1,0,57596
15,"2087",0,1,1,31074
16,"2068",0,1,1,57915
17,"2049",0,1,1,57972
18,"2080",0,1,1,57778
19,"2011",0,1,1,57403
20,"1840",0,1,1,57979
21,"1821",0,1,1,57986
22,"1802",0,1,1,57740
23,"1783",0,1,1,58070
24,"1764",0,1,0,58183
25,"1764",0,1,1,31106
26,"1745",0,1,1,57423
27,"1726",0,1,1,57971
28,"1707",0,1,0,58190
29,"1707",0,1,0,31081
30,"1707",0,1,0,31076
31,"1992",0,1,1,57705
32,"2024",0,1,1,57464
33,"1954",0,1,1,58040
34,"1935",0,1,1,57766
35,"1916",0,1,1,57957
36,"1897",0,1,1,57899
37,"1878",0,1,1,57863
38,"1859",0,1,1,57942
39,"1536",0,1,0,58569
40,"1536",0,1,1,31195
41,"1651",0,1,1,58327
42,"1632",0,1,1,58709
43,"1613",0,1,1,58365
44,"1594",0,1,0,58261
45,"1594",0,1,1,31176
46,"1575",0,1,0,58270
47,"1575",0,1,0,31153
48,"1575",0,1,0,31186
49,"1556",0,1,0,4522
50,"1556",0,1,0,4519
51,"1556",0,1,0,4524
52,"1537",0,1,1,58850
53,"1803",0,1,1,58302
54,"1784",0,1,0,58187
55,"1784",0,1,1,31222
56,"1765",0,1,1,58686
57,"1746",0,1,1,58140
58,"1727",0,1,1,58473
59,"1708",0,1,0,57989
60,"1708",0,1,1,31236
61,"1689",0,1,1,58172
62,"1670",0,1,1,57734
63,"1955",0,1,1,58425
64,"1936",0,1,1,58873
