Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"2029","","",-500,"<=",-372.424,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"2029","","",-500,"<=",-425.81,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"2029","","",-500,"<=",-371.978,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"2029","","",-500,"<=",-360.699,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"2029","","",-500,"<=",-374.757,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"2029","","",-500,"<=",-365.138,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"2029","","",-500,"<=",-456.956,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"2029","","",-500,"<=",-295.986,"mV","<=",-200,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"2029","","",-500,"<=",-346.641,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"2029","","",-360,"<=",-342.497,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"2029","","",0,"<=",0.370873,"ohm","<=",20,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"2029","","",-360,"<=",-342.19,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"2029","","",0,"<=",0.565847,"ohm","<=",20,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"2029","","",-360,"<=",-342.329,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"2029","","",0,"<=",0.737508,"ohm","<=",20,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"2029","","",-360,"<=",-342.451,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",0,1,"VIN4_RS1",1,"2029","","",0,"<=",0.514984,"ohm","<=",20,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"2029","","",-360,"<=",-342.068,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",0,1,"VIN4_RS2",1,"2029","","",0,"<=",0.14411,"ohm","<=",20,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"2029","","",-360,"<=",-342.348,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",0,1,"VIN5_RS1",1,"2029","","",0,"<=",0.887977,"ohm","<=",20,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"2029","","",-360,"<=",-342.026,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",0,1,"VIN5_RS2",1,"2029","","",0,"<=",0.250074,"ohm","<=",20,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"2029","","",-360,"<=",-342.06,"mV","<=",-300,"P",0.285436,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",0,1,"VIN6",1,"2029","","",0,"<=",0.671811,"ohm","<=",20,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"2029","","",-300,"<=",-225.733,"mV","<=",-200,"P",0.285436,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",0,1,"VOUT1",1,"2029","","",0,"<=",0.320011,"ohm","<=",20,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"2029","","",-300,"<=",-225.817,"mV","<=",-200,"P",0.285436,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",0,1,"VOUT2_RS1",1,"2029","","",0,"<=",0.0529822,"ohm","<=",20,"P",0.285436,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"2029","","",-300,"<=",-225.903,"mV","<=",-200,"P",0.285436,***,"",
