Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-375.269,-364.687,-370.457,2.25152,14.8048,10.4311,19.1786,10.4311,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-432.355,-415.622,-423.62,3.95099,8.4367,6.44399,6.44399,10.4294,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-374.54,-365.547,-370.361,2.06157,16.1689,11.3766,20.9613,11.3766,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-360.699,-348.462,-357.287,2.84671,11.7094,6.70801,16.7108,6.70801,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-376.237,-363.886,-372.144,2.75198,12.1125,8.73843,15.4865,8.73843,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-367.87,-358.479,-363.371,2.17852,15.3009,9.69632,20.9054,9.69632,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-463.956,-432.652,-448.527,6.53985,5.09696,2.62358,2.62358,7.57033,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-300.994,-289.384,-296.043,3.78105,13.2239,8.46703,17.9807,8.46703,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-346.641,-335.314,-337.123,1.29595,25.7212,9.54853,41.8939,9.54853,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-347.633,-333.639,-342.05,3.52131,2.83985,1.69921,1.69921,3.9805,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.00211889,4.0902,0.353058,0.518949,6.42324,0.226778,0.226778,12.6197,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-347.366,-333.672,-342.29,3.47679,2.87621,1.69793,1.69793,4.0545,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.0339078,1.04056,0.55184,0.230135,14.4842,0.799298,0.799298,28.1692,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-347.433,-333.244,-342.34,3.51656,2.84369,1.674,1.674,4.01338,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.0466244,1.2419,0.590351,0.244869,13.6127,0.803628,0.803628,26.4218,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-346.956,-333.805,-342.37,3.43589,2.91045,1.71033,1.71033,4.11058,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.0317889,1.00878,0.560217,0.216458,15.3995,0.862706,0.862706,29.9362,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-346.895,-333.933,-342.269,3.43689,2.90961,1.71967,1.71967,4.09954,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.0105967,0.832876,0.295175,0.222752,14.9643,0.44171,0.44171,29.4869,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-347.702,-333.929,-342.415,3.42921,2.91613,1.70932,1.70932,4.12293,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.0190733,1.19739,0.613365,0.273314,12.196,0.748058,0.748058,23.6439,64,64,100,0,0,0,0.285436,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-347.504,-333.967,-342.203,3.45116,2.89757,1.71896,1.71896,4.07618,64,64,100,0,0,0,0.285436,***
