Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"300","","",-500,"<=",-357.406,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"300","","",-500,"<=",-416.988,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"300","","",-500,"<=",-358.432,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"300","","",-500,"<=",-343.567,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"300","","",-500,"<=",-360.3,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"300","","",-500,"<=",-353.015,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"300","","",-500,"<=",-441.019,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"300","","",-500,"<=",-300.084,"mV","<=",-200,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"300","","",-500,"<=",-339.583,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"300","","",-360,"<=",-343.706,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"300","","",-360,"<=",-344.341,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"300","","",-360,"<=",-344.658,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"300","","",-360,"<=",-344.633,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"300","","",-360,"<=",-344.727,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"300","","",-360,"<=",-344.595,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"300","","",-360,"<=",-344.156,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"300","","",-360,"<=",-344.524,"mV","<=",-300,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"300","","",-300,"<=",-225.527,"mV","<=",-200,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"300","","",-300,"<=",-225.452,"mV","<=",-200,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"300","","",-300,"<=",-225.584,"mV","<=",-200,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"300","","",-300,"<=",-225.5,"mV","<=",-200,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"300","","",-300,"<=",-225.563,"mV","<=",-200,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"300","","",-300,"<=",-225.412,"mV","<=",-200,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"300","","",-300,"<=",-225.426,"mV","<=",-200,"P",0.132674,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"300","","",-300,"<=",-225.42,"mV","<=",-200,"P",0.132674,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20010,"",0,1,"FAULTB_PS1600",1,"300","","",-200,"<=",-8.12756,"nA","<=",200,"P",0.416713,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_NEG_LEAKAGE_PIN",20110,"",0,1,"FAULTB_PS1600",1,"300","","",-200,"<=",-8.12756,"nA","<=",200,"P",0.416713,***,"",
1,"Pin_to_Pin_Leakage","","PIN_TO_PIN_POS_LEAKAGE_PIN",20020,"",0,1,"ITRIP_PS1600",1,"300","","",-200,"<=",-11.8952,"nA","<=",200,"P",0.416713,***,"",
