Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-374.245,-360.705,-367.005,4.07933,8.17127,5.47513,10.8674,5.47513,15,15,100,0,0,0,0.132108,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-433.493,-415.736,-422.327,4.95431,6.72815,5.22598,5.22598,8.23032,15,15,100,0,0,0,0.132108,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-374.654,-360.937,-367.156,4.06592,8.19824,5.50558,10.8909,5.50558,15,15,100,0,0,0,0.132108,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-360.243,-346.071,-353.284,4.39237,7.58891,4.04371,11.1341,4.04371,15,15,100,0,0,0,0.132108,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-375.554,-361.609,-368.686,4.33277,7.69331,5.28421,10.1024,5.28421,15,15,100,0,0,0,0.132108,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-368.667,-356.088,-361.374,3.5693,9.3389,5.73166,12.9461,5.73166,15,15,100,0,0,0,0.132108,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-460.94,-443.865,-450.236,5.05489,6.59427,3.2816,3.2816,9.90694,15,15,100,0,0,0,0.132108,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-300.653,-294.734,-297.526,2.08294,24.0045,15.6072,32.4019,15.6072,15,15,100,0,0,0,0.132108,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-340.323,-336.851,-337.944,0.793091,42.0296,15.9477,68.1116,15.9477,15,15,100,0,0,0,0.132108,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-345.051,-336.748,-341.883,2.5795,3.87673,2.34114,2.34114,5.41231,15,15,100,0,0,0,0.132108,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-345.865,-337.368,-342.6,2.59664,3.85113,2.2337,2.2337,5.46855,15,15,100,0,0,0,0.132108,***
