Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"564","","",-500,"<=",-356.552,"mV","<=",-300,"P",0.427896,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"564","","",-500,"<=",-412.15,"mV","<=",-300,"P",0.427896,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"564","","",-500,"<=",-356.895,"mV","<=",-300,"P",0.427896,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"564","","",-500,"<=",-342.713,"mV","<=",-300,"P",0.427896,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"564","","",-500,"<=",-359.39,"mV","<=",-300,"P",0.427896,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"564","","",-500,"<=",-351.934,"mV","<=",-300,"P",0.427896,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"564","","",-500,"<=",-439.937,"mV","<=",-300,"P",0.427896,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"564","","",-500,"<=",-299.515,"mV","<=",-200,"P",0.427896,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"564","","",-500,"<=",-345.502,"mV","<=",-300,"P",0.427896,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"564","","",-360,"<=",-340.414,"mV","<=",-300,"P",0.427896,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"564","","",0,"<=",0.0847711,"ohm","<=",20,"P",0.427896,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"564","","",-360,"<=",-340.441,"mV","<=",-300,"P",0.427896,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"564","","",0,"<=",0.659096,"ohm","<=",20,"P",0.427896,***,"",
