Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-370.092,-356.552,-365.126,4.84516,6.87972,4.4805,9.27894,4.4805,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-419.948,-412.15,-416.817,3.43793,9.69576,8.0652,8.0652,11.3263,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-370.556,-356.895,-365.474,4.88689,6.82097,4.46594,9.176,4.46594,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-357.796,-342.713,-352.706,5.30606,6.28213,3.31106,9.25319,3.31106,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-373.163,-359.39,-368.098,4.93591,6.75323,4.59879,8.90767,4.59879,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-363.658,-351.934,-359.113,4.17381,7.98631,4.72096,11.2517,4.72096,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-451.605,-438.287,-444.133,5.46934,6.09458,3.40486,3.40486,8.7843,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-299.856,-290.01,-297.523,3.44358,14.5198,9.44003,19.5995,9.44003,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-345.502,-336.68,-338.111,3.262,10.2187,3.89448,16.5429,3.89448,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-345.385,-339.224,-343.249,2.65634,3.76457,2.10199,2.10199,5.42716,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.0635789,0.49591,0.266726,0.162054,20.5693,0.548638,0.548638,40.59,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-345.881,-339.71,-343.724,2.72705,3.66696,1.9895,1.9895,5.34442,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.226762,0.737508,0.495911,0.176474,18.8886,0.936704,0.936704,36.8404,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-345.858,-339.581,-343.528,2.61744,3.82053,2.0977,2.0977,5.54336,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.23312,0.756581,0.522855,0.193864,17.1942,0.899009,0.899009,33.4894,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-346.056,-339.586,-343.657,2.71229,3.68692,2.00853,2.00853,5.3653,7,7,100,0,0,0,0.427896,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.303057,0.968509,0.604902,0.255,13.0719,0.790721,0.790721,25.353,7,7,100,0,0,0,0.427896,***
