Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"564","","",-500,"<=",-356.666,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"564","","",-500,"<=",-412.435,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"564","","",-500,"<=",-357.123,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"564","","",-500,"<=",-342.827,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"564","","",-500,"<=",-359.503,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"564","","",-500,"<=",-352.047,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"564","","",-500,"<=",-440.165,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"564","","",-500,"<=",-299.628,"mV","<=",-200,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"564","","",-500,"<=",-337.363,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"564","","",-360,"<=",-340.467,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"564","","",0,"<=",0.421736,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"564","","",-360,"<=",-340.584,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"564","","",0,"<=",0.485314,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"564","","",-360,"<=",-340.549,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"564","","",0,"<=",0.0847711,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"564","","",-360,"<=",-340.624,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",0,1,"VIN4_RS1",1,"564","","",0,"<=",0.805326,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"564","","",-360,"<=",-340.437,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",0,1,"VIN4_RS2",1,"564","","",0,"<=",0.32213,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"564","","",-360,"<=",-340.395,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",0,1,"VIN5_RS1",1,"564","","",0,"<=",0.659094,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"564","","",-360,"<=",-340.147,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",0,1,"VIN5_RS2",1,"564","","",0,"<=",0.368753,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"564","","",-360,"<=",-340.324,"mV","<=",-300,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",0,1,"VIN6",1,"564","","",0,"<=",0.597636,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"564","","",-300,"<=",-222.645,"mV","<=",-200,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",0,1,"VOUT1",1,"564","","",0,"<=",0.419617,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"564","","",-300,"<=",-222.797,"mV","<=",-200,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",0,1,"VOUT2_RS1",1,"564","","",0,"<=",0.0423856,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"564","","",-300,"<=",-222.738,"mV","<=",-200,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",0,1,"VOUT2_RS2",1,"564","","",0,"<=",0.682407,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"564","","",-300,"<=",-222.805,"mV","<=",-200,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",0,1,"VOUT3_RS1",1,"564","","",0,"<=",1.03421,"ohm","<=",20,"P",0.518987,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"564","","",-300,"<=",-222.748,"mV","<=",-200,"P",0.518987,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",0,1,"VOUT3_RS2",1,"564","","",0,"<=",0.557369,"ohm","<=",20,"P",0.518987,***,"",
