Test Suite,Test Method,Test,Test#,Type,Pattern,Lower,Upper,Unit,Min,Max,Mean,Sdev,Cp,Cpk,Cpl,Cpu,Device#,Pass#,Pass%,Fail#,Fail%,Alarm#,Time,TS Time
"CONTINUITY","","CONTINUITY",10030,"Parametric","",-500,-300,"mV",-356.666,-356.666,-356.666,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10020,"Parametric","",-500,-300,"mV",-412.435,-412.435,-412.435,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10050,"Parametric","",-500,-300,"mV",-357.123,-357.123,-357.123,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10090,"Parametric","",-500,-300,"mV",-342.827,-342.827,-342.827,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10080,"Parametric","",-500,-300,"mV",-359.503,-359.503,-359.503,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10040,"Parametric","",-500,-300,"mV",-352.047,-352.047,-352.047,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10010,"Parametric","",-500,-300,"mV",-440.165,-440.165,-440.165,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10070,"Parametric","",-500,-200,"mV",-299.628,-299.628,-299.628,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10060,"Parametric","",-500,-300,"mV",-337.363,-337.363,-337.363,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10180,"Parametric","",-360,-300,"mV",-340.467,-340.467,-340.467,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10340,"Parametric","",0,20,"ohm",0.421736,0.421736,0.421736,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10190,"Parametric","",-360,-300,"mV",-340.584,-340.584,-340.584,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10350,"Parametric","",0,20,"ohm",0.485314,0.485314,0.485314,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10200,"Parametric","",-360,-300,"mV",-340.549,-340.549,-340.549,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10360,"Parametric","",0,20,"ohm",0.0847711,0.0847711,0.0847711,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10210,"Parametric","",-360,-300,"mV",-340.624,-340.624,-340.624,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10370,"Parametric","",0,20,"ohm",0.805326,0.805326,0.805326,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10220,"Parametric","",-360,-300,"mV",-340.437,-340.437,-340.437,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10380,"Parametric","",0,20,"ohm",0.32213,0.32213,0.32213,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10230,"Parametric","",-360,-300,"mV",-340.395,-340.395,-340.395,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10390,"Parametric","",0,20,"ohm",0.659094,0.659094,0.659094,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10240,"Parametric","",-360,-300,"mV",-340.147,-340.147,-340.147,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10400,"Parametric","",0,20,"ohm",0.368753,0.368753,0.368753,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10250,"Parametric","",-360,-300,"mV",-340.324,-340.324,-340.324,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10410,"Parametric","",0,20,"ohm",0.597636,0.597636,0.597636,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10100,"Parametric","",-300,-200,"mV",-222.645,-222.645,-222.645,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10260,"Parametric","",0,20,"ohm",0.419617,0.419617,0.419617,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10110,"Parametric","",-300,-200,"mV",-222.797,-222.797,-222.797,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10270,"Parametric","",0,20,"ohm",0.0423856,0.0423856,0.0423856,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10120,"Parametric","",-300,-200,"mV",-222.738,-222.738,-222.738,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10280,"Parametric","",0,20,"ohm",0.682407,0.682407,0.682407,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10130,"Parametric","",-300,-200,"mV",-222.805,-222.805,-222.805,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10290,"Parametric","",0,20,"ohm",1.03421,1.03421,1.03421,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10140,"Parametric","",-300,-200,"mV",-222.748,-222.748,-222.748,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10300,"Parametric","",0,20,"ohm",0.557369,0.557369,0.557369,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","CONTINUITY",10150,"Parametric","",-300,-200,"mV",-222.58,-222.58,-222.58,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
"CONTINUITY","","MOULD_RES",10310,"Parametric","",0,20,"ohm",0.517104,0.517104,0.517104,0,***,***,***,***,1,1,100,0,0,0,0.518987,***
