Testflow,Test Suite,Test Method,Test,Test#,Pattern,Wafer,Site,Pin,Device,Device ID,Part ID,Part Txt,Lower,LS,Value,Unit,US,Upper,P/F,Time,TS Time,Print To Data Log,Test Text
1,"CONTINUITY","","CONTINUITY",10030,"",0,1,"EN0_PS1600",1,"1667","","",-500,"<=",-369.239,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10020,"",0,1,"FAULTB_PS1600",1,"1667","","",-500,"<=",-422.11,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10050,"",0,1,"FCB_PS1600",1,"1667","","",-500,"<=",-369.417,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10090,"",0,1,"ISEN_PS1600",1,"1667","","",-500,"<=",-355.519,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10080,"",0,1,"ITRIP_PS1600",1,"1667","","",-500,"<=",-370.886,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10040,"",0,1,"OFF_PS1600",1,"1667","","",-500,"<=",-363.374,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10010,"",0,1,"SS_PS1600",1,"1667","","",-500,"<=",-448.816,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10070,"",0,1,"VBIAS_PS1600",1,"1667","","",-500,"<=",-300.027,"mV","<=",-200,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10060,"",0,1,"GND_PS1600",1,"1667","","",-500,"<=",-332.582,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10180,"",0,1,"VIN1",1,"1667","","",-360,"<=",-343.021,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10340,"",0,1,"VIN1",1,"1667","","",0,"<=",0.372992,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10190,"",0,1,"VIN2",1,"1667","","",-360,"<=",-342.934,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10350,"",0,1,"VIN2",1,"1667","","",0,"<=",0.741747,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10200,"",0,1,"VIN3",1,"1667","","",-360,"<=",-343.33,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10360,"",0,1,"VIN3",1,"1667","","",0,"<=",0.345442,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10210,"",0,1,"VIN4_RS1",1,"1667","","",-360,"<=",-343.248,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10370,"",0,1,"VIN4_RS1",1,"1667","","",0,"<=",0,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10220,"",0,1,"VIN4_RS2",1,"1667","","",-360,"<=",-343.346,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10380,"",0,1,"VIN4_RS2",1,"1667","","",0,"<=",0.332726,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10230,"",0,1,"VIN5_RS1",1,"1667","","",-360,"<=",-343.426,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10390,"",0,1,"VIN5_RS1",1,"1667","","",0,"<=",0.0762944,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10240,"",0,1,"VIN5_RS2",1,"1667","","",-360,"<=",-342.976,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10400,"",0,1,"VIN5_RS2",1,"1667","","",0,"<=",0.277624,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10250,"",0,1,"VIN6",1,"1667","","",-360,"<=",-343.054,"mV","<=",-300,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10410,"",0,1,"VIN6",1,"1667","","",0,"<=",0.258551,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10100,"",0,1,"VOUT1",1,"1667","","",-300,"<=",-221.905,"mV","<=",-200,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10260,"",0,1,"VOUT1",1,"1667","","",0,"<=",0.392067,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10110,"",0,1,"VOUT2_RS1",1,"1667","","",-300,"<=",-222.143,"mV","<=",-200,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10270,"",0,1,"VOUT2_RS1",1,"1667","","",0,"<=",0.425974,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10120,"",0,1,"VOUT2_RS2",1,"1667","","",-300,"<=",-221.827,"mV","<=",-200,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10280,"",0,1,"VOUT2_RS2",1,"1667","","",0,"<=",0.459882,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10130,"",0,1,"VOUT3_RS1",1,"1667","","",-300,"<=",-222.103,"mV","<=",-200,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10290,"",0,1,"VOUT3_RS1",1,"1667","","",0,"<=",0.866784,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10140,"",0,1,"VOUT3_RS2",1,"1667","","",-300,"<=",-222.054,"mV","<=",-200,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10300,"",0,1,"VOUT3_RS2",1,"1667","","",0,"<=",0.894334,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10150,"",0,1,"VOUT4",1,"1667","","",-300,"<=",-222.065,"mV","<=",-200,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10310,"",0,1,"VOUT4",1,"1667","","",0,"<=",0.837113,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10160,"",0,1,"VOUT5",1,"1667","","",-300,"<=",-221.853,"mV","<=",-200,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10320,"",0,1,"VOUT5",1,"1667","","",0,"<=",0.171661,"ohm","<=",20,"P",0.310756,***,"",
1,"CONTINUITY","","CONTINUITY",10170,"",0,1,"VOUT6",1,"1667","","",-300,"<=",-221.972,"mV","<=",-200,"P",0.310756,***,"",
1,"CONTINUITY","","MOULD_RES",10330,"",0,1,"VOUT6",1,"1667","","",0,"<=",0.392067,"ohm","<=",20,"P",0.310756,***,"",
